status,dataset,setting,variant,method,image_source,seed
done,mnist,impulse_noise_sev5,S,erm,clean,0
done,mnist,impulse_noise_sev5,S,erm,clean,1
done,mnist,impulse_noise_sev5,S,erm,clean,2
done,mnist,impulse_noise_sev5,S,erm,noisy,0
done,mnist,impulse_noise_sev5,S,erm,noisy,1
done,mnist,impulse_noise_sev5,S,erm,noisy,2
done,mnist,impulse_noise_sev5,S,coteaching,clean,0
done,mnist,impulse_noise_sev5,S,coteaching,clean,1
done,mnist,impulse_noise_sev5,S,coteaching,clean,2
done,mnist,impulse_noise_sev5,S,coteaching,noisy,0
done,mnist,impulse_noise_sev5,S,coteaching,noisy,1
done,mnist,impulse_noise_sev5,S,coteaching,noisy,2
done,mnist,impulse_noise_sev5,S,dividemix,clean,0
done,mnist,impulse_noise_sev5,S,dividemix,clean,1
done,mnist,impulse_noise_sev5,S,dividemix,clean,2
done,mnist,impulse_noise_sev5,S,dividemix,noisy,0
done,mnist,impulse_noise_sev5,S,dividemix,noisy,1
done,mnist,impulse_noise_sev5,S,dividemix,noisy,2
done,mnist,impulse_noise_sev5,C,erm,clean,0
done,mnist,impulse_noise_sev5,C,erm,clean,1
done,mnist,impulse_noise_sev5,C,erm,clean,2
done,mnist,impulse_noise_sev5,C,erm,noisy,0
done,mnist,impulse_noise_sev5,C,erm,noisy,1
done,mnist,impulse_noise_sev5,C,erm,noisy,2
done,mnist,impulse_noise_sev5,C,coteaching,clean,0
done,mnist,impulse_noise_sev5,C,coteaching,clean,1
done,mnist,impulse_noise_sev5,C,coteaching,clean,2
done,mnist,impulse_noise_sev5,C,coteaching,noisy,0
done,mnist,impulse_noise_sev5,C,coteaching,noisy,1
done,mnist,impulse_noise_sev5,C,coteaching,noisy,2
done,mnist,impulse_noise_sev5,C,dividemix,clean,0
done,mnist,impulse_noise_sev5,C,dividemix,clean,1
done,mnist,impulse_noise_sev5,C,dividemix,clean,2
done,mnist,impulse_noise_sev5,C,dividemix,noisy,0
done,mnist,impulse_noise_sev5,C,dividemix,noisy,1
done,mnist,impulse_noise_sev5,C,dividemix,noisy,2
done,mnist,glass_blur_sev5,S,erm,clean,0
done,mnist,glass_blur_sev5,S,erm,clean,1
done,mnist,glass_blur_sev5,S,erm,clean,2
done,mnist,glass_blur_sev5,S,erm,noisy,0
done,mnist,glass_blur_sev5,S,erm,noisy,1
done,mnist,glass_blur_sev5,S,erm,noisy,2
done,mnist,glass_blur_sev5,S,coteaching,clean,0
done,mnist,glass_blur_sev5,S,coteaching,clean,1
done,mnist,glass_blur_sev5,S,coteaching,clean,2
done,mnist,glass_blur_sev5,S,coteaching,noisy,0
done,mnist,glass_blur_sev5,S,coteaching,noisy,1
done,mnist,glass_blur_sev5,S,coteaching,noisy,2
done,mnist,glass_blur_sev5,S,dividemix,clean,0
done,mnist,glass_blur_sev5,S,dividemix,clean,1
done,mnist,glass_blur_sev5,S,dividemix,clean,2
done,mnist,glass_blur_sev5,S,dividemix,noisy,0
done,mnist,glass_blur_sev5,S,dividemix,noisy,1
done,mnist,glass_blur_sev5,S,dividemix,noisy,2
done,mnist,glass_blur_sev5,C,erm,clean,0
done,mnist,glass_blur_sev5,C,erm,clean,1
done,mnist,glass_blur_sev5,C,erm,clean,2
done,mnist,glass_blur_sev5,C,erm,noisy,0
done,mnist,glass_blur_sev5,C,erm,noisy,1
done,mnist,glass_blur_sev5,C,erm,noisy,2
done,mnist,glass_blur_sev5,C,coteaching,clean,0
done,mnist,glass_blur_sev5,C,coteaching,clean,1
done,mnist,glass_blur_sev5,C,coteaching,clean,2
done,mnist,glass_blur_sev5,C,coteaching,noisy,0
done,mnist,glass_blur_sev5,C,coteaching,noisy,1
done,mnist,glass_blur_sev5,C,coteaching,noisy,2
done,mnist,glass_blur_sev5,C,dividemix,clean,0
done,mnist,glass_blur_sev5,C,dividemix,clean,1
done,mnist,glass_blur_sev5,C,dividemix,clean,2
done,mnist,glass_blur_sev5,C,dividemix,noisy,0
done,mnist,glass_blur_sev5,C,dividemix,noisy,1
done,mnist,glass_blur_sev5,C,dividemix,noisy,2
done,mnist,rotate_sev5,S,erm,clean,0
done,mnist,rotate_sev5,S,erm,clean,1
done,mnist,rotate_sev5,S,erm,clean,2
done,mnist,rotate_sev5,S,erm,noisy,0
done,mnist,rotate_sev5,S,erm,noisy,1
done,mnist,rotate_sev5,S,erm,noisy,2
done,mnist,rotate_sev5,S,coteaching,clean,0
done,mnist,rotate_sev5,S,coteaching,clean,1
done,mnist,rotate_sev5,S,coteaching,clean,2
done,mnist,rotate_sev5,S,coteaching,noisy,0
done,mnist,rotate_sev5,S,coteaching,noisy,1
done,mnist,rotate_sev5,S,coteaching,noisy,2
done,mnist,rotate_sev5,S,dividemix,clean,0
done,mnist,rotate_sev5,S,dividemix,clean,1
done,mnist,rotate_sev5,S,dividemix,clean,2
done,mnist,rotate_sev5,S,dividemix,noisy,0
done,mnist,rotate_sev5,S,dividemix,noisy,1
done,mnist,rotate_sev5,S,dividemix,noisy,2
done,mnist,rotate_sev5,C,erm,clean,0
done,mnist,rotate_sev5,C,erm,clean,1
done,mnist,rotate_sev5,C,erm,clean,2
done,mnist,rotate_sev5,C,erm,noisy,0
done,mnist,rotate_sev5,C,erm,noisy,1
done,mnist,rotate_sev5,C,erm,noisy,2
done,mnist,rotate_sev5,C,coteaching,clean,0
done,mnist,rotate_sev5,C,coteaching,clean,1
done,mnist,rotate_sev5,C,coteaching,clean,2
done,mnist,rotate_sev5,C,coteaching,noisy,0
done,mnist,rotate_sev5,C,coteaching,noisy,1
done,mnist,rotate_sev5,C,coteaching,noisy,2
done,mnist,rotate_sev5,C,dividemix,clean,0
done,mnist,rotate_sev5,C,dividemix,clean,1
done,mnist,rotate_sev5,C,dividemix,clean,2
done,mnist,rotate_sev5,C,dividemix,noisy,0
done,mnist,rotate_sev5,C,dividemix,noisy,1
done,mnist,rotate_sev5,C,dividemix,noisy,2
done,mnist,fog_sev5,S,erm,clean,0
done,mnist,fog_sev5,S,erm,clean,1
done,mnist,fog_sev5,S,erm,clean,2
done,mnist,fog_sev5,S,erm,noisy,0
done,mnist,fog_sev5,S,erm,noisy,1
done,mnist,fog_sev5,S,erm,noisy,2
done,mnist,fog_sev5,S,coteaching,clean,0
done,mnist,fog_sev5,S,coteaching,clean,1
done,mnist,fog_sev5,S,coteaching,clean,2
done,mnist,fog_sev5,S,coteaching,noisy,0
done,mnist,fog_sev5,S,coteaching,noisy,1
done,mnist,fog_sev5,S,coteaching,noisy,2
done,mnist,fog_sev5,S,dividemix,clean,0
done,mnist,fog_sev5,S,dividemix,clean,1
done,mnist,fog_sev5,S,dividemix,clean,2
done,mnist,fog_sev5,S,dividemix,noisy,0
done,mnist,fog_sev5,S,dividemix,noisy,1
done,mnist,fog_sev5,S,dividemix,noisy,2
done,mnist,fog_sev5,C,erm,clean,0
done,mnist,fog_sev5,C,erm,clean,1
done,mnist,fog_sev5,C,erm,clean,2
done,mnist,fog_sev5,C,erm,noisy,0
done,mnist,fog_sev5,C,erm,noisy,1
done,mnist,fog_sev5,C,erm,noisy,2
done,mnist,fog_sev5,C,coteaching,clean,0
done,mnist,fog_sev5,C,coteaching,clean,1
done,mnist,fog_sev5,C,coteaching,clean,2
done,mnist,fog_sev5,C,coteaching,noisy,0
done,mnist,fog_sev5,C,coteaching,noisy,1
done,mnist,fog_sev5,C,coteaching,noisy,2
done,mnist,fog_sev5,C,dividemix,clean,0
done,mnist,fog_sev5,C,dividemix,clean,1
done,mnist,fog_sev5,C,dividemix,clean,2
done,mnist,fog_sev5,C,dividemix,noisy,0
done,mnist,fog_sev5,C,dividemix,noisy,1
done,mnist,fog_sev5,C,dividemix,noisy,2
done,mnist,canny_edges_sev1,S,erm,clean,0
done,mnist,canny_edges_sev1,S,erm,clean,1
done,mnist,canny_edges_sev1,S,erm,clean,2
done,mnist,canny_edges_sev1,S,erm,noisy,0
done,mnist,canny_edges_sev1,S,erm,noisy,1
done,mnist,canny_edges_sev1,S,erm,noisy,2
done,mnist,canny_edges_sev1,S,coteaching,clean,0
done,mnist,canny_edges_sev1,S,coteaching,clean,1
done,mnist,canny_edges_sev1,S,coteaching,clean,2
done,mnist,canny_edges_sev1,S,coteaching,noisy,0
done,mnist,canny_edges_sev1,S,coteaching,noisy,1
done,mnist,canny_edges_sev1,S,coteaching,noisy,2
done,mnist,canny_edges_sev1,S,dividemix,clean,0
done,mnist,canny_edges_sev1,S,dividemix,clean,1
done,mnist,canny_edges_sev1,S,dividemix,clean,2
done,mnist,canny_edges_sev1,S,dividemix,noisy,0
done,mnist,canny_edges_sev1,S,dividemix,noisy,1
done,mnist,canny_edges_sev1,S,dividemix,noisy,2
done,mnist,canny_edges_sev1,C,erm,clean,0
done,mnist,canny_edges_sev1,C,erm,clean,1
done,mnist,canny_edges_sev1,C,erm,clean,2
done,mnist,canny_edges_sev1,C,erm,noisy,0
done,mnist,canny_edges_sev1,C,erm,noisy,1
done,mnist,canny_edges_sev1,C,erm,noisy,2
done,mnist,canny_edges_sev1,C,coteaching,clean,0
done,mnist,canny_edges_sev1,C,coteaching,clean,1
done,mnist,canny_edges_sev1,C,coteaching,clean,2
done,mnist,canny_edges_sev1,C,coteaching,noisy,0
done,mnist,canny_edges_sev1,C,coteaching,noisy,1
done,mnist,canny_edges_sev1,C,coteaching,noisy,2
done,mnist,canny_edges_sev1,C,dividemix,clean,0
done,mnist,canny_edges_sev1,C,dividemix,clean,1
done,mnist,canny_edges_sev1,C,dividemix,clean,2
done,mnist,canny_edges_sev1,C,dividemix,noisy,0
done,mnist,canny_edges_sev1,C,dividemix,noisy,1
done,mnist,canny_edges_sev1,C,dividemix,noisy,2
