name,super_family,pipeline,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
brightness_sev1,Digital,CILN,0.100150,0.103850,0.102375,0.098825,0.096750,0.098225,0.096200,0.104575,0.101600,0.097450
brightness_sev3,Digital,CILN,0.103775,0.103575,0.103200,0.099825,0.096050,0.094450,0.095675,0.103750,0.103750,0.095950
brightness_sev5,Digital,CILN,0.112150,0.102100,0.104400,0.102575,0.095050,0.087300,0.095300,0.100825,0.107825,0.092475
contrast_sev1,Digital,CILN,0.099425,0.103350,0.104775,0.103175,0.099900,0.093025,0.095975,0.102275,0.102425,0.095675
contrast_sev3,Digital,CILN,0.099025,0.096000,0.101975,0.129425,0.109375,0.075500,0.092650,0.093950,0.118875,0.083225
contrast_sev5,Digital,CILN,0.106300,0.065150,0.062950,0.289650,0.082575,0.062900,0.063475,0.061250,0.168750,0.037000
defocus_blur_sev1,Blur,CILN,0.098050,0.103900,0.102500,0.102675,0.095650,0.100000,0.093475,0.105150,0.101025,0.097575
defocus_blur_sev3,Blur,CILN,0.094600,0.103325,0.103950,0.135875,0.085350,0.108525,0.076575,0.100750,0.102800,0.088250
defocus_blur_sev5,Blur,CILN,0.093725,0.089450,0.113075,0.238000,0.064100,0.117850,0.048225,0.082700,0.098325,0.054550
elastic_transform_sev1,Noise+Geometric,CILN,0.099425,0.104550,0.109600,0.111525,0.092350,0.101675,0.083000,0.104050,0.103950,0.089875
elastic_transform_sev3,Noise+Geometric,CILN,0.097750,0.103025,0.108650,0.134500,0.087000,0.107950,0.074850,0.102275,0.100275,0.083725
elastic_transform_sev5,Noise+Geometric,CILN,0.112225,0.070200,0.106800,0.132900,0.099700,0.107575,0.096475,0.113325,0.096925,0.063875
fog_sev1,Weather,CILN,0.098800,0.103550,0.103725,0.101025,0.098625,0.096550,0.094950,0.103500,0.102050,0.097225
fog_sev3,Weather,CILN,0.097000,0.102825,0.107700,0.115925,0.098900,0.088150,0.090950,0.099325,0.107200,0.092025
fog_sev5,Weather,CILN,0.083775,0.093300,0.117950,0.174325,0.099050,0.086325,0.087300,0.078600,0.108275,0.071100
frost_sev1,Weather,CILN,0.100475,0.102425,0.102925,0.102275,0.098950,0.093300,0.094725,0.102175,0.106050,0.096700
frost_sev3,Weather,CILN,0.101725,0.098725,0.104675,0.106950,0.105300,0.082075,0.099025,0.093450,0.117375,0.090700
frost_sev5,Weather,CILN,0.096275,0.094150,0.109550,0.108525,0.111025,0.077100,0.104825,0.087625,0.124750,0.086175
gaussian_noise_sev1,Noise+Geometric,CILN,0.081300,0.102400,0.131900,0.090175,0.097400,0.079925,0.149375,0.083000,0.094725,0.089800
