name,PC1,PC2
brightness_sev1,-0.041350,0.011541
brightness_sev3,-0.041279,0.011076
brightness_sev5,-0.040547,0.009409
contrast_sev1,-0.040670,0.008600
contrast_sev3,-0.046209,-0.004721
contrast_sev5,-0.104255,-0.100830
defocus_blur_sev1,-0.044709,0.008769
defocus_blur_sev3,-0.064848,-0.018742
defocus_blur_sev5,-0.099024,-0.105337
elastic_transform_sev1,-0.053309,-0.002388
elastic_transform_sev3,-0.064081,-0.022474
elastic_transform_sev5,-0.041578,-0.027470
fog_sev1,-0.042255,0.010320
fog_sev3,-0.045872,0.000650
fog_sev5,-0.050818,-0.046807
frost_sev1,-0.042770,0.011449
frost_sev3,-0.037385,0.011231
frost_sev5,-0.030024,0.011688
gaussian_noise_sev1,0.023779,0.011845
gaussian_noise_sev3,0.222965,-0.000973
gaussian_noise_sev5,0.297771,-0.007483
glass_blur_sev1,0.263684,-0.000255
glass_blur_sev3,0.301276,0.023839
glass_blur_sev5,0.410734,0.024128
impulse_noise_sev1,-0.044025,0.003067
impulse_noise_sev3,-0.022199,0.001850
impulse_noise_sev5,0.091619,-0.043987
jpeg_compression_sev1,-0.038829,0.011606
jpeg_compression_sev3,-0.056015,0.012835
jpeg_compression_sev5,-0.073160,0.010378
motion_blur_sev1,-0.050921,-0.016057
motion_blur_sev3,-0.057206,-0.066209
motion_blur_sev5,-0.062248,-0.089026
pixelate_sev1,-0.049087,0.024395
pixelate_sev3,-0.070397,0.089155
pixelate_sev5,-0.152054,0.284157
shot_noise_sev1,-0.009926,0.012263
shot_noise_sev3,0.151791,0.003423
shot_noise_sev5,0.259790,-0.010699
snow_sev1,-0.040177,0.010624
snow_sev3,-0.033323,0.011594
snow_sev5,-0.028526,0.002865
zoom_blur_sev1,-0.058044,-0.019549
zoom_blur_sev3,-0.073566,-0.049041
zoom_blur_sev5,-0.085772,-0.096382
PL-IDN_low,-0.033929,0.017142
PL-IDN_medium,-0.001013,0.029239
PL-IDN_high,-0.013333,0.035987
CIFAR-10H,-0.038675,0.013306
