corruption,true_class,pred_class,pct
butter-fingers,World,Sports,7.6632
butter-fingers,World,Business,8.0842
butter-fingers,World,Sci-Tech,84.2526
butter-fingers,Sports,World,30.7118
butter-fingers,Sports,Business,3.8664
butter-fingers,Sports,Sci-Tech,65.4218
butter-fingers,Business,World,15.9652
butter-fingers,Business,Sports,3.489
butter-fingers,Business,Sci-Tech,80.5458
butter-fingers,Sci-Tech,World,49.5501
butter-fingers,Sci-Tech,Sports,10.5737
butter-fingers,Sci-Tech,Business,39.8763
front-truncation,World,Sports,22.1017
front-truncation,World,Business,53.5593
front-truncation,World,Sci-Tech,24.339
front-truncation,Sports,World,66.5969
front-truncation,Sports,Business,20.6283
front-truncation,Sports,Sci-Tech,12.7749
front-truncation,Business,World,48.1468
front-truncation,Business,Sports,12.4505
front-truncation,Business,Sci-Tech,39.4027
front-truncation,Sci-Tech,World,37.6581
front-truncation,Sci-Tech,Sports,8.5339
front-truncation,Sci-Tech,Business,53.808
