sample_idx,loss,is_noisy
0,1.841196,1
1,9.345787,0
2,0.102263,1
3,0.129485,0
4,1.238949,0
5,0.310431,1
6,1.064093,1
7,3.440867,1
8,1.49024,1
9,10.322516,0
10,2.099794,0
11,1.838688,0
12,0.1716,0
13,1.541516,0
14,9.337811,0
15,0.311056,0
16,2.614527,1
17,0.988241,1
18,1.197147,0
19,0.135281,1
20,0.087964,1
21,9.08222,0
22,0.532769,1
23,2.238401,0
24,11.264245,0
25,9.470963,0
26,3.177593,1
27,0.074665,1
28,4.387582,1
29,10.019215,0
30,0.969612,0
31,0.350723,0
32,8.775858,1
33,9.053006,1
34,1.910038,0
35,2.217193,1
36,1.670971,0
37,3.337245,1
38,0.100785,1
39,2.627387,1
40,3.337605,0
41,1.037805,0
42,2.728521,0
43,9.14333,0
44,0.133532,0
45,9.281273,0
46,1.020041,0
47,0.170029,1
48,3.574163,1
49,0.100847,0
50,2.258402,0
51,0.493675,0
52,0.199214,1
53,1.789147,1
54,0.12308,1
55,2.494061,1
56,4.594429,1
57,0.943278,0
58,1.740258,1
59,0.469874,0
60,2.58097,0
61,9.380035,0
62,8.679314,0
63,0.164834,1
64,3.157634,1
65,8.244461,1
66,9.918854,0
67,0.108825,0
68,3.600064,1
69,8.740658,1
70,4.419642,1
71,0.059244,1
72,0.07811,0
73,10.359776,0
74,2.705899,1
75,1.315023,0
76,0.109843,1
77,0.081022,1
78,1.435597,0
79,0.082908,0
80,0.748865,1
81,0.113148,1
82,1.880299,1
83,0.231665,1
84,0.049172,1
85,5.459184,1
86,0.631814,0
87,0.336418,0
88,1.107312,1
89,4.05289,1
90,0.079099,0
91,0.167937,0
92,9.593862,1
93,0.468258,1
94,2.858437,0
95,0.119132,0
96,0.127682,1
97,0.185272,1
98,2.648197,1
99,9.252807,0
100,10.280442,0
101,0.3763,1
102,1.744183,1
103,1.081173,1
104,2.394779,1
105,9.65254,0
106,1.959431,1
107,0.058567,1
108,0.737169,0
109,2.048262,0
110,1.162716,0
111,1.744112,0
112,0.14322,1
113,0.102322,1
114,0.040825,0
115,1.78684,1
116,0.313443,1
117,0.105067,1
118,0.196897,1
119,0.264914,1
120,3.106827,1
121,0.764917,0
122,0.093685,1
123,2.715818,0
124,1.15024,1
125,9.410082,0
126,0.060876,1
127,1.294991,0
128,0.397276,0
129,0.207138,1
130,1.479695,0
131,8.823183,0
132,7.836939,1
133,5.06012,0
134,9.455657,0
135,9.748579,1
136,0.58535,0
137,0.576409,0
138,3.649823,0
139,10.538957,0
140,0.113978,0
141,1.817642,0
142,9.104888,1
143,0.231174,0
144,0.14285,0
145,4.235836,1
146,0.102301,1
147,0.202782,1
148,0.194644,0
149,0.442836,0
150,8.342098,1
151,1.696233,0
152,2.206161,0
153,10.455549,0
154,10.8549,0
155,0.088816,1
156,0.125231,1
157,9.322674,1
158,0.133471,0
159,2.440676,1
160,0.161269,0
161,0.199741,0
162,9.690661,0
163,0.088767,0
164,0.191301,0
165,0.090602,1
166,0.115643,0
167,1.548375,0
168,3.92645,0
169,1.602214,0
170,9.345461,0
171,10.425918,0
172,0.953737,1
173,1.300988,1
174,2.767246,1
175,8.741647,0
176,0.296375,1
177,0.655383,0
178,0.091388,0
179,2.647424,1
180,4.672319,1
181,2.435359,1
182,9.716987,1
183,2.083207,0
184,1.957685,0
185,9.749164,1
186,0.648103,0
187,0.213135,1
188,0.469614,0
189,9.15209,1
190,0.180214,0
191,0.113952,0
192,0.114713,1
193,0.134009,1
194,2.31894,0
195,9.853745,0
196,2.236959,1
197,4.406837,1
198,1.701893,0
199,9.005803,0
200,0.390493,0
201,0.304711,1
202,2.332415,0
203,2.265098,0
204,2.088245,0
205,1.90196,0
206,10.112848,0
207,0.145875,0
208,0.261016,0
209,10.249785,0
210,1.491177,0
211,0.098105,0
212,2.915988,0
213,9.993667,0
214,9.319335,0
215,3.974202,1
216,4.107767,1
217,2.369157,0
218,1.377709,0
219,0.224283,0
220,1.887609,0
221,0.148525,1
222,0.432611,1
223,2.992461,0
224,2.098315,1
225,10.620425,0
226,9.365191,0
227,0.069183,1
228,1.79176,1
229,0.164427,1
230,9.332469,1
231,0.130435,1
232,1.329879,1
233,1.947376,1
234,0.429127,0
235,0.153929,1
236,0.228059,0
237,10.161959,0
238,0.148078,1
239,0.287343,1
240,0.043416,1
241,9.721786,0
242,2.013604,1
243,2.353758,0
244,2.352806,0
245,0.650373,0
246,2.362279,1
247,4.810828,1
248,2.319675,1
249,0.267142,1
250,0.731509,1
251,0.333893,0
252,1.949312,1
253,0.123752,0
254,3.664673,1
255,1.994205,0
256,3.752686,0
257,0.578501,1
258,0.169794,0
259,10.110396,0
260,1.567946,0
261,8.853325,0
262,4.050056,1
263,9.183637,0
