sample_idx,loss,is_noisy
0,0.892248,1
1,1.771554,0
2,0.353688,1
3,0.34305,0
4,1.566393,0
5,1.755572,1
6,3.949541,1
7,2.249286,1
8,0.376372,1
9,3.371953,0
10,3.164577,0
11,1.631209,0
12,0.089935,0
13,1.498898,0
14,1.561799,0
15,0.65516,0
16,1.575402,1
17,0.940467,1
18,0.204082,0
19,0.363411,1
20,0.839011,1
21,2.627076,0
22,0.475437,1
23,3.220001,0
24,1.951782,0
25,4.045897,0
26,2.256116,1
27,1.168039,1
28,3.72017,1
29,2.079953,0
30,1.247892,0
31,0.985995,0
32,3.148208,1
33,2.692877,1
34,2.069216,0
35,0.362181,1
36,1.32533,0
37,3.214358,1
38,0.173479,1
39,3.043696,1
40,3.574055,0
41,0.944757,0
42,2.045239,0
43,3.680611,0
44,0.129939,0
45,2.983419,0
46,0.422154,0
47,0.811127,1
48,3.483048,1
49,0.139168,0
50,1.453156,0
51,0.394927,0
52,0.680558,1
53,0.502282,1
54,0.45169,1
55,2.261392,1
56,5.19852,1
57,2.535975,0
58,0.520259,1
59,0.777966,0
60,1.403504,0
61,2.540455,0
62,2.583525,0
63,0.701559,1
64,3.326664,1
65,2.346091,1
66,3.038265,0
67,0.233203,0
68,1.555534,1
69,3.835307,1
70,2.209273,1
71,0.12073,1
72,0.256413,0
73,1.989869,0
74,1.366376,1
75,1.954372,0
76,1.074092,1
77,0.212471,1
78,0.319573,0
79,0.144879,0
80,0.504534,1
81,0.409188,1
82,1.512391,1
83,0.530584,1
84,0.263943,1
85,5.043638,1
86,0.677153,0
87,0.259258,0
88,0.825852,1
89,3.332375,1
90,0.36,0
91,0.841668,0
92,3.027735,1
93,1.216265,1
94,2.306405,0
95,0.541177,0
96,1.197544,1
97,0.130187,1
98,0.980691,1
99,1.880235,0
100,1.742978,0
101,0.591263,1
102,1.211174,1
103,0.534665,1
104,1.530493,1
105,2.645402,0
106,2.174794,1
107,0.401515,1
108,0.370683,0
109,1.807873,0
110,0.873376,0
111,2.283622,0
112,0.709256,1
113,1.410405,1
114,0.351055,0
115,0.513467,1
116,0.442899,1
117,1.672976,1
118,0.927308,1
119,0.637737,1
120,0.736277,1
121,1.252196,0
122,0.183203,1
123,4.270916,0
124,1.858011,1
125,3.338079,0
126,0.153344,1
127,0.309765,0
128,0.267573,0
129,0.261024,1
130,2.433436,0
131,2.262028,0
132,4.283577,1
133,4.08323,0
134,3.81915,0
135,2.855107,1
136,1.113424,0
137,0.538758,0
138,3.453809,0
139,1.367859,0
140,0.169674,0
141,1.118886,0
142,3.027189,1
143,0.349303,0
144,0.236808,0
145,4.602555,1
146,0.302074,1
147,0.276993,1
148,0.527458,0
149,0.80895,0
150,3.012145,1
151,2.130434,0
152,3.333795,0
153,4.843652,0
154,3.296518,0
155,0.264148,1
156,0.160373,1
157,3.707062,1
158,0.339877,0
159,1.367879,1
160,0.894186,0
161,0.508132,0
162,3.031178,0
163,0.28841,0
164,0.521224,0
165,0.369902,1
166,0.184429,0
167,0.690592,0
168,3.253145,0
169,1.30974,0
170,4.267533,0
171,2.13117,0
172,0.865261,1
173,0.253696,1
174,0.614313,1
175,3.921858,0
176,1.162255,1
177,0.937241,0
178,0.207393,0
179,1.518678,1
180,4.05561,1
181,0.856318,1
182,2.478927,1
183,2.594903,0
184,1.280445,0
185,2.386727,1
186,1.598584,0
187,0.31736,1
188,0.357503,0
189,2.822962,1
190,0.190097,0
191,0.293334,0
192,0.156892,1
193,0.450851,1
194,1.721256,0
195,2.947485,0
196,1.073262,1
197,3.284019,1
198,1.580555,0
199,2.529876,0
200,0.365268,0
201,1.017323,1
202,1.230045,0
203,1.148541,0
204,0.967286,0
205,1.816294,0
206,2.78357,0
207,0.291778,0
208,0.495467,0
209,2.620443,0
210,2.723211,0
211,0.518664,0
212,3.115151,0
213,1.448702,0
214,1.545852,0
215,3.5226,1
216,4.883437,1
217,2.711769,0
218,0.360907,0
219,0.380691,0
220,0.996253,0
221,0.639911,1
222,0.409042,1
223,2.579372,0
224,0.520953,1
225,1.90956,0
226,3.253487,0
227,0.262339,1
228,0.963716,1
229,2.404797,1
230,3.471498,1
231,0.121392,1
232,0.706454,1
233,1.730134,1
234,0.767091,0
235,0.433869,1
236,0.821296,0
237,4.017317,0
238,0.329352,1
239,1.213299,1
240,0.517147,1
241,3.719407,0
242,0.569302,1
243,1.650792,0
244,1.640949,0
245,0.261925,0
246,2.911482,1
247,3.346194,1
248,0.754827,1
249,1.919751,1
250,2.105225,1
251,1.07299,0
252,1.70976,1
253,0.696969,0
254,3.547497,1
255,0.841164,0
256,1.412339,0
257,0.457546,1
258,1.31097,0
259,2.180638,0
260,2.46016,0
261,2.889944,0
262,1.921982,1
263,2.386286,0
264,0.405068,0
265,0.424908,1
266,0.424017,0
267,0.458331,1
268,4.293551,1
269,0.30539,1
270,0.261966,0
271,0.379172,1
272,1.683225,0
273,1.139441,0
274,0.619195,1
275,0.951794,1
276,0.593588,0
277,1.172307,1
278,4.28068,0
279,0.708737,1
280,4.89979,1
281,1.427782,0
282,0.797363,0
283,0.133704,1
284,2.983471,0
285,2.74204,1
286,0.339984,1
287,0.722376,1
288,0.718423,0
289,5.305951,1
290,4.995083,1
291,3.537183,1
292,2.620727,1
293,0.413155,0
294,3.357769,0
295,0.403529,1
296,0.392238,1
297,5.319289,1
298,0.233739,1
299,2.374428,0
300,0.344434,1
301,0.886256,1
302,4.085015,1
303,0.416226,1
304,0.283161,0
305,2.788166,0
306,0.461069,0
307,0.716158,0
308,3.374434,1
309,0.105535,1
310,0.25975,1
311,3.113326,0
312,0.299581,0
313,1.056983,0
314,0.18742,1
315,0.168109,0
316,3.011311,0
317,0.130816,0
318,1.024728,0
319,3.754334,0
320,1.326522,0
321,2.858394,0
322,0.358973,1
323,0.471843,0
324,3.193986,0
325,2.220207,0
326,0.337504,1
327,1.15044,1
328,0.733829,0
329,1.423898,0
330,1.900732,0
331,0.718217,0
332,4.194179,1
333,0.605005,0
334,3.233087,0
335,0.641628,1
336,0.670323,0
337,4.515453,1
338,2.777972,0
339,0.471469,0
340,0.750221,0
341,0.776656,0
342,3.663434,0
343,0.663355,0
344,3.381096,0
345,1.673229,0
346,3.095712,0
347,0.452035,0
348,3.319987,0
349,0.481117,0
350,4.663679,1
351,2.274677,0
352,1.657945,0
353,0.275483,1
354,1.352178,1
355,0.565495,0
356,2.034137,0
357,1.054442,0
358,1.966422,0
359,0.349606,1
360,2.516742,0
361,0.59458,1
362,3.635031,0
363,1.979823,0
364,0.335906,0
365,1.573161,0
366,0.13594,0
367,3.217011,1
368,3.271247,1
369,0.201569,1
370,0.118709,1
371,4.245732,1
372,0.27468,0
373,1.2409,1
374,0.569332,1
375,0.331977,1
376,2.100609,1
377,0.445558,0
378,1.009641,1
379,0.651768,1
380,2.0702,1
381,3.398091,0
382,3.453414,0
383,2.341884,0
384,4.267206,1
385,3.231058,0
386,1.884434,0
387,3.060313,0
388,0.594739,1
389,3.448103,1
390,4.000243,1
391,0.33291,1
392,0.615259,0
393,0.197201,1
394,2.867888,1
395,0.219122,0
396,3.121741,1
397,1.334092,1
398,1.670308,0
399,2.895077,0
400,1.827372,0
401,0.845488,1
402,1.684836,0
403,1.648854,0
404,0.536716,1
405,2.144775,1
406,1.354673,1
407,3.795194,0
408,0.458858,1
409,1.806363,1
410,0.286078,0
411,1.353261,1
412,0.896531,0
413,0.625302,0
414,1.373831,0
415,2.227344,0
416,2.135152,0
417,1.357279,1
418,2.057982,0
419,1.646246,1
420,3.191601,0
421,0.889062,1
422,2.046687,0
423,0.655276,1
424,2.944044,1
425,0.641162,1
426,0.305147,1
427,0.368196,0
428,0.063169,0
429,0.326923,1
430,0.140055,0
431,0.675004,0
432,0.424872,1
433,0.312522,1
434,3.670056,0
435,5.933668,1
436,0.466569,0
437,0.302328,1
438,0.155092,1
439,0.39567,0
440,0.232777,1
441,0.894714,0
442,0.422476,1
443,0.29984,1
444,1.32402,0
445,0.902879,1
446,2.804964,1
447,0.918888,0
448,0.421761,0
449,0.909145,1
450,0.745115,1
451,3.246749,1
452,0.36205,1
453,1.206753,0
454,0.748713,1
455,1.535503,0
456,0.679084,1
457,0.264136,0
458,4.368178,1
459,3.523562,0
460,4.579744,1
461,0.419652,1
462,3.877879,0
463,3.899945,1
464,2.93651,1
465,0.144862,0
466,0.320925,1
467,0.649893,1
468,3.626668,0
469,2.666096,1
470,0.664183,1
471,1.534783,0
472,1.685599,0
473,1.737609,0
474,3.008405,0
475,1.299635,1
476,0.300943,1
477,0.275125,0
478,0.323049,1
479,1.89164,0
480,1.701154,1
481,3.051249,1
482,0.24167,1
483,0.461589,1
484,0.422277,0
485,0.457825,0
486,0.410262,1
487,1.221316,0
488,3.744226,1
489,5.238845,1
490,0.822941,1
491,2.82655,0
492,0.656381,1
493,1.061958,1
494,0.439666,0
495,3.67389,0
496,2.001768,0
497,1.306627,0
498,0.709107,1
499,0.36486,1
500,0.92106,1
501,1.365967,1
502,1.44263,0
503,0.454916,0
504,3.142323,0
505,1.303834,1
506,0.709703,0
507,3.118544,1
508,0.386355,0
509,1.097843,1
510,0.753253,1
511,0.846202,1
512,0.898643,1
513,2.428923,0
514,0.339796,0
515,1.210626,1
516,0.20199,1
517,0.21168,0
518,4.73381,0
519,2.754693,0
520,2.156948,1
521,1.731158,0
522,0.738594,0
523,0.854436,0
524,0.289576,1
525,3.719253,0
526,1.857026,1
527,2.834223,0
528,3.582951,0
529,1.106516,0
530,2.598676,0
531,2.761533,1
532,3.857598,0
533,1.457243,1
534,1.136074,0
