sample_idx,loss,is_noisy
0,0.663306,1
1,3.181883,0
2,0.129274,1
3,0.177061,0
4,2.764029,0
5,0.337616,1
6,2.423167,1
7,2.921381,1
8,0.283106,1
9,4.3855,0
10,4.52061,0
11,2.564693,0
12,0.15969,0
13,2.468894,0
14,2.36557,0
15,1.006158,0
16,0.847473,1
17,0.488892,1
18,2.621611,0
19,0.174415,1
20,0.785439,1
21,3.294286,0
22,1.032696,1
23,3.447539,0
24,3.789926,0
25,3.348671,0
26,3.45956,1
27,1.018432,1
28,3.62676,1
29,2.640805,0
30,2.324325,0
31,0.952766,0
32,3.553931,1
33,2.586201,1
34,3.164647,0
35,0.26463,1
36,3.05656,0
37,3.281301,1
38,0.19198,1
39,3.651911,1
40,4.705117,0
41,1.72398,0
42,2.754425,0
43,4.759492,0
44,0.246406,0
45,3.630229,0
46,1.465993,0
47,0.785788,1
48,3.924778,1
49,0.143864,0
50,1.137316,0
51,0.198898,0
52,0.769186,1
53,0.377473,1
54,0.548462,1
55,1.305078,1
56,4.046994,1
57,4.108086,0
58,0.433644,1
59,0.684497,0
60,3.216524,0
61,2.653722,0
62,3.828594,0
63,0.5419,1
64,3.606292,1
65,2.867477,1
66,3.427532,0
67,0.289836,0
68,1.644015,1
69,4.31691,1
70,2.334882,1
71,0.1792,1
72,0.448306,0
73,4.101276,0
74,4.557364,1
75,2.609873,0
76,0.58914,1
77,0.159338,1
78,2.315218,0
79,0.238557,0
80,0.223811,1
81,0.603305,1
82,1.965813,1
83,0.22384,1
84,0.255562,1
85,4.462124,1
86,0.56394,0
87,0.076368,0
88,0.708758,1
89,3.985329,1
90,1.28494,0
91,1.580641,0
92,3.057403,1
93,0.403764,1
94,3.294805,0
95,0.753601,0
96,0.733751,1
97,0.124893,1
98,1.691326,1
99,4.122522,0
100,3.565538,0
101,0.335067,1
102,1.788816,1
103,0.442251,1
104,2.162738,1
105,3.557759,0
106,4.643998,1
107,0.179153,1
108,0.196255,0
109,1.262963,0
110,0.606131,0
111,4.151141,0
112,0.206814,1
113,1.416499,1
114,0.261977,0
115,0.105874,1
116,0.230692,1
117,0.390894,1
118,0.502489,1
119,0.518371,1
120,0.824478,1
121,0.841651,0
122,0.150336,1
123,4.969425,0
124,0.839946,1
125,4.792331,0
126,0.144814,1
127,3.083382,0
128,0.098018,0
129,0.152054,1
130,2.04529,0
131,3.822549,0
132,3.441448,1
133,3.785742,0
134,3.869236,0
135,3.581632,1
136,1.055867,0
137,0.283672,0
138,4.902115,0
139,2.619991,0
140,0.183902,0
141,3.802502,0
142,4.831871,1
143,0.309932,0
144,0.357161,0
145,3.450542,1
146,0.440164,1
147,0.111744,1
148,0.615396,0
149,0.789185,0
150,2.82435,1
151,3.611101,0
152,2.377218,0
153,5.066619,0
154,3.997262,0
155,0.184085,1
156,0.114494,1
157,2.574779,1
158,0.136709,0
159,1.083219,1
160,0.2833,0
161,1.069317,0
162,3.966807,0
163,0.159198,0
164,0.517211,0
165,0.287301,1
166,0.273965,0
167,1.169092,0
168,4.774326,0
169,3.824224,0
170,4.838831,0
171,2.790469,0
172,0.538327,1
173,0.219341,1
174,0.754135,1
175,4.804006,0
176,1.913891,1
177,0.584571,0
178,0.868905,0
179,1.830415,1
180,4.687582,1
181,1.166602,1
182,3.464143,1
183,4.255289,0
184,2.052446,0
185,2.615452,1
186,1.79493,0
187,0.151443,1
188,0.163098,0
189,3.50972,1
190,0.142298,0
191,0.229911,0
192,0.200545,1
193,0.177789,1
194,2.244377,0
195,2.885924,0
196,0.564999,1
197,1.313991,1
198,4.011595,0
199,3.788255,0
200,0.29869,0
201,1.311252,1
202,2.508094,0
203,0.918163,0
204,3.006567,0
205,2.768381,0
206,2.627729,0
207,0.339179,0
208,0.649904,0
209,4.025991,0
210,4.695178,0
211,0.540356,0
212,5.500966,0
213,4.250551,0
214,3.78109,0
215,3.057673,1
216,5.051727,1
217,3.428847,0
218,3.434611,0
219,0.236738,0
220,1.367982,0
221,0.349213,1
222,0.518029,1
223,3.61158,0
224,0.496196,1
225,2.47085,0
226,5.796842,0
227,0.136125,1
228,1.95647,1
229,3.9376,1
230,3.401157,1
231,0.157992,1
232,0.332366,1
233,1.342144,1
234,1.473213,0
235,0.226442,1
236,0.636425,0
237,3.322169,0
238,0.143266,1
239,0.347115,1
240,0.598621,1
241,4.601582,0
242,0.200528,1
243,1.903209,0
244,3.831637,0
245,0.218935,0
246,3.512501,1
247,2.170618,1
248,0.654971,1
249,3.064792,1
250,0.406703,1
251,0.86422,0
252,1.004434,1
253,0.716759,0
254,3.322389,1
255,0.867167,0
256,2.269278,0
257,0.340898,1
258,0.490393,0
259,2.970035,0
260,1.19825,0
261,4.04688,0
262,2.997193,1
263,3.539081,0
264,1.6714,0
265,1.328773,1
266,2.658859,0
267,0.263328,1
268,4.980269,1
269,0.113849,1
270,0.148142,0
271,0.18397,1
272,3.014415,0
273,0.831008,0
274,0.402615,1
275,1.137546,1
276,0.609553,0
277,0.398577,1
278,4.408455,0
279,0.525648,1
280,5.316214,1
281,3.866207,0
282,0.851944,0
283,0.132848,1
284,4.141442,0
285,3.650463,1
286,0.334371,1
287,0.954095,1
288,1.782091,0
289,5.652599,1
290,5.118415,1
291,2.856375,1
292,2.539195,1
293,0.437989,0
294,2.743678,0
295,1.292022,1
296,0.418398,1
297,3.793678,1
298,0.800992,1
299,2.841551,0
300,0.286501,1
301,1.096201,1
302,3.800187,1
303,0.773795,1
304,0.158435,0
305,3.705428,0
306,1.140452,0
307,0.57789,0
308,2.990796,1
309,0.208489,1
310,0.26805,1
311,3.167361,0
312,0.147001,0
313,1.443607,0
314,0.295825,1
315,0.134623,0
316,4.360674,0
317,2.375956,0
318,0.744673,0
319,5.046171,0
320,2.673574,0
321,2.964923,0
322,0.382939,1
323,0.641885,0
324,2.539505,0
325,4.008782,0
326,0.446587,1
327,1.364502,1
328,0.718236,0
329,3.536261,0
330,3.472522,0
331,0.702587,0
332,5.307723,1
333,0.64333,0
334,4.050379,0
335,0.287138,1
336,1.012694,0
337,1.530962,1
338,3.498805,0
339,0.487101,0
340,0.850341,0
341,3.04527,0
342,4.163852,0
343,0.305348,0
344,4.304258,0
345,3.71623,0
346,2.897597,0
347,0.154939,0
348,3.686914,0
349,0.477805,0
350,4.513078,1
351,2.136871,0
352,3.026209,0
353,0.309687,1
354,0.117419,1
355,0.509222,0
356,3.291467,0
357,3.518485,0
358,3.396405,0
359,0.123187,1
360,2.366229,0
361,0.632878,1
362,2.776579,0
363,3.187294,0
364,2.180526,0
365,2.862935,0
366,0.106008,0
367,3.673891,1
368,4.752843,1
369,0.361057,1
370,0.135606,1
371,5.323525,1
372,0.250314,0
373,2.832152,1
374,1.364585,1
375,0.063136,1
376,2.31619,1
377,0.289007,0
378,1.022192,1
379,0.407094,1
380,1.92053,1
381,3.522499,0
382,4.437556,0
383,3.982074,0
384,3.552792,1
385,5.160041,0
386,3.397265,0
387,2.650789,0
388,0.591934,1
389,1.755392,1
390,4.479725,1
391,0.857303,1
392,0.565523,0
393,0.758383,1
394,2.065961,1
395,0.28133,0
396,1.826655,1
397,1.029959,1
398,2.162449,0
399,4.256178,0
400,2.656421,0
401,0.651748,1
402,4.396611,0
403,2.461558,0
404,0.518527,1
405,1.930326,1
406,2.131673,1
407,2.973828,0
408,1.051687,1
409,0.617506,1
410,0.260328,0
411,1.381796,1
412,1.976869,0
413,2.56691,0
414,2.685516,0
415,3.945959,0
416,3.244614,0
417,1.115878,1
418,3.451205,0
419,2.009658,1
420,3.104588,0
421,0.209323,1
422,3.4489,0
423,0.464955,1
424,2.864413,1
425,0.163216,1
426,0.278008,1
427,0.569792,0
428,0.126522,0
429,0.603054,1
430,0.236458,0
431,0.98204,0
432,0.225143,1
433,0.195452,1
434,3.729722,0
435,3.388004,1
436,0.246813,0
437,0.31094,1
438,0.165574,1
439,0.340619,0
440,0.260053,1
441,1.381547,0
442,1.086123,1
443,0.538216,1
444,3.744117,0
445,0.707946,1
446,1.262955,1
447,0.613602,0
448,0.104106,0
449,0.547694,1
450,0.322225,1
451,3.304011,1
452,0.176675,1
453,3.152853,0
454,0.550898,1
455,2.920182,0
456,1.009258,1
457,0.25354,0
458,4.130443,1
459,2.706461,0
460,5.143668,1
461,0.263535,1
462,3.036922,0
463,2.121618,1
464,2.587539,1
465,0.236635,0
466,0.211705,1
467,0.521854,1
468,7.009144,0
469,2.341401,1
470,0.814594,1
471,1.325403,0
472,1.35908,0
473,2.498094,0
474,2.689621,0
475,2.136102,1
476,0.178581,1
477,0.292931,0
478,0.30484,1
479,3.805413,0
480,2.410789,1
481,2.78749,1
482,0.251763,1
483,0.209745,1
484,0.088506,0
485,0.382559,0
486,0.126223,1
487,2.981154,0
488,4.220225,1
489,3.112322,1
490,0.217445,1
491,3.467809,0
492,0.276936,1
493,0.986444,1
494,1.72821,0
495,4.636463,0
