sample_idx,loss,is_noisy
0,1.325081,0
1,1.082425,0
2,1.738302,0
3,2.314253,0
4,0.920424,0
5,0.281924,0
6,0.3073,0
7,0.367441,0
8,1.116854,0
9,0.911852,0
10,2.975094,0
11,2.825439,1
12,1.495264,0
13,1.773883,0
14,1.645157,0
15,1.726024,0
16,4.591397,0
17,1.029113,0
18,0.156204,0
19,1.484651,0
20,2.281342,0
21,1.204091,0
22,2.98934,0
23,0.665509,0
24,0.303591,0
25,2.35852,0
26,1.194564,0
27,2.427172,0
28,1.726523,0
29,2.03342,0
30,0.58345,1
31,0.529057,0
32,4.06065,0
33,0.497055,0
34,1.224662,0
35,0.293713,0
36,2.049632,0
37,3.145846,0
38,1.387029,1
39,3.197599,1
40,2.349043,0
41,2.27669,0
42,2.090662,0
43,2.235738,0
44,1.950412,0
45,1.743878,0
46,0.16092,0
47,3.605042,0
48,2.141913,0
49,2.052333,0
50,1.083618,0
51,0.040753,0
52,4.278345,0
53,0.44569,0
54,0.590532,0
55,0.939584,0
56,0.575078,0
57,0.572715,0
58,0.163084,0
59,0.670567,0
60,1.675029,0
61,1.949313,0
62,2.231973,0
63,0.186672,0
64,0.233235,0
65,0.768219,0
66,2.768988,0
67,1.704792,0
68,1.744562,0
69,0.981606,0
70,3.160666,0
71,2.399077,0
72,2.500927,0
73,2.044283,0
74,2.056725,0
75,1.830814,0
76,0.865619,0
77,1.778999,0
78,0.262895,0
79,1.317045,0
80,2.217425,0
81,2.477595,0
82,0.388171,0
83,0.500131,0
84,1.703895,0
85,3.052813,0
86,1.849373,1
87,0.057564,0
88,1.629344,0
89,1.354793,0
90,1.769067,0
91,2.607743,0
92,0.73942,0
93,0.160933,0
94,2.914597,0
95,0.132972,0
96,0.428535,0
97,2.380341,1
98,0.883625,0
99,0.425305,0
100,2.077139,0
101,2.904849,0
102,1.689678,0
103,2.613691,0
104,0.631316,0
105,2.691395,0
106,0.257159,0
107,2.342497,0
108,0.372164,0
109,2.035633,0
110,0.591308,0
111,1.628254,0
112,1.39492,0
113,2.14437,0
114,3.028379,0
115,2.546825,0
116,2.428283,0
117,0.413984,0
118,0.475384,0
119,2.753277,0
120,0.596209,0
121,0.805904,0
122,2.44781,0
123,3.326648,0
124,2.060383,0
125,3.850272,0
126,1.59624,0
127,0.106515,0
128,0.060145,0
129,1.572649,0
130,1.955208,0
131,0.468522,0
132,2.957111,0
133,2.177763,0
134,2.111634,0
135,0.41005,0
136,0.580364,0
137,0.26081,0
138,1.96282,1
139,1.719429,0
140,2.478356,0
141,0.055295,0
142,1.770604,1
143,0.099378,0
144,1.796878,0
145,1.762249,0
146,2.967739,1
147,0.573422,0
148,0.797792,0
149,1.335595,0
150,2.352,1
151,1.028802,0
152,3.650325,0
153,2.613261,0
154,0.18729,0
155,0.964321,0
156,1.878774,1
157,0.05581,0
158,0.146583,0
159,0.7669,0
160,3.009655,0
161,0.813167,0
162,2.457232,0
163,1.306196,0
164,0.16192,0
165,0.122075,0
166,2.566938,0
167,0.102013,0
168,2.906596,0
169,0.105308,0
170,1.616711,0
171,0.316781,0
172,1.495656,0
173,1.330791,0
174,0.315315,0
175,2.374879,0
176,2.099359,1
177,0.466047,0
178,1.822473,0
179,0.848734,0
180,2.601677,0
181,0.361317,0
182,0.440321,0
183,2.617918,0
184,2.56577,0
185,0.241309,0
186,0.521044,0
187,0.963743,0
188,0.264441,0
189,1.029394,0
190,1.536372,0
191,2.202296,0
192,2.480975,0
193,2.311289,1
194,0.856541,0
195,2.746613,0
196,2.968296,0
197,0.501113,0
198,0.318149,0
199,1.333226,0
200,0.120465,0
201,3.868652,0
202,2.160621,0
203,1.091114,0
204,0.216837,0
205,2.109614,0
206,1.799784,1
207,2.19923,0
208,0.493422,0
209,1.445975,0
210,1.232769,0
211,0.595576,0
212,3.533292,0
213,0.249591,0
214,0.183087,0
215,0.399816,0
216,0.801868,0
217,1.919707,0
218,0.656378,0
219,1.994686,0
220,1.014729,0
221,2.658066,0
222,0.16956,0
223,0.97787,0
224,0.999769,0
225,0.205961,0
226,0.776345,0
227,1.936138,0
228,0.334601,0
229,2.552482,0
230,2.034668,1
231,0.77614,0
232,1.213755,0
233,1.120873,0
234,1.253454,0
235,1.898502,0
236,0.240044,0
237,2.83349,0
238,3.368389,1
239,0.857183,0
240,1.617654,0
241,1.910577,0
242,0.715228,0
243,2.090676,0
244,2.156553,0
245,0.117622,0
246,0.400072,0
247,1.726894,0
248,0.778829,1
249,0.948235,0
