sample_idx,loss,is_noisy
0,13.273371,1
1,11.977329,1
2,16.89176,1
3,15.016376,1
4,12.447766,0
5,0.000138,1
6,12.861206,1
7,2.4e-05,1
8,0.000209,1
9,8e-06,1
10,9.680431,1
11,1e-06,0
12,1e-06,1
13,13.060517,1
14,12.42003,0
15,0.000325,1
16,15.983369,1
17,11.230569,1
18,10.537966,0
19,4e-06,1
20,15.537519,1
21,11.165827,0
22,11.039295,1
23,9.5e-05,1
24,5e-05,1
25,1.8e-05,1
26,15.091144,1
27,13.273938,0
28,16.32811,0
29,2.7e-05,1
30,14.664356,1
31,9.984394,0
32,14.137401,0
33,2e-06,1
34,14.061711,1
35,0.000105,1
36,12.363154,0
37,11.955129,1
38,7e-06,1
39,12.335625,1
40,15.652837,1
41,1.3e-05,1
42,5.1e-05,1
43,15.487228,0
44,12.852614,0
45,14.955107,1
46,8e-06,0
47,13.852948,1
48,2.5e-05,1
49,3e-06,1
50,5e-06,0
51,11.47668,0
52,5.8e-05,1
53,12.439259,1
54,2.3e-05,1
55,1.3e-05,1
56,17.97892,1
57,2e-06,0
58,0.000509,1
59,9.393295,0
60,11.780463,0
61,8e-06,1
62,10.741804,1
63,1.6e-05,1
64,1.2e-05,1
65,13.108616,1
66,14.244956,1
67,13.402068,1
68,9.604363,0
69,4.7e-05,0
70,7.1e-05,1
71,12.320666,1
72,5.6e-05,1
73,0.000191,1
74,3.8e-05,1
75,6.1e-05,1
76,12.685891,0
77,18.990513,1
78,13.42394,1
79,16.597197,1
80,5.4e-05,1
81,0.000486,1
82,11.629481,1
83,11.871496,1
84,13.985403,1
85,3e-06,1
86,10.158763,0
87,11.957808,0
88,8.161848,0
89,9e-06,1
90,8e-05,1
91,13.0168,1
92,15.271687,1
93,8e-06,0
94,2.4e-05,1
95,10.409,0
96,9.2e-05,1
97,4e-06,1
98,13.382902,1
99,13.762784,1
100,13.60609,1
101,12.142656,1
102,5e-06,0
103,7e-06,1
104,1.7e-05,0
105,13.335513,1
106,11.485703,1
107,17.841133,1
108,11.118865,0
109,5e-06,0
110,13.769484,1
111,10.776907,0
112,3.8e-05,0
113,12.409263,0
114,11.8678,0
115,11.438685,1
116,13.227278,0
117,3.5e-05,1
118,11.893512,1
119,0.000165,1
120,4.1e-05,1
121,9.702334,0
122,15.984369,1
123,11.359776,0
124,13.632812,0
125,4e-06,1
126,1e-06,1
127,4.6e-05,1
128,12.518733,0
129,0.0,0
130,4.5e-05,1
131,14.625277,1
132,9.2e-05,1
133,3e-06,0
134,15.181883,0
135,3e-06,1
136,9.782548,0
137,12.623087,0
138,11.669377,0
139,13.578488,1
140,0.0,1
141,1e-05,1
142,13.471231,0
143,0.000149,1
144,14.7602,1
145,15.483043,1
146,1.6e-05,1
147,5e-06,0
148,8.749686,0
149,0.000306,1
150,11.971914,1
151,2e-06,0
152,0.000202,1
153,3e-06,1
154,13.803706,1
155,15.391889,0
156,6e-06,1
157,2.9e-05,1
158,13.028021,0
159,12.75185,1
160,3.2e-05,1
161,11.017987,1
162,10.878489,1
163,12.828918,0
164,10.226052,0
165,13.409237,0
166,13.545405,0
167,16.979649,1
168,14.411905,1
169,1.5e-05,1
170,5e-06,1
171,11.579711,0
172,12.946675,1
173,9.436333,0
174,11.868516,0
175,7e-06,1
176,11.608041,1
177,11.180831,1
178,7.3e-05,1
179,13.062313,1
180,15.19114,0
181,1.5e-05,1
182,1.8e-05,1
183,1.6e-05,1
184,15.881221,0
185,9e-05,1
186,11.765005,0
187,14.231631,1
188,11.255754,0
189,8.8e-05,1
190,1.1e-05,1
191,13.528643,0
192,1e-06,1
193,14.591002,1
194,8e-06,0
195,15.450994,1
196,11.891204,0
197,13.568096,0
198,1e-06,1
199,13.761395,1
200,0.000259,1
