sample_idx,loss,is_noisy
0,1.941491,1
1,2.280287,1
2,4.103528,1
3,2.20733,1
4,1.280548,0
5,0.286795,1
6,2.146021,1
7,0.160832,1
8,0.639474,1
9,0.31378,1
10,1.617741,1
11,0.068041,0
12,0.13239,1
13,4.68009,1
14,4.439699,0
15,0.377028,1
16,3.002555,1
17,4.757615,1
18,2.462548,0
19,0.323876,1
20,2.807233,1
21,1.523194,0
22,2.494208,1
23,0.146848,1
24,0.848463,1
25,0.195628,1
26,1.641692,1
27,3.003469,0
28,2.143044,0
29,0.086127,1
30,1.788169,1
31,1.1023,0
32,6.701261,0
33,0.118497,1
34,2.344946,1
35,0.48818,1
36,1.767431,0
37,3.682132,1
38,0.262102,1
39,2.798911,1
40,1.844975,1
41,0.530327,1
42,0.414184,1
43,2.395468,0
44,3.170762,0
45,2.081488,1
46,0.383011,0
47,4.066937,1
48,0.126348,1
49,0.770207,1
50,0.324494,0
51,1.06,0
52,0.085355,1
53,2.776769,1
54,0.378207,1
55,1.132431,1
56,3.681749,1
57,0.202079,0
58,0.105163,1
59,0.694842,0
60,3.388902,0
61,0.275468,1
62,3.220744,1
63,0.969833,1
64,0.084526,1
65,3.066768,1
66,3.067493,1
67,3.232875,1
68,3.604635,0
69,0.127179,0
70,0.319105,1
71,3.611835,1
72,0.370041,1
73,0.408017,1
74,0.479429,1
75,0.509578,1
76,2.827373,0
77,1.309835,1
78,2.591001,1
79,1.841089,1
80,0.217158,1
81,0.574421,1
82,2.283651,1
83,3.790807,1
84,0.976188,1
85,0.253117,1
86,1.69871,0
87,1.476429,0
88,1.369685,0
89,0.160077,1
90,0.56813,1
91,0.902161,1
92,2.943293,1
93,0.03362,0
94,0.289599,1
95,0.414691,0
96,0.412734,1
97,0.191774,1
98,4.590829,1
99,3.1383,1
100,2.58938,1
101,3.39276,1
102,0.614478,0
103,0.588629,1
104,0.210533,0
105,1.890052,1
106,3.564816,1
107,0.744913,1
108,1.954967,0
109,0.443806,0
110,0.805838,1
111,1.94888,0
112,0.657025,0
113,5.396863,0
114,4.119132,0
115,1.380413,1
116,2.651058,0
117,0.163338,1
118,1.793237,1
119,0.207392,1
120,0.404973,1
121,0.588783,0
122,1.779506,1
123,2.902895,0
124,1.129787,0
125,0.094713,1
126,0.092663,1
127,0.521983,1
128,1.559705,0
129,0.170713,0
130,0.711034,1
131,2.173202,1
132,0.445431,1
133,0.307933,0
134,1.718162,0
135,0.076259,1
136,1.099409,0
137,1.337754,0
138,3.234732,0
139,2.577299,1
140,0.222893,1
141,0.545865,1
142,4.965543,0
143,0.796099,1
144,1.480563,1
145,2.813061,1
146,0.702745,1
147,0.133963,0
148,1.188444,0
149,1.249901,1
150,1.708853,1
151,0.059964,0
152,0.227066,1
153,0.084488,1
154,2.919235,1
155,1.760904,0
156,0.177406,1
157,0.686239,1
158,0.760394,0
159,1.921195,1
160,0.216205,1
161,1.960367,1
162,2.825348,1
163,3.521775,0
164,1.505715,0
165,1.379532,0
166,5.036998,0
167,3.02352,1
168,1.747451,1
169,0.20147,1
170,0.374645,1
171,1.05713,0
172,2.653327,1
173,4.125833,0
174,4.524423,0
175,0.239763,1
176,4.061223,1
177,3.249863,1
178,0.356395,1
179,3.718142,1
180,1.884948,0
181,0.109023,1
182,0.379049,1
183,0.240178,1
184,2.895386,0
185,0.234139,1
186,2.311739,0
187,2.650534,1
188,1.754733,0
189,0.191467,1
190,0.082674,1
191,5.025745,0
192,0.268355,1
193,1.594943,1
194,0.157592,0
195,2.643128,1
196,2.969994,0
197,4.348186,0
198,0.136764,1
199,3.028376,1
200,0.59275,1
201,2.699293,0
202,2.47831,0
203,2.481091,1
204,0.084019,0
205,1.94095,0
206,5.127429,0
207,2.897594,0
208,1.261479,0
209,4.608048,1
210,0.511465,1
211,1.115521,0
212,0.424259,1
213,1.967804,0
214,3.064373,1
215,0.208712,1
216,0.207361,1
217,0.22722,1
218,4.058043,1
219,0.349086,1
220,2.491347,0
221,0.156438,1
222,0.225727,1
223,5.412126,1
224,0.651216,0
225,1.323916,1
226,1.760206,1
227,2.048396,1
228,2.101385,1
229,2.747105,1
230,3.402434,1
231,0.135068,0
232,4.012804,1
233,1.870906,0
234,1.042976,0
235,0.05959,1
236,1.667426,0
237,0.425221,1
238,0.333536,1
239,0.225262,1
240,4.375482,0
241,0.261873,1
242,4.138624,0
243,2.131804,0
244,0.154313,1
