sample_idx,loss,is_noisy
0,9.403199,1
1,8.962053,1
2,10.214583,1
3,10.254067,1
4,10.645623,0
5,0.000262,1
6,8.599986,1
7,0.000198,1
8,0.000481,1
9,0.00031,1
10,7.902252,1
11,0.000139,0
12,0.000218,1
13,10.349925,1
14,12.413981,0
15,0.000401,1
16,10.677601,1
17,9.7526,1
18,10.492137,0
19,0.000498,1
20,10.804007,1
21,11.106554,0
22,11.453951,1
23,7.6e-05,1
24,6.5e-05,1
25,0.000141,1
26,9.696099,1
27,11.277288,0
28,10.533596,0
29,9.1e-05,1
30,8.65745,1
31,8.165536,0
32,12.382296,0
33,8.2e-05,1
34,10.389852,1
35,0.00053,1
36,8.59968,0
37,14.162929,1
38,0.000117,1
39,11.003443,1
40,9.901051,1
41,0.000202,1
42,0.000531,1
43,9.89357,0
44,9.631385,0
45,10.115524,1
46,6e-05,0
47,10.309355,1
48,0.00021,1
49,0.00043,1
50,4.9e-05,0
51,9.580632,0
52,0.000277,1
53,10.289282,1
54,0.00041,1
55,0.000508,1
56,9.950088,1
57,0.000365,0
58,0.000468,1
59,7.464968,0
60,10.616213,0
61,0.000105,1
62,8.055084,1
63,0.000367,1
64,7.1e-05,1
65,7.888097,1
66,10.681538,1
67,12.135256,1
68,12.538418,0
69,8.3e-05,0
70,0.000189,1
71,10.722259,1
72,8.1e-05,1
73,0.00022,1
74,8.9e-05,1
75,0.000311,1
76,10.239528,0
77,8.566221,1
78,8.916767,1
79,9.781999,1
80,0.000114,1
81,0.000112,1
82,11.43499,1
83,11.757791,1
84,9.619805,1
85,0.000105,1
86,9.611483,0
87,10.205009,0
88,7.272244,0
89,7.4e-05,1
90,0.000406,1
91,10.609773,1
92,10.056761,1
93,8.2e-05,0
94,0.000223,1
95,7.063576,0
96,0.000137,1
97,0.000209,1
98,10.691206,1
99,11.037308,1
100,10.831614,1
101,10.294849,1
102,7.3e-05,0
103,0.000199,1
104,0.000146,0
105,11.458285,1
106,11.976737,1
107,7.773296,1
108,8.936348,0
109,0.000105,0
110,10.775724,1
111,10.13904,0
112,4.1e-05,0
113,11.514077,0
114,11.525008,0
115,7.599899,1
116,10.577805,0
117,0.000215,1
118,10.261317,1
119,4.5e-05,1
120,0.000126,1
121,7.37246,0
122,9.387893,1
123,8.403608,0
124,10.109497,0
125,8.6e-05,1
126,0.000166,1
127,0.000382,1
128,9.787897,0
129,0.000255,0
130,0.000223,1
131,9.570441,1
132,0.001291,1
133,4.8e-05,0
134,10.663375,0
135,0.00011,1
136,7.420701,0
137,9.961236,0
138,12.964853,0
139,11.197508,1
140,0.000151,1
141,0.00017,1
142,10.826446,0
143,0.001135,1
144,10.892249,1
145,9.363483,1
146,0.000275,1
147,0.00011,0
148,8.53326,0
149,7.8e-05,1
150,9.837572,1
151,0.000189,0
152,0.000471,1
153,7.4e-05,1
154,11.669966,1
155,9.226642,0
156,8.1e-05,1
157,0.00045,1
158,8.251193,0
159,10.710665,1
160,0.000312,1
161,10.00271,1
162,8.819674,1
163,13.38371,0
164,8.853036,0
165,8.952942,0
166,12.40977,0
167,9.723751,1
168,9.687844,1
169,6.5e-05,1
170,0.000112,1
171,9.113355,0
172,11.256287,1
173,10.583288,0
174,11.25155,0
175,0.000181,1
176,11.279015,1
177,9.484094,1
178,0.000282,1
179,11.794536,1
180,9.490368,0
181,0.000165,1
182,0.000118,1
183,0.000358,1
184,10.764058,0
185,0.000338,1
186,8.85926,0
187,10.894887,1
188,9.659312,0
189,0.00024,1
190,4.2e-05,1
191,11.420389,0
192,0.00011,1
193,9.938707,1
194,4.8e-05,0
195,10.924517,1
196,9.64567,0
197,13.362153,0
198,0.000141,1
199,13.086536,1
200,0.001191,1
201,13.822345,0
202,9.14143,0
203,10.438391,1
204,0.000209,0
205,11.034904,0
206,14.217445,0
207,11.83281,0
208,7.789122,0
209,9.803117,1
210,0.000172,1
211,7.946688,0
212,0.000414,1
213,10.965529,0
214,10.556092,1
215,0.000219,1
216,9.4e-05,1
217,0.000112,1
218,10.321341,1
219,7.6e-05,1
220,10.279553,0
221,9.6e-05,1
222,0.000141,1
223,11.764309,1
224,9.350062,0
225,0.000152,1
226,7.09415,1
227,10.204445,1
228,12.185007,1
229,8.169594,1
230,8.530443,1
231,0.000132,0
232,11.696718,1
233,9.301769,0
234,8.536309,0
235,3.8e-05,1
236,8.622052,0
237,8.9e-05,1
238,0.000126,1
239,0.000183,1
240,12.415715,0
241,0.000311,1
242,10.700836,0
243,13.302182,0
244,0.000135,1
245,7.233729,1
246,8e-05,0
247,4.5e-05,1
248,0.000186,1
249,10.175561,0
250,10.821116,0
251,9.228241,0
252,11.070742,1
253,7.668575,0
254,10.367148,1
255,10.711004,1
256,9.5e-05,1
257,8.837676,1
258,11.138727,1
259,11.488354,0
260,11.568871,1
261,10.684362,1
262,0.000137,1
263,9.163107,1
264,4.1e-05,0
265,0.000186,0
266,0.000225,1
267,13.599655,1
268,0.000185,0
269,8.934947,1
270,9.159086,1
271,0.000466,1
272,10.375615,0
273,9.059733,1
274,0.000316,1
275,11.799921,1
276,10.939015,1
277,11.542531,1
278,7.6e-05,1
279,10.159677,1
280,0.000335,1
281,5.9e-05,1
282,7.02688,0
283,10.993587,1
284,11.952562,0
285,0.000233,1
286,0.000205,1
287,8.550122,0
288,12.672935,0
289,0.000243,0
290,0.000216,1
291,13.58448,0
292,0.000111,1
293,7.190496,0
294,11.308468,1
295,10.60075,0
296,11.841663,1
297,11.226329,1
298,10.977829,0
299,9.97762,1
300,4.8e-05,1
301,11.669818,0
302,10.511044,0
303,0.000148,1
304,10.904236,0
305,0.000159,0
306,0.000171,0
307,0.000269,1
308,12.162775,1
309,11.806242,0
310,0.000171,1
311,12.492897,1
312,0.000101,1
313,9.875491,1
314,9.477041,1
315,0.00077,1
316,9.700791,1
317,9.479179,0
318,8.753302,1
319,0.000772,1
320,7.480463,0
321,10.296827,0
322,0.0001,1
323,7.056287,0
324,11.094554,0
325,0.000159,1
326,10.180168,1
327,6.771653,1
328,8.795826,0
329,12.802766,1
330,11.291522,1
331,12.407731,1
332,10.508352,1
333,9.674089,0
334,8.343754,0
335,10.629687,1
336,9.573595,1
337,7.865942,0
338,12.090507,0
339,0.000272,1
