sample_idx,loss,is_noisy
0,1.519667,1
1,2.179269,1
2,3.462211,1
3,1.841178,1
4,0.864379,0
5,0.381501,1
6,1.486112,1
7,0.264119,1
8,1.227502,1
9,0.368047,1
10,1.338782,1
11,0.14814,0
12,0.204609,1
13,4.498363,1
14,3.744242,0
15,0.872238,1
16,2.113575,1
17,2.607006,1
18,0.418089,0
19,1.059554,1
20,1.955608,1
21,1.381815,0
22,3.45074,1
23,0.336057,1
24,1.097188,1
25,0.18841,1
26,2.002142,1
27,2.87608,0
28,1.490559,0
29,0.287196,1
30,2.289387,1
31,0.735738,0
32,5.904909,0
33,0.191031,1
34,2.162913,1
35,1.119688,1
36,1.801519,0
37,4.455117,1
38,0.416307,1
39,3.561534,1
40,1.800174,1
41,0.700584,1
42,0.28552,1
43,2.421252,0
44,4.963637,0
45,2.325831,1
46,0.417323,0
47,3.285444,1
48,0.390321,1
49,1.005906,1
50,0.285933,0
51,0.130012,0
52,0.30813,1
53,2.126411,1
54,0.349943,1
55,2.257836,1
56,2.044437,1
57,0.400557,0
58,0.429699,1
59,0.669392,0
60,2.53043,0
61,0.682119,1
62,2.14406,1
63,0.878289,1
64,0.202647,1
65,2.347226,1
66,4.952209,1
67,4.154631,1
68,3.805783,0
69,0.239905,0
70,0.440843,1
71,4.394174,1
72,0.511168,1
73,0.743262,1
74,0.359595,1
75,1.044752,1
76,1.581855,0
77,1.700538,1
78,2.730871,1
79,2.123368,1
80,0.247615,1
81,0.646828,1
82,3.098689,1
83,4.961801,1
84,1.44584,1
85,0.314867,1
86,1.433802,0
87,1.596677,0
88,1.01571,0
89,0.578291,1
90,0.945937,1
91,0.662854,1
92,2.31949,1
93,0.104399,0
94,0.591136,1
95,0.081511,0
96,0.733367,1
97,0.465854,1
98,5.046004,1
99,3.397949,1
100,2.38771,1
101,2.927066,1
102,0.630714,0
103,0.729642,1
104,0.193026,0
105,0.636585,1
106,2.846321,1
107,0.278402,1
108,1.307341,0
109,0.48592,0
110,0.103391,1
111,1.785838,0
112,1.060558,0
113,5.118741,0
114,4.889833,0
115,1.737972,1
116,3.260939,0
117,0.582905,1
118,1.314316,1
119,0.30506,1
120,0.64379,1
121,0.477355,0
122,1.234804,1
123,2.731233,0
124,0.206935,0
125,0.223035,1
126,0.282102,1
127,0.822092,1
128,0.877167,0
129,0.219665,0
130,1.690952,1
131,1.470764,1
132,1.28475,1
133,0.358349,0
134,1.953892,0
135,0.115365,1
136,0.621419,0
137,0.21692,0
138,3.691698,0
139,1.4127,1
140,0.197815,1
141,0.620883,1
142,4.575793,0
143,1.778268,1
144,1.29011,1
145,1.708771,1
146,0.968996,1
147,0.21434,0
148,1.406676,0
149,2.090653,1
150,2.508019,1
151,0.133673,0
152,0.618308,1
153,0.230088,1
154,2.251028,1
155,2.317836,0
156,0.293323,1
157,0.706978,1
158,0.156999,0
159,1.551109,1
160,0.802768,1
161,2.449661,1
162,1.621656,1
163,4.464834,0
164,1.075775,0
165,1.713714,0
166,4.78575,0
167,2.582534,1
168,1.726559,1
169,0.207486,1
170,0.324347,1
171,1.798662,0
172,2.607286,1
173,3.45901,0
174,4.007129,0
175,0.52686,1
176,5.401723,1
177,5.175542,1
178,1.056441,1
179,3.156669,1
180,0.934383,0
181,0.312802,1
182,0.651571,1
183,0.205114,1
184,2.984253,0
185,0.625776,1
186,2.064577,0
187,1.980061,1
188,2.06654,0
189,0.388442,1
190,0.302828,1
191,4.924796,0
192,0.230032,1
193,1.349274,1
194,0.209331,0
195,1.727133,1
196,2.522259,0
197,2.365946,0
198,0.136189,1
199,3.561901,1
200,1.633776,1
201,3.371293,0
202,1.836454,0
203,1.507523,1
204,0.227982,0
205,1.287368,0
206,5.449697,0
207,3.970226,0
208,0.920186,0
209,4.994337,1
210,1.090165,1
211,0.267362,0
212,0.673854,1
213,1.457431,0
214,2.264102,1
215,0.413928,1
216,0.192098,1
217,0.202894,1
218,4.933642,1
219,0.308794,1
220,2.077171,0
221,0.374838,1
222,0.441266,1
223,5.498145,1
224,0.104738,0
225,0.836408,1
226,1.291147,1
227,1.583432,1
228,1.410682,1
229,1.633705,1
230,2.137167,1
231,0.310751,0
232,3.359679,1
233,2.119938,0
234,1.456731,0
235,0.154178,1
236,1.586875,0
237,0.521578,1
238,0.371475,1
239,0.207564,1
240,4.014444,0
241,1.077032,1
242,4.029757,0
243,2.031186,0
244,0.141587,1
245,0.725433,1
246,0.150572,0
247,0.415916,1
248,0.352381,1
249,3.457694,0
250,0.926775,0
251,0.86437,0
252,1.244741,1
253,0.209271,0
254,2.503633,1
255,1.492163,1
256,0.279035,1
257,1.020128,1
258,1.183634,1
259,3.626014,0
260,3.363129,1
261,3.803063,1
262,0.337283,1
263,5.215567,1
264,0.148242,0
265,0.995819,0
266,1.558956,1
267,4.478276,1
268,0.180439,0
269,1.575364,1
270,2.309799,1
271,1.830842,1
272,1.690009,0
273,0.796852,1
274,0.60108,1
275,1.921076,1
276,2.652364,1
277,2.631252,1
278,0.947829,1
279,1.479004,1
280,0.543254,1
281,0.446436,1
282,0.103097,0
283,3.512331,1
284,3.615699,0
285,1.309271,1
286,0.659763,1
287,2.147249,0
288,1.762758,0
289,0.39988,0
290,0.383451,1
291,4.885712,0
292,0.417138,1
293,0.134284,0
294,4.550744,1
295,0.41131,0
296,4.059647,1
297,2.808292,1
298,2.075541,0
299,1.543449,1
300,0.273635,1
301,2.155239,0
302,1.767318,0
303,0.568289,1
304,5.206966,0
305,0.30628,0
306,0.721693,0
307,0.481902,1
308,4.021045,1
309,5.344331,0
310,0.460253,1
311,5.75572,1
312,0.437077,1
313,2.547403,1
314,3.504411,1
315,0.243766,1
316,0.388902,1
317,0.391625,0
318,2.127991,1
319,1.199492,1
320,0.982103,0
321,3.079818,0
322,0.45556,1
323,0.131228,0
324,1.462929,0
325,0.9046,1
326,3.487161,1
327,0.721019,1
328,1.758379,0
329,2.964581,1
330,1.001708,1
331,3.489505,1
332,4.709649,1
333,1.159479,0
334,2.718322,0
335,1.809967,1
336,2.794438,1
337,1.467107,0
338,6.241604,0
339,0.835152,1
340,0.19306,1
341,2.761661,1
342,1.52192,0
343,0.374853,0
344,2.729122,1
345,1.942564,0
346,0.762457,1
347,2.368911,1
348,2.957533,0
349,0.819108,0
350,0.283198,1
351,2.246881,0
352,0.185303,0
353,0.366153,0
354,0.18335,1
355,0.076284,0
356,6.533811,1
357,1.19353,1
358,0.865797,1
359,4.61147,0
360,0.241274,1
361,0.311372,0
362,1.114169,1
363,0.423143,1
364,0.280706,0
365,0.896794,1
366,4.236109,0
367,0.352428,1
368,2.032431,1
369,0.793106,1
370,0.284054,0
371,4.713063,1
372,4.647882,0
373,0.17566,0
374,0.382594,1
375,0.911294,0
376,0.997432,1
377,0.812937,1
378,0.343121,0
379,0.600273,1
380,0.292882,1
381,0.618935,1
382,0.428705,1
383,0.441066,1
384,0.260971,1
385,0.564106,1
386,4.772018,0
387,1.944201,1
388,1.097073,1
389,0.222824,0
390,1.002705,1
391,5.196424,0
392,0.608577,1
393,1.135838,1
394,0.162166,0
395,1.081644,1
396,1.558712,1
397,2.406869,0
398,2.652469,0
399,1.907148,1
400,0.190597,0
401,1.812515,1
402,0.391255,0
403,0.531539,1
404,0.168733,0
405,0.785993,1
406,0.412632,0
407,1.74526,1
408,1.708516,0
409,1.481068,1
410,3.892568,1
411,4.27028,1
412,2.468202,1
413,0.70428,0
414,0.883382,0
415,1.484696,1
416,1.756206,1
417,2.80123,1
418,5.147902,1
419,0.513107,0
420,1.924273,0
421,0.535962,1
422,3.868734,0
423,3.896547,0
424,1.35354,1
425,2.502244,1
426,1.667845,0
427,2.109464,1
428,2.272799,1
429,0.916498,1
430,2.461315,1
431,4.70002,0
432,3.221526,1
433,0.278973,1
434,2.745818,0
435,1.861261,1
436,0.291115,0
437,0.564816,1
438,0.106576,0
439,1.237762,1
440,0.818155,1
441,0.172151,0
442,1.022965,1
443,0.873093,0
444,0.174496,1
445,0.935009,0
446,1.190724,1
447,2.084907,1
448,0.222792,0
449,0.787571,1
450,7.408359,1
451,0.36639,1
452,5.015437,1
453,0.130004,0
454,0.450473,1
