dataset,corruption,condition,rank,class,freq
cifar10,pixelate,clean,1,plane,0.1
cifar10,pixelate,clean,2,car,0.1
cifar10,pixelate,clean,3,bird,0.1
cifar10,pixelate,clean,4,cat,0.1
cifar10,pixelate,clean,5,deer,0.1
cifar10,pixelate,clean,6,dog,0.1
cifar10,pixelate,clean,7,frog,0.1
cifar10,pixelate,clean,8,horse,0.1
cifar10,pixelate,clean,9,ship,0.1
cifar10,pixelate,clean,10,truck,0.1
cifar10,pixelate,sev1,1,horse,0.112311
cifar10,pixelate,sev1,2,truck,0.109022
cifar10,pixelate,sev1,3,ship,0.108489
cifar10,pixelate,sev1,4,bird,0.100533
cifar10,pixelate,sev1,5,car,0.098933
cifar10,pixelate,sev1,6,plane,0.097911
cifar10,pixelate,sev1,7,cat,0.095244
cifar10,pixelate,sev1,8,dog,0.094578
cifar10,pixelate,sev1,9,deer,0.093111
cifar10,pixelate,sev1,10,frog,0.089867
cifar10,pixelate,sev5,1,ship,0.310178
cifar10,pixelate,sev5,2,truck,0.301289
cifar10,pixelate,sev5,3,horse,0.089244
cifar10,pixelate,sev5,4,bird,0.070133
cifar10,pixelate,sev5,5,plane,0.07
cifar10,pixelate,sev5,6,deer,0.044933
cifar10,pixelate,sev5,7,cat,0.035067
cifar10,pixelate,sev5,8,dog,0.031511
cifar10,pixelate,sev5,9,car,0.025689
cifar10,pixelate,sev5,10,frog,0.021956
cifar10,gaussian-noise,clean,1,plane,0.1
cifar10,gaussian-noise,clean,2,car,0.1
cifar10,gaussian-noise,clean,3,bird,0.1
cifar10,gaussian-noise,clean,4,cat,0.1
cifar10,gaussian-noise,clean,5,deer,0.1
cifar10,gaussian-noise,clean,6,dog,0.1
cifar10,gaussian-noise,clean,7,frog,0.1
cifar10,gaussian-noise,clean,8,horse,0.1
cifar10,gaussian-noise,clean,9,ship,0.1
cifar10,gaussian-noise,clean,10,truck,0.1
cifar10,gaussian-noise,sev1,1,frog,0.148489
cifar10,gaussian-noise,sev1,2,bird,0.129422
cifar10,gaussian-noise,sev1,3,car,0.102089
cifar10,gaussian-noise,sev1,4,deer,0.0972
cifar10,gaussian-noise,sev1,5,ship,0.094089
cifar10,gaussian-noise,sev1,6,cat,0.093156
cifar10,gaussian-noise,sev1,7,truck,0.088489
cifar10,gaussian-noise,sev1,8,horse,0.085911
cifar10,gaussian-noise,sev1,9,plane,0.0824
cifar10,gaussian-noise,sev1,10,dog,0.078756
cifar10,gaussian-noise,sev5,1,frog,0.396978
cifar10,gaussian-noise,sev5,2,bird,0.192
cifar10,gaussian-noise,sev5,3,car,0.082044
cifar10,gaussian-noise,sev5,4,cat,0.068
cifar10,gaussian-noise,sev5,5,plane,0.059422
cifar10,gaussian-noise,sev5,6,deer,0.052044
cifar10,gaussian-noise,sev5,7,truck,0.040356
cifar10,gaussian-noise,sev5,8,ship,0.039333
cifar10,gaussian-noise,sev5,9,dog,0.035289
cifar10,gaussian-noise,sev5,10,horse,0.034533
mnist,rotate,clean,1,1,0.11237
mnist,rotate,clean,2,7,0.104407
mnist,rotate,clean,3,3,0.102185
mnist,rotate,clean,4,2,0.099296
mnist,rotate,clean,5,9,0.099148
mnist,rotate,clean,6,0,0.098741
mnist,rotate,clean,7,6,0.09863
mnist,rotate,clean,8,8,0.097519
mnist,rotate,clean,9,4,0.09737
mnist,rotate,clean,10,5,0.090333
mnist,rotate,sev1,1,1,0.112704
mnist,rotate,sev1,2,3,0.104444
mnist,rotate,sev1,3,7,0.104148
mnist,rotate,sev1,4,9,0.099963
mnist,rotate,sev1,5,6,0.099185
mnist,rotate,sev1,6,2,0.09837
mnist,rotate,sev1,7,0,0.098148
mnist,rotate,sev1,8,8,0.097519
mnist,rotate,sev1,9,4,0.097185
mnist,rotate,sev1,10,5,0.088333
mnist,rotate,sev5,1,2,0.200704
mnist,rotate,sev5,2,0,0.161778
mnist,rotate,sev5,3,5,0.113481
mnist,rotate,sev5,4,4,0.10337
mnist,rotate,sev5,5,8,0.093259
mnist,rotate,sev5,6,9,0.08537
mnist,rotate,sev5,7,7,0.075667
mnist,rotate,sev5,8,6,0.073852
mnist,rotate,sev5,9,1,0.054148
mnist,rotate,sev5,10,3,0.03837
mnist,brightness,clean,1,1,0.11237
mnist,brightness,clean,2,7,0.104407
mnist,brightness,clean,3,3,0.102185
mnist,brightness,clean,4,2,0.099296
mnist,brightness,clean,5,9,0.099148
mnist,brightness,clean,6,0,0.098741
mnist,brightness,clean,7,6,0.09863
mnist,brightness,clean,8,8,0.097519
mnist,brightness,clean,9,4,0.09737
mnist,brightness,clean,10,5,0.090333
mnist,brightness,sev1,1,8,0.172926
mnist,brightness,sev1,2,4,0.099926
mnist,brightness,sev1,3,3,0.098963
mnist,brightness,sev1,4,0,0.098
mnist,brightness,sev1,5,2,0.097444
mnist,brightness,sev1,6,7,0.096407
mnist,brightness,sev1,7,6,0.094889
mnist,brightness,sev1,8,5,0.084148
mnist,brightness,sev1,9,9,0.081
mnist,brightness,sev1,10,1,0.076296
mnist,brightness,sev5,1,8,0.328519
mnist,brightness,sev5,2,0,0.125593
mnist,brightness,sev5,3,3,0.106296
mnist,brightness,sev5,4,4,0.101111
mnist,brightness,sev5,5,1,0.064778
mnist,brightness,sev5,6,5,0.057296
mnist,brightness,sev5,7,6,0.056037
mnist,brightness,sev5,8,2,0.055963
mnist,brightness,sev5,9,9,0.053222
mnist,brightness,sev5,10,7,0.051185
