corruption,family,severity,variant,tv_mean,tv_ci95_half
brightness,Digital,1,S,0.111718,0.002043
brightness,Digital,1,C,N/A,N/A
brightness,Digital,3,S,0.126011,0.001863
brightness,Digital,3,C,N/A,N/A
brightness,Digital,5,S,0.165714,0.001878
brightness,Digital,5,C,N/A,N/A
contrast,Digital,1,S,0.117639,0.00206
contrast,Digital,1,C,N/A,N/A
contrast,Digital,3,S,0.199755,0.00214
contrast,Digital,3,C,N/A,N/A
contrast,Digital,5,S,0.486402,0.00223
contrast,Digital,5,C,N/A,N/A
defocus-blur,Blur,1,S,0.113096,0.002173
defocus-blur,Blur,1,C,N/A,N/A
defocus-blur,Blur,3,S,0.181485,0.001919
defocus-blur,Blur,3,C,N/A,N/A
defocus-blur,Blur,5,S,0.378121,0.002225
defocus-blur,Blur,5,C,N/A,N/A
elastic-transform,Digital,1,S,0.175447,0.001997
elastic-transform,Digital,1,C,N/A,N/A
elastic-transform,Digital,3,S,0.209095,0.002033
elastic-transform,Digital,3,C,N/A,N/A
elastic-transform,Digital,5,S,0.34373,0.002518
elastic-transform,Digital,5,C,N/A,N/A
fog,Weather,1,S,0.113303,0.002167
fog,Weather,1,C,N/A,N/A
fog,Weather,3,S,0.154169,0.001917
fog,Weather,3,C,N/A,N/A
fog,Weather,5,S,0.304286,0.002374
fog,Weather,5,C,N/A,N/A
frost,Weather,1,S,0.133154,0.001944
frost,Weather,1,C,N/A,N/A
frost,Weather,3,S,0.197615,0.002276
frost,Weather,3,C,N/A,N/A
frost,Weather,5,S,0.233346,0.002574
frost,Weather,5,C,N/A,N/A
gaussian-noise,Noise,1,S,0.247357,0.002366
gaussian-noise,Noise,1,C,N/A,N/A
gaussian-noise,Noise,3,S,0.507013,0.002163
gaussian-noise,Noise,3,C,N/A,N/A
gaussian-noise,Noise,5,S,0.591231,0.002073
gaussian-noise,Noise,5,C,N/A,N/A
glass-blur,Blur,1,S,0.65367,0.002584
glass-blur,Blur,1,C,N/A,N/A
glass-blur,Blur,3,S,0.653356,0.002271
glass-blur,Blur,3,C,N/A,N/A
glass-blur,Blur,5,S,0.750637,0.001647
glass-blur,Blur,5,C,N/A,N/A
impulse-noise,Noise,1,S,0.19965,0.002292
impulse-noise,Noise,1,C,N/A,N/A
impulse-noise,Noise,3,S,0.361959,0.002402
impulse-noise,Noise,3,C,N/A,N/A
impulse-noise,Noise,5,S,0.562762,0.002213
impulse-noise,Noise,5,C,N/A,N/A
jpeg-compression,Digital,1,S,0.200305,0.002502
jpeg-compression,Digital,1,C,N/A,N/A
jpeg-compression,Digital,3,S,0.271385,0.002398
jpeg-compression,Digital,3,C,N/A,N/A
jpeg-compression,Digital,5,S,0.32928,0.002018
jpeg-compression,Digital,5,C,N/A,N/A
motion-blur,Blur,1,S,0.179483,0.001691
motion-blur,Blur,1,C,N/A,N/A
motion-blur,Blur,3,S,0.313334,0.001904
motion-blur,Blur,3,C,N/A,N/A
motion-blur,Blur,5,S,0.378422,0.002283
motion-blur,Blur,5,C,N/A,N/A
pixelate,Digital,1,S,0.145918,0.001887
pixelate,Digital,1,C,N/A,N/A
pixelate,Digital,3,S,0.263749,0.002241
pixelate,Digital,3,C,N/A,N/A
pixelate,Digital,5,S,0.598499,0.001994
pixelate,Digital,5,C,N/A,N/A
shot-noise,Noise,1,S,0.189825,0.002204
shot-noise,Noise,1,C,N/A,N/A
shot-noise,Noise,3,S,0.420133,0.00253
shot-noise,Noise,3,C,N/A,N/A
shot-noise,Noise,5,S,0.554914,0.002246
shot-noise,Noise,5,C,N/A,N/A
snow,Weather,1,S,0.160597,0.0021
snow,Weather,1,C,N/A,N/A
snow,Weather,3,S,0.226603,0.002457
snow,Weather,3,C,N/A,N/A
snow,Weather,5,S,0.284861,0.002261
snow,Weather,5,C,N/A,N/A
zoom-blur,Blur,1,S,0.195379,0.002037
zoom-blur,Blur,1,C,N/A,N/A
zoom-blur,Blur,3,S,0.252491,0.002413
zoom-blur,Blur,3,C,N/A,N/A
zoom-blur,Blur,5,S,0.350536,0.001976
zoom-blur,Blur,5,C,N/A,N/A
