/path/to/ciln-workspace/venv/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
condition=gu_high seed=1 gpu=1
  ep   0: acc1=28.81%  acc2=32.08%  ens=30.45%  (best 30.45 @ ep 0)  [7.8s]
  ep   1: acc1=40.27%  acc2=39.32%  ens=39.80%  (best 39.80 @ ep 1)  [7.1s]
  ep   2: acc1=50.61%  acc2=45.40%  ens=48.00%  (best 48.00 @ ep 2)  [7.5s]
  ep   3: acc1=53.77%  acc2=48.50%  ens=51.13%  (best 51.13 @ ep 3)  [7.2s]
  ep   4: acc1=53.28%  acc2=55.59%  ens=54.44%  (best 54.44 @ ep 4)  [7.4s]
  ep   5: acc1=54.28%  acc2=50.50%  ens=52.39%  (best 54.44 @ ep 4)  [10.4s]  [w on clean=0.803, on noisy=0.435]
  ep   6: acc1=53.87%  acc2=51.41%  ens=52.64%  (best 54.44 @ ep 4)  [17.8s]
  ep   7: acc1=57.62%  acc2=58.03%  ens=57.83%  (best 57.83 @ ep 7)  [20.2s]
  ep   8: acc1=56.36%  acc2=55.97%  ens=56.16%  (best 57.83 @ ep 7)  [22.9s]
  ep   9: acc1=59.99%  acc2=59.49%  ens=59.74%  (best 59.74 @ ep 9)  [21.4s]
  ep  10: acc1=47.22%  acc2=32.36%  ens=39.79%  (best 59.74 @ ep 9)  [62.5s]  [w on clean=0.754, on noisy=0.346]
  ep  11: acc1=36.76%  acc2=30.87%  ens=33.81%  (best 59.74 @ ep 9)  [26.6s]
  ep  12: acc1=25.26%  acc2=21.63%  ens=23.45%  (best 59.74 @ ep 9)  [32.1s]
  ep  13: acc1=18.63%  acc2=15.43%  ens=17.03%  (best 59.74 @ ep 9)  [23.5s]
  ep  14: acc1=12.61%  acc2=10.73%  ens=11.67%  (best 59.74 @ ep 9)  [52.1s]
  ep  15: acc1=10.21%  acc2=10.00%  ens=10.11%  (best 59.74 @ ep 9)  [31.8s]
  ep  16: acc1=10.02%  acc2=10.00%  ens=10.01%  (best 59.74 @ ep 9)  [31.0s]
  ep  17: acc1=10.00%  acc2=11.51%  ens=10.76%  (best 59.74 @ ep 9)  [102.4s]
  ep  18: acc1=10.54%  acc2=10.00%  ens=10.27%  (best 59.74 @ ep 9)  [31.5s]
  ep  19: acc1=10.71%  acc2=10.20%  ens=10.46%  (best 59.74 @ ep 9)  [35.5s]
  ep  20: acc1=10.41%  acc2=10.03%  ens=10.22%  (best 59.74 @ ep 9)  [34.9s]  [w on clean=0.799, on noisy=0.535]
  ep  21: acc1=10.00%  acc2=10.01%  ens=10.01%  (best 59.74 @ ep 9)  [59.5s]
  ep  22: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.5s]
  ep  23: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [86.1s]
  ep  24: acc1=10.02%  acc2=10.00%  ens=10.01%  (best 59.74 @ ep 9)  [32.6s]
  ep  25: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.8s]
  ep  26: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.4s]
  ep  27: acc1=10.00%  acc2=10.02%  ens=10.01%  (best 59.74 @ ep 9)  [38.6s]
  ep  28: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [31.3s]
  ep  29: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [141.1s]
  ep  30: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [38.8s]  [w on clean=0.799, on noisy=0.535]
  ep  31: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 59.74 @ ep 9)  [32.5s]
  ep  32: acc1=10.00%  acc2=10.18%  ens=10.09%  (best 59.74 @ ep 9)  [31.7s]
