condition=ours_v2_clean__glass_blur_sev3 seed=1 gpu=1
/path/to/ciln-workspace/venv/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
image_source=clean  N_train=22500  noise_rate=64.68%
  ep   0: acc1=21.89%  acc2=18.78%  ens=20.34%  (best 20.34 @ ep 0)  [8.4s]
  ep   1: acc1=25.54%  acc2=26.17%  ens=25.86%  (best 25.86 @ ep 1)  [7.9s]
  ep   2: acc1=27.79%  acc2=22.86%  ens=25.32%  (best 25.86 @ ep 1)  [7.6s]
  ep   3: acc1=28.69%  acc2=24.52%  ens=26.61%  (best 26.61 @ ep 3)  [8.6s]
  ep   4: acc1=24.54%  acc2=25.73%  ens=25.13%  (best 26.61 @ ep 3)  [7.8s]
  ep   5: acc1=27.81%  acc2=26.14%  ens=26.98%  (best 26.98 @ ep 5)  [11.8s]  [w on clean=0.732, on noisy=0.678]
  ep   6: acc1=27.13%  acc2=27.80%  ens=27.46%  (best 27.46 @ ep 6)  [7.3s]
  ep   7: acc1=24.32%  acc2=30.46%  ens=27.39%  (best 27.46 @ ep 6)  [7.8s]
  ep   8: acc1=31.11%  acc2=31.57%  ens=31.34%  (best 31.34 @ ep 8)  [7.3s]
  ep   9: acc1=34.03%  acc2=30.26%  ens=32.15%  (best 32.15 @ ep 9)  [7.7s]
  ep  10: acc1=18.59%  acc2=14.52%  ens=16.55%  (best 32.15 @ ep 9)  [45.1s]  [w on clean=0.369, on noisy=0.467]
  ep  11: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [26.0s]
  ep  12: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.9s]
  ep  13: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.6s]
  ep  14: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.8s]
  ep  15: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.2s]
  ep  16: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.7s]
  ep  17: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [28.6s]
  ep  18: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.7s]
  ep  19: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.3s]
  ep  20: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [26.8s]  [w on clean=0.225, on noisy=0.497]
  ep  21: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [24.9s]
  ep  22: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [24.5s]
  ep  23: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.7s]
  ep  24: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.9s]
  ep  25: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.2s]
  ep  26: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.1s]
  ep  27: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [29.2s]
  ep  28: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.2s]
  ep  29: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.8s]
  ep  30: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [27.7s]  [w on clean=0.225, on noisy=0.497]
  ep  31: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.9s]
  ep  32: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.9s]
  ep  33: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.9s]
  ep  34: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.9s]
  ep  35: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [27.0s]
  ep  36: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.6s]
  ep  37: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.5s]
  ep  38: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [31.8s]
  ep  39: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [25.3s]
  ep  40: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.8s]
  ep  41: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.9s]
  ep  42: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.5s]
  ep  43: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [24.9s]
  ep  44: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [24.0s]
  ep  45: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.0s]
  ep  46: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [30.7s]
  ep  47: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.8s]
  ep  48: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.9s]
  ep  49: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.4s]
  ep  50: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [27.3s]  [w on clean=0.225, on noisy=0.497]
  ep  51: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.1s]
  ep  52: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.5s]
  ep  53: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [26.5s]
  ep  54: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.1s]
  ep  55: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.9s]
  ep  56: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.8s]
  ep  57: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.3s]
  ep  58: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [27.3s]
  ep  59: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.4s]
  ep  60: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.4s]
  ep  61: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.6s]
  ep  62: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.1s]
  ep  63: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.1s]
  ep  64: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.6s]
  ep  65: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.9s]
  ep  66: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [24.0s]
  ep  67: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.9s]
  ep  68: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.6s]
  ep  69: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.8s]
  ep  70: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.2s]
  ep  71: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [23.1s]
  ep  72: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [30.3s]
  ep  73: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 32.15 @ ep 9)  [22.6s]
