condition=ours_v2_noisy__glass_blur_sev3 seed=2 gpu=2
/path/to/ciln-workspace/venv/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
image_source=noisy  N_train=22500  noise_rate=64.68%
  ep   0: acc1=25.40%  acc2=15.64%  ens=20.52%  (best 20.52 @ ep 0)  [8.5s]
  ep   1: acc1=19.98%  acc2=16.51%  ens=18.25%  (best 20.52 @ ep 0)  [7.6s]
  ep   2: acc1=23.58%  acc2=26.22%  ens=24.90%  (best 24.90 @ ep 2)  [7.5s]
  ep   3: acc1=25.61%  acc2=25.31%  ens=25.46%  (best 25.46 @ ep 3)  [8.0s]
  ep   4: acc1=30.93%  acc2=29.81%  ens=30.37%  (best 30.37 @ ep 4)  [14.0s]
  ep   5: acc1=29.50%  acc2=27.57%  ens=28.54%  (best 30.37 @ ep 4)  [11.7s]  [w on clean=0.635, on noisy=0.574]
  ep   6: acc1=28.07%  acc2=28.20%  ens=28.13%  (best 30.37 @ ep 4)  [7.6s]
  ep   7: acc1=29.96%  acc2=29.19%  ens=29.57%  (best 30.37 @ ep 4)  [8.1s]
  ep   8: acc1=31.89%  acc2=30.28%  ens=31.09%  (best 31.09 @ ep 8)  [7.8s]
  ep   9: acc1=28.55%  acc2=32.01%  ens=30.28%  (best 31.09 @ ep 8)  [7.4s]
  ep  10: acc1=16.75%  acc2=10.00%  ens=13.38%  (best 31.09 @ ep 8)  [43.8s]  [w on clean=0.307, on noisy=0.473]
  ep  11: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.3s]
  ep  12: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [52.3s]
  ep  13: acc1=10.00%  acc2=10.00%  ens=10.00%  (best 31.09 @ ep 8)  [23.2s]
