# 2026-07-19T17:38:25.440083 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_agnews/train_agnews_coteaching.py --setting butter_fingers_sev1 --variant C --image-source clean --seed 0 --gpu 1
[AGN CoT] butter_fingers_sev1__C__coteaching__clean__seed0  gpu=1
  N=35066  tau=3.37%
  ep   0  R(t)=1.000  a=83.79%  b=83.70%  ens=84.24%  best_ens=84.24%@0
  ep   5  R(t)=0.976  a=87.13%  b=87.46%  ens=87.46%  best_ens=87.66%@2
  ep  10  R(t)=0.966  a=86.32%  b=86.87%  ens=87.04%  best_ens=87.66%@2
  ep  15  R(t)=0.966  a=86.59%  b=86.24%  ens=86.92%  best_ens=87.66%@2
  ep  20  R(t)=0.966  a=86.07%  b=86.07%  ens=86.74%  best_ens=87.66%@2
  ep  25  R(t)=0.966  a=85.84%  b=85.68%  ens=86.30%  best_ens=87.66%@2
  ep  30  R(t)=0.966  a=86.07%  b=86.13%  ens=86.51%  best_ens=87.66%@2
  ep  35  R(t)=0.966  a=85.46%  b=86.37%  ens=86.22%  best_ens=87.66%@2
  ep  40  R(t)=0.966  a=85.58%  b=85.59%  ens=86.09%  best_ens=87.66%@2
  ep  45  R(t)=0.966  a=85.58%  b=85.93%  ens=86.21%  best_ens=87.66%@2
  ep  50  R(t)=0.966  a=85.95%  b=85.50%  ens=86.13%  best_ens=87.66%@2
  ep  55  R(t)=0.966  a=85.68%  b=85.70%  ens=86.11%  best_ens=87.66%@2
  ep  60  R(t)=0.966  a=85.29%  b=85.76%  ens=85.91%  best_ens=87.66%@2
  ep  65  R(t)=0.966  a=85.61%  b=86.00%  ens=86.18%  best_ens=87.66%@2
  ep  70  R(t)=0.966  a=85.91%  b=86.03%  ens=86.14%  best_ens=87.66%@2
  ep  75  R(t)=0.966  a=85.89%  b=86.33%  ens=86.38%  best_ens=87.66%@2
  ep  80  R(t)=0.966  a=85.91%  b=86.09%  ens=86.20%  best_ens=87.66%@2
  ep  85  R(t)=0.966  a=85.93%  b=85.97%  ens=86.29%  best_ens=87.66%@2
  ep  90  R(t)=0.966  a=86.04%  b=86.24%  ens=86.26%  best_ens=87.66%@2
  ep  95  R(t)=0.966  a=86.07%  b=86.18%  ens=86.28%  best_ens=87.66%@2
  ep  99  R(t)=0.966  a=86.05%  b=86.21%  ens=86.30%  best_ens=87.66%@2
  DONE  best_ens=87.66%  saved butter_fingers_sev1__C__coteaching__clean__seed0.json + persample.npz

# exit=0
