# 2026-07-19T23:30:03.647374 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_agnews/train_agnews_coteaching.py --setting butter_fingers_sev3 --variant C --image-source noisy --seed 2 --gpu 1
[AGN CoT] butter_fingers_sev3__C__coteaching__noisy__seed2  gpu=1
  N=35066  tau=12.92%
  ep   0  R(t)=1.000  a=77.30%  b=77.88%  ens=78.63%  best_ens=78.63%@0
  ep   5  R(t)=0.909  a=86.50%  b=86.71%  ens=86.74%  best_ens=86.89%@4
  ep  10  R(t)=0.871  a=87.07%  b=86.67%  ens=86.97%  best_ens=86.97%@9
  ep  15  R(t)=0.871  a=86.59%  b=86.12%  ens=86.51%  best_ens=87.12%@11
  ep  20  R(t)=0.871  a=86.53%  b=86.59%  ens=86.78%  best_ens=87.12%@11
  ep  25  R(t)=0.871  a=86.46%  b=86.71%  ens=86.67%  best_ens=87.12%@11
  ep  30  R(t)=0.871  a=86.13%  b=86.22%  ens=86.41%  best_ens=87.12%@11
  ep  35  R(t)=0.871  a=86.42%  b=86.33%  ens=86.76%  best_ens=87.12%@11
  ep  40  R(t)=0.871  a=86.09%  b=86.12%  ens=86.36%  best_ens=87.12%@11
  ep  45  R(t)=0.871  a=86.12%  b=86.41%  ens=86.34%  best_ens=87.12%@11
  ep  50  R(t)=0.871  a=86.22%  b=86.12%  ens=86.22%  best_ens=87.12%@11
  ep  55  R(t)=0.871  a=86.09%  b=86.09%  ens=86.09%  best_ens=87.12%@11
  ep  60  R(t)=0.871  a=86.12%  b=86.04%  ens=86.24%  best_ens=87.12%@11
  ep  65  R(t)=0.871  a=86.13%  b=85.89%  ens=85.88%  best_ens=87.12%@11
  ep  70  R(t)=0.871  a=86.20%  b=86.20%  ens=86.22%  best_ens=87.12%@11
  ep  75  R(t)=0.871  a=85.99%  b=86.04%  ens=86.25%  best_ens=87.12%@11
  ep  80  R(t)=0.871  a=85.99%  b=86.33%  ens=86.42%  best_ens=87.12%@11
  ep  85  R(t)=0.871  a=85.97%  b=86.18%  ens=86.28%  best_ens=87.12%@11
  ep  90  R(t)=0.871  a=86.11%  b=86.14%  ens=86.17%  best_ens=87.12%@11
  ep  95  R(t)=0.871  a=86.11%  b=86.08%  ens=86.13%  best_ens=87.12%@11
  ep  99  R(t)=0.871  a=86.08%  b=86.08%  ens=86.16%  best_ens=87.12%@11
  DONE  best_ens=87.12%  saved butter_fingers_sev3__C__coteaching__noisy__seed2.json + persample.npz

# exit=0
