# 2026-07-19T19:53:24.265319 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_agnews/train_agnews_coteaching.py --setting butter_fingers_sev3 --variant S --image-source clean --seed 0 --gpu 1
[AGN CoT] butter_fingers_sev3__S__coteaching__clean__seed0  gpu=1
  N=50000  tau=21.94%
  ep   0  R(t)=1.000  a=84.07%  b=82.58%  ens=84.18%  best_ens=84.18%@0
  ep   5  R(t)=0.845  a=85.91%  b=86.39%  ens=86.49%  best_ens=86.78%@2
  ep  10  R(t)=0.781  a=85.50%  b=85.86%  ens=86.24%  best_ens=86.78%@2
  ep  15  R(t)=0.781  a=85.49%  b=84.96%  ens=85.67%  best_ens=86.78%@2
  ep  20  R(t)=0.781  a=84.99%  b=85.80%  ens=86.16%  best_ens=86.78%@2
  ep  25  R(t)=0.781  a=85.09%  b=85.37%  ens=85.63%  best_ens=86.78%@2
  ep  30  R(t)=0.781  a=85.07%  b=85.01%  ens=85.51%  best_ens=86.78%@2
  ep  35  R(t)=0.781  a=85.30%  b=85.09%  ens=85.71%  best_ens=86.78%@2
  ep  40  R(t)=0.781  a=84.78%  b=84.78%  ens=85.29%  best_ens=86.78%@2
  ep  45  R(t)=0.781  a=84.72%  b=84.97%  ens=85.05%  best_ens=86.78%@2
  ep  50  R(t)=0.781  a=84.88%  b=85.08%  ens=85.36%  best_ens=86.78%@2
  ep  55  R(t)=0.781  a=84.66%  b=85.30%  ens=85.18%  best_ens=86.78%@2
  ep  60  R(t)=0.781  a=84.95%  b=85.04%  ens=85.17%  best_ens=86.78%@2
  ep  65  R(t)=0.781  a=85.11%  b=84.95%  ens=85.30%  best_ens=86.78%@2
  ep  70  R(t)=0.781  a=85.18%  b=85.28%  ens=85.32%  best_ens=86.78%@2
  ep  75  R(t)=0.781  a=85.18%  b=84.92%  ens=85.37%  best_ens=86.78%@2
  ep  80  R(t)=0.781  a=85.07%  b=85.00%  ens=85.29%  best_ens=86.78%@2
  ep  85  R(t)=0.781  a=85.26%  b=85.05%  ens=85.46%  best_ens=86.78%@2
  ep  90  R(t)=0.781  a=85.21%  b=85.07%  ens=85.28%  best_ens=86.78%@2
  ep  95  R(t)=0.781  a=85.29%  b=85.26%  ens=85.33%  best_ens=86.78%@2
  ep  99  R(t)=0.781  a=85.22%  b=85.26%  ens=85.33%  best_ens=86.78%@2
  DONE  best_ens=86.78%  saved butter_fingers_sev3__S__coteaching__clean__seed0.json + persample.npz

# exit=0
