# 2026-07-20T02:14:15.538640 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_agnews/train_agnews_coteaching.py --setting butter_fingers_sev5 --variant S --image-source noisy --seed 1 --gpu 1
[AGN CoT] butter_fingers_sev5__S__coteaching__noisy__seed1  gpu=1
  N=50000  tau=46.77%
  ep   0  R(t)=1.000  a=53.74%  b=52.14%  ens=53.25%  best_ens=53.25%@0
  ep   5  R(t)=0.669  a=74.51%  b=74.50%  ens=74.96%  best_ens=74.96%@5
  ep  10  R(t)=0.532  a=77.01%  b=77.59%  ens=77.41%  best_ens=78.59%@9
  ep  15  R(t)=0.532  a=78.22%  b=77.05%  ens=78.21%  best_ens=78.82%@11
  ep  20  R(t)=0.532  a=74.45%  b=75.18%  ens=74.87%  best_ens=78.82%@11
  ep  25  R(t)=0.532  a=75.46%  b=74.64%  ens=75.13%  best_ens=78.82%@11
  ep  30  R(t)=0.532  a=76.49%  b=75.41%  ens=76.26%  best_ens=78.82%@11
  ep  35  R(t)=0.532  a=76.08%  b=74.95%  ens=75.86%  best_ens=78.82%@11
  ep  40  R(t)=0.532  a=75.28%  b=74.13%  ens=74.88%  best_ens=78.82%@11
  ep  45  R(t)=0.532  a=75.24%  b=74.68%  ens=75.30%  best_ens=78.82%@11
  ep  50  R(t)=0.532  a=75.53%  b=75.62%  ens=75.87%  best_ens=78.82%@11
  ep  55  R(t)=0.532  a=75.78%  b=75.47%  ens=75.84%  best_ens=78.82%@11
  ep  60  R(t)=0.532  a=75.54%  b=75.45%  ens=75.61%  best_ens=78.82%@11
  ep  65  R(t)=0.532  a=74.88%  b=75.86%  ens=75.59%  best_ens=78.82%@11
  ep  70  R(t)=0.532  a=75.38%  b=74.68%  ens=75.21%  best_ens=78.82%@11
  ep  75  R(t)=0.532  a=75.50%  b=75.09%  ens=75.59%  best_ens=78.82%@11
  ep  80  R(t)=0.532  a=75.58%  b=75.43%  ens=75.58%  best_ens=78.82%@11
  ep  85  R(t)=0.532  a=75.63%  b=75.25%  ens=75.61%  best_ens=78.82%@11
  ep  90  R(t)=0.532  a=75.87%  b=75.21%  ens=75.59%  best_ens=78.82%@11
  ep  95  R(t)=0.532  a=75.75%  b=75.33%  ens=75.63%  best_ens=78.82%@11
  ep  99  R(t)=0.532  a=75.75%  b=75.33%  ens=75.64%  best_ens=78.82%@11
  DONE  best_ens=78.82%  saved butter_fingers_sev5__S__coteaching__noisy__seed1.json + persample.npz

# exit=0
