# 2026-07-20T05:53:00.925953 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_agnews/train_agnews_coteaching.py --setting front_truncation_sev1 --variant S --image-source clean --seed 1 --gpu 2
[AGN CoT] front_truncation_sev1__S__coteaching__clean__seed1  gpu=2
  N=50000  tau=13.13%
  ep   0  R(t)=1.000  a=85.71%  b=86.43%  ens=86.61%  best_ens=86.61%@0
  ep   5  R(t)=0.907  a=87.91%  b=87.70%  ens=88.04%  best_ens=88.59%@3
  ep  10  R(t)=0.869  a=87.64%  b=88.11%  ens=88.41%  best_ens=88.59%@3
  ep  15  R(t)=0.869  a=87.72%  b=87.42%  ens=88.08%  best_ens=88.59%@3
  ep  20  R(t)=0.869  a=87.63%  b=87.54%  ens=88.14%  best_ens=88.59%@3
  ep  25  R(t)=0.869  a=87.58%  b=87.61%  ens=87.99%  best_ens=88.59%@3
  ep  30  R(t)=0.869  a=87.57%  b=87.64%  ens=87.84%  best_ens=88.59%@3
  ep  35  R(t)=0.869  a=87.93%  b=87.59%  ens=88.14%  best_ens=88.59%@3
  ep  40  R(t)=0.869  a=87.66%  b=87.79%  ens=87.96%  best_ens=88.59%@3
  ep  45  R(t)=0.869  a=87.41%  b=87.50%  ens=87.87%  best_ens=88.59%@3
  ep  50  R(t)=0.869  a=87.62%  b=87.17%  ens=87.76%  best_ens=88.59%@3
  ep  55  R(t)=0.869  a=87.45%  b=87.99%  ens=87.87%  best_ens=88.59%@3
  ep  60  R(t)=0.869  a=87.43%  b=87.53%  ens=87.67%  best_ens=88.59%@3
  ep  65  R(t)=0.869  a=87.38%  b=87.82%  ens=87.84%  best_ens=88.59%@3
  ep  70  R(t)=0.869  a=87.29%  b=87.57%  ens=87.78%  best_ens=88.59%@3
  ep  75  R(t)=0.869  a=87.49%  b=87.74%  ens=87.75%  best_ens=88.59%@3
  ep  80  R(t)=0.869  a=87.76%  b=87.71%  ens=87.84%  best_ens=88.59%@3
  ep  85  R(t)=0.869  a=87.67%  b=87.78%  ens=87.82%  best_ens=88.59%@3
  ep  90  R(t)=0.869  a=87.82%  b=87.74%  ens=87.88%  best_ens=88.59%@3
  ep  95  R(t)=0.869  a=87.72%  b=87.64%  ens=87.86%  best_ens=88.59%@3
  ep  99  R(t)=0.869  a=87.74%  b=87.63%  ens=87.84%  best_ens=88.59%@3
  DONE  best_ens=88.59%  saved front_truncation_sev1__S__coteaching__clean__seed1.json + persample.npz

# exit=0
