# 2026-07-20T12:27:52.067270 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_agnews/train_agnews_coteaching.py --setting front_truncation_sev3 --variant S --image-source noisy --seed 2 --gpu 2
[AGN CoT] front_truncation_sev3__S__coteaching__noisy__seed2  gpu=2
  N=50000  tau=17.42%
  ep   0  R(t)=1.000  a=84.29%  b=84.62%  ens=85.28%  best_ens=85.28%@0
  ep   5  R(t)=0.877  a=87.29%  b=87.32%  ens=87.54%  best_ens=87.64%@3
  ep  10  R(t)=0.826  a=87.61%  b=87.51%  ens=87.79%  best_ens=87.83%@6
  ep  15  R(t)=0.826  a=87.09%  b=87.16%  ens=87.34%  best_ens=87.83%@6
  ep  20  R(t)=0.826  a=87.28%  b=86.79%  ens=87.28%  best_ens=87.83%@6
  ep  25  R(t)=0.826  a=87.24%  b=87.28%  ens=87.51%  best_ens=87.83%@6
  ep  30  R(t)=0.826  a=87.30%  b=86.96%  ens=87.39%  best_ens=87.83%@6
  ep  35  R(t)=0.826  a=86.74%  b=87.17%  ens=87.16%  best_ens=87.83%@6
  ep  40  R(t)=0.826  a=86.99%  b=86.97%  ens=87.17%  best_ens=87.83%@6
  ep  45  R(t)=0.826  a=87.41%  b=87.09%  ens=87.54%  best_ens=87.83%@6
  ep  50  R(t)=0.826  a=86.97%  b=87.13%  ens=87.13%  best_ens=87.83%@6
  ep  55  R(t)=0.826  a=87.08%  b=87.26%  ens=87.37%  best_ens=87.83%@6
  ep  60  R(t)=0.826  a=87.03%  b=87.03%  ens=87.17%  best_ens=87.83%@6
  ep  65  R(t)=0.826  a=86.82%  b=86.92%  ens=87.04%  best_ens=87.83%@6
  ep  70  R(t)=0.826  a=86.79%  b=86.92%  ens=87.00%  best_ens=87.83%@6
  ep  75  R(t)=0.826  a=86.83%  b=86.95%  ens=87.16%  best_ens=87.83%@6
  ep  80  R(t)=0.826  a=86.89%  b=86.74%  ens=87.04%  best_ens=87.83%@6
  ep  85  R(t)=0.826  a=86.97%  b=86.76%  ens=87.04%  best_ens=87.83%@6
  ep  90  R(t)=0.826  a=86.89%  b=86.83%  ens=87.05%  best_ens=87.83%@6
  ep  95  R(t)=0.826  a=86.91%  b=86.86%  ens=87.12%  best_ens=87.83%@6
  ep  99  R(t)=0.826  a=86.88%  b=86.87%  ens=87.08%  best_ens=87.83%@6
  DONE  best_ens=87.83%  saved front_truncation_sev3__S__coteaching__noisy__seed2.json + persample.npz

# exit=0
