# 2026-07-20T18:51:37.923209 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_agnews/train_agnews_coteaching.py --setting front_truncation_sev5 --variant C --image-source clean --seed 0 --gpu 1
[AGN CoT] front_truncation_sev5__C__coteaching__clean__seed0  gpu=1
  N=35066  tau=17.82%
  ep   0  R(t)=1.000  a=79.92%  b=81.16%  ens=81.14%  best_ens=81.14%@0
  ep   5  R(t)=0.874  a=83.14%  b=83.39%  ens=83.83%  best_ens=84.63%@1
  ep  10  R(t)=0.822  a=82.03%  b=81.92%  ens=82.53%  best_ens=84.63%@1
  ep  15  R(t)=0.822  a=82.72%  b=82.43%  ens=83.37%  best_ens=84.63%@1
  ep  20  R(t)=0.822  a=81.51%  b=81.67%  ens=82.28%  best_ens=84.63%@1
  ep  25  R(t)=0.822  a=82.13%  b=81.42%  ens=82.30%  best_ens=84.63%@1
  ep  30  R(t)=0.822  a=81.43%  b=81.57%  ens=82.04%  best_ens=84.63%@1
  ep  35  R(t)=0.822  a=81.54%  b=81.32%  ens=81.92%  best_ens=84.63%@1
  ep  40  R(t)=0.822  a=81.72%  b=81.16%  ens=82.24%  best_ens=84.63%@1
  ep  45  R(t)=0.822  a=81.42%  b=81.24%  ens=81.89%  best_ens=84.63%@1
  ep  50  R(t)=0.822  a=81.25%  b=81.21%  ens=81.84%  best_ens=84.63%@1
  ep  55  R(t)=0.822  a=81.16%  b=81.25%  ens=81.70%  best_ens=84.63%@1
  ep  60  R(t)=0.822  a=80.92%  b=80.96%  ens=81.74%  best_ens=84.63%@1
  ep  65  R(t)=0.822  a=81.03%  b=81.22%  ens=81.64%  best_ens=84.63%@1
  ep  70  R(t)=0.822  a=81.11%  b=81.63%  ens=81.70%  best_ens=84.63%@1
  ep  75  R(t)=0.822  a=80.89%  b=81.32%  ens=81.79%  best_ens=84.63%@1
  ep  80  R(t)=0.822  a=81.29%  b=81.38%  ens=81.86%  best_ens=84.63%@1
  ep  85  R(t)=0.822  a=81.24%  b=81.53%  ens=81.78%  best_ens=84.63%@1
  ep  90  R(t)=0.822  a=81.33%  b=81.33%  ens=81.68%  best_ens=84.63%@1
  ep  95  R(t)=0.822  a=81.37%  b=81.47%  ens=81.74%  best_ens=84.63%@1
  ep  99  R(t)=0.822  a=81.37%  b=81.49%  ens=81.75%  best_ens=84.63%@1
  DONE  best_ens=84.63%  saved front_truncation_sev5__C__coteaching__clean__seed0.json + persample.npz

# exit=0
