# 2026-07-20T19:13:30.504189 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_agnews/train_agnews_coteaching.py --setting front_truncation_sev5 --variant C --image-source noisy --seed 0 --gpu 2
[AGN CoT] front_truncation_sev5__C__coteaching__noisy__seed0  gpu=2
  N=35066  tau=17.82%
  ep   0  R(t)=1.000  a=78.64%  b=76.75%  ens=78.63%  best_ens=78.63%@0
  ep   5  R(t)=0.874  a=86.14%  b=85.59%  ens=86.18%  best_ens=86.18%@5
  ep  10  R(t)=0.822  a=85.79%  b=84.68%  ens=85.55%  best_ens=86.18%@5
  ep  15  R(t)=0.822  a=85.09%  b=85.61%  ens=85.97%  best_ens=86.18%@5
  ep  20  R(t)=0.822  a=84.89%  b=84.78%  ens=85.07%  best_ens=86.18%@5
  ep  25  R(t)=0.822  a=84.67%  b=84.84%  ens=84.97%  best_ens=86.18%@5
  ep  30  R(t)=0.822  a=85.62%  b=85.39%  ens=85.89%  best_ens=86.18%@5
  ep  35  R(t)=0.822  a=85.51%  b=85.63%  ens=85.79%  best_ens=86.18%@5
  ep  40  R(t)=0.822  a=85.62%  b=85.21%  ens=85.66%  best_ens=86.18%@5
  ep  45  R(t)=0.822  a=85.29%  b=85.36%  ens=85.67%  best_ens=86.18%@5
  ep  50  R(t)=0.822  a=85.55%  b=85.28%  ens=85.45%  best_ens=86.18%@5
  ep  55  R(t)=0.822  a=85.41%  b=85.33%  ens=85.68%  best_ens=86.18%@5
  ep  60  R(t)=0.822  a=85.30%  b=85.38%  ens=85.66%  best_ens=86.18%@5
  ep  65  R(t)=0.822  a=85.42%  b=85.39%  ens=85.71%  best_ens=86.18%@5
  ep  70  R(t)=0.822  a=85.57%  b=85.24%  ens=85.53%  best_ens=86.18%@5
  ep  75  R(t)=0.822  a=85.34%  b=85.04%  ens=85.32%  best_ens=86.18%@5
  ep  80  R(t)=0.822  a=85.14%  b=84.88%  ens=85.17%  best_ens=86.18%@5
  ep  85  R(t)=0.822  a=85.07%  b=84.92%  ens=85.20%  best_ens=86.18%@5
  ep  90  R(t)=0.822  a=85.11%  b=84.88%  ens=85.16%  best_ens=86.18%@5
  ep  95  R(t)=0.822  a=85.07%  b=84.89%  ens=85.09%  best_ens=86.18%@5
  ep  99  R(t)=0.822  a=85.03%  b=84.89%  ens=85.08%  best_ens=86.18%@5
  DONE  best_ens=86.18%  saved front_truncation_sev5__C__coteaching__noisy__seed0.json + persample.npz

# exit=0
