# 2026-07-16T21:25:23.101020 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting canny_edges_sev1 --variant C --image-source noisy --seed 0 --gpu 1
[MNIST CoT] canny_edges_sev1__C__coteaching__noisy__seed0  gpu=1
  N=26107  tau=31.42%
  ep   0  R(t)=1.000  a=78.51%  b=65.86%  ens=74.52%  best_ens=74.52%@0
  ep   5  R(t)=0.778  a=86.24%  b=79.85%  ens=84.47%  best_ens=88.91%@4
  ep  10  R(t)=0.686  a=83.62%  b=79.43%  ens=82.62%  best_ens=91.48%@9
  ep  15  R(t)=0.686  a=90.07%  b=88.36%  ens=89.95%  best_ens=93.53%@11
  ep  20  R(t)=0.686  a=93.17%  b=90.56%  ens=92.68%  best_ens=93.53%@11
  ep  25  R(t)=0.686  a=93.12%  b=90.36%  ens=92.77%  best_ens=93.53%@11
  ep  30  R(t)=0.686  a=91.72%  b=93.00%  ens=92.96%  best_ens=94.05%@27
  ep  35  R(t)=0.686  a=93.11%  b=91.71%  ens=93.11%  best_ens=94.53%@34
  ep  40  R(t)=0.686  a=93.79%  b=90.96%  ens=93.49%  best_ens=94.53%@34
  ep  45  R(t)=0.686  a=93.04%  b=93.11%  ens=93.75%  best_ens=94.53%@34
  ep  50  R(t)=0.686  a=94.03%  b=92.11%  ens=93.83%  best_ens=94.53%@34
  ep  55  R(t)=0.686  a=94.37%  b=92.55%  ens=94.18%  best_ens=94.53%@34
  ep  60  R(t)=0.686  a=93.81%  b=91.48%  ens=93.56%  best_ens=94.53%@34
  ep  65  R(t)=0.686  a=94.49%  b=93.08%  ens=94.46%  best_ens=94.57%@64
  ep  70  R(t)=0.686  a=94.58%  b=92.92%  ens=94.58%  best_ens=94.58%@70
  ep  75  R(t)=0.686  a=94.96%  b=93.04%  ens=94.78%  best_ens=94.80%@74
  ep  80  R(t)=0.686  a=94.42%  b=92.36%  ens=94.08%  best_ens=94.80%@74
  ep  85  R(t)=0.686  a=94.75%  b=92.60%  ens=94.57%  best_ens=94.80%@74
  ep  90  R(t)=0.686  a=94.55%  b=92.45%  ens=94.20%  best_ens=94.80%@74
  ep  95  R(t)=0.686  a=94.76%  b=92.28%  ens=94.39%  best_ens=94.80%@74
  ep  99  R(t)=0.686  a=94.75%  b=92.33%  ens=94.37%  best_ens=94.80%@74
  DONE  best_ens=94.80%  saved canny_edges_sev1__C__coteaching__noisy__seed0.json + persample.npz

# exit=0
