# 2026-07-16T20:37:37.532066 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting canny_edges_sev1 --variant S --image-source clean --seed 1 --gpu 1
[MNIST CoT] canny_edges_sev1__S__coteaching__clean__seed1  gpu=1
  N=27000  tau=32.20%
  ep   0  R(t)=1.000  a=75.81%  b=78.87%  ens=78.09%  best_ens=78.09%@0
  ep   5  R(t)=0.772  a=80.44%  b=80.66%  ens=80.48%  best_ens=87.09%@3
  ep  10  R(t)=0.678  a=83.09%  b=82.54%  ens=82.96%  best_ens=90.71%@6
  ep  15  R(t)=0.678  a=84.28%  b=81.85%  ens=83.15%  best_ens=90.71%@6
  ep  20  R(t)=0.678  a=77.79%  b=78.01%  ens=78.10%  best_ens=90.71%@6
  ep  25  R(t)=0.678  a=85.45%  b=84.72%  ens=85.20%  best_ens=90.71%@6
  ep  30  R(t)=0.678  a=88.90%  b=85.62%  ens=87.34%  best_ens=90.71%@6
  ep  35  R(t)=0.678  a=79.03%  b=76.99%  ens=78.22%  best_ens=90.71%@6
  ep  40  R(t)=0.678  a=83.27%  b=82.50%  ens=82.86%  best_ens=90.71%@6
  ep  45  R(t)=0.678  a=84.52%  b=84.46%  ens=84.64%  best_ens=90.71%@6
  ep  50  R(t)=0.678  a=84.43%  b=83.14%  ens=83.80%  best_ens=90.71%@6
  ep  55  R(t)=0.678  a=82.47%  b=82.94%  ens=82.79%  best_ens=90.71%@6
  ep  60  R(t)=0.678  a=80.21%  b=81.66%  ens=81.17%  best_ens=90.71%@6
  ep  65  R(t)=0.678  a=83.13%  b=82.98%  ens=83.22%  best_ens=90.71%@6
  ep  70  R(t)=0.678  a=84.48%  b=83.22%  ens=83.98%  best_ens=90.71%@6
  ep  75  R(t)=0.678  a=83.61%  b=83.86%  ens=83.90%  best_ens=90.71%@6
  ep  80  R(t)=0.678  a=82.68%  b=82.62%  ens=82.68%  best_ens=90.71%@6
  ep  85  R(t)=0.678  a=83.98%  b=83.63%  ens=83.76%  best_ens=90.71%@6
  ep  90  R(t)=0.678  a=83.77%  b=83.54%  ens=83.91%  best_ens=90.71%@6
  ep  95  R(t)=0.678  a=83.96%  b=83.69%  ens=83.88%  best_ens=90.71%@6
  ep  99  R(t)=0.678  a=83.84%  b=83.55%  ens=83.76%  best_ens=90.71%@6
  DONE  best_ens=90.71%  saved canny_edges_sev1__S__coteaching__clean__seed1.json + persample.npz

# exit=0
