# 2026-07-16T20:42:09.085855 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting canny_edges_sev1 --variant S --image-source noisy --seed 0 --gpu 1
[MNIST CoT] canny_edges_sev1__S__coteaching__noisy__seed0  gpu=1
  N=27000  tau=32.04%
  ep   0  R(t)=1.000  a=76.58%  b=68.54%  ens=75.67%  best_ens=75.67%@0
  ep   5  R(t)=0.773  a=91.13%  b=89.44%  ens=91.17%  best_ens=91.17%@5
  ep  10  R(t)=0.680  a=90.42%  b=90.54%  ens=91.35%  best_ens=92.24%@8
  ep  15  R(t)=0.680  a=89.30%  b=87.12%  ens=89.16%  best_ens=93.33%@14
  ep  20  R(t)=0.680  a=91.38%  b=88.89%  ens=91.07%  best_ens=93.39%@19
  ep  25  R(t)=0.680  a=93.01%  b=90.82%  ens=92.57%  best_ens=93.39%@19
  ep  30  R(t)=0.680  a=92.24%  b=91.83%  ens=92.91%  best_ens=93.39%@19
  ep  35  R(t)=0.680  a=92.87%  b=90.64%  ens=92.42%  best_ens=94.38%@31
  ep  40  R(t)=0.680  a=90.82%  b=89.60%  ens=90.78%  best_ens=94.38%@31
  ep  45  R(t)=0.680  a=90.38%  b=88.39%  ens=90.68%  best_ens=94.38%@31
  ep  50  R(t)=0.680  a=93.46%  b=90.17%  ens=92.57%  best_ens=94.38%@31
  ep  55  R(t)=0.680  a=92.32%  b=91.23%  ens=92.55%  best_ens=94.38%@31
  ep  60  R(t)=0.680  a=93.23%  b=91.40%  ens=93.00%  best_ens=94.38%@31
  ep  65  R(t)=0.680  a=92.14%  b=90.57%  ens=91.95%  best_ens=94.38%@31
  ep  70  R(t)=0.680  a=92.15%  b=90.77%  ens=91.98%  best_ens=94.38%@31
  ep  75  R(t)=0.680  a=92.52%  b=90.40%  ens=91.91%  best_ens=94.38%@31
  ep  80  R(t)=0.680  a=92.92%  b=91.13%  ens=92.37%  best_ens=94.38%@31
  ep  85  R(t)=0.680  a=92.61%  b=90.93%  ens=92.22%  best_ens=94.38%@31
  ep  90  R(t)=0.680  a=92.76%  b=91.14%  ens=92.28%  best_ens=94.38%@31
  ep  95  R(t)=0.680  a=92.38%  b=90.58%  ens=91.86%  best_ens=94.38%@31
  ep  99  R(t)=0.680  a=92.49%  b=90.77%  ens=92.02%  best_ens=94.38%@31
  DONE  best_ens=94.38%  saved canny_edges_sev1__S__coteaching__noisy__seed0.json + persample.npz

# exit=0
