# 2026-07-16T20:04:21.302472 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting fog_sev5 --variant C --image-source noisy --seed 1 --gpu 2
[MNIST CoT] fog_sev5__C__coteaching__noisy__seed1  gpu=2
  N=26107  tau=38.59%
  ep   0  R(t)=1.000  a=73.25%  b=77.06%  ens=75.58%  best_ens=75.58%@0
  ep   5  R(t)=0.727  a=93.43%  b=94.52%  ens=94.40%  best_ens=94.40%@5
  ep  10  R(t)=0.614  a=95.85%  b=96.18%  ens=96.25%  best_ens=96.25%@10
  ep  15  R(t)=0.614  a=92.79%  b=93.06%  ens=93.13%  best_ens=96.25%@10
  ep  20  R(t)=0.614  a=95.45%  b=95.47%  ens=95.66%  best_ens=96.25%@10
  ep  25  R(t)=0.614  a=94.88%  b=94.87%  ens=95.19%  best_ens=96.73%@23
  ep  30  R(t)=0.614  a=94.16%  b=94.13%  ens=94.41%  best_ens=96.73%@23
  ep  35  R(t)=0.614  a=92.82%  b=92.72%  ens=93.32%  best_ens=96.73%@23
  ep  40  R(t)=0.614  a=95.91%  b=95.41%  ens=95.86%  best_ens=96.73%@23
  ep  45  R(t)=0.614  a=94.87%  b=94.10%  ens=94.83%  best_ens=96.73%@23
  ep  50  R(t)=0.614  a=94.20%  b=93.08%  ens=93.96%  best_ens=96.73%@23
  ep  55  R(t)=0.614  a=93.82%  b=94.42%  ens=94.46%  best_ens=96.73%@23
  ep  60  R(t)=0.614  a=94.81%  b=94.48%  ens=94.94%  best_ens=96.73%@23
  ep  65  R(t)=0.614  a=93.77%  b=93.42%  ens=93.81%  best_ens=96.73%@23
  ep  70  R(t)=0.614  a=93.36%  b=93.53%  ens=93.87%  best_ens=96.73%@23
  ep  75  R(t)=0.614  a=94.44%  b=94.56%  ens=94.74%  best_ens=96.73%@23
  ep  80  R(t)=0.614  a=94.27%  b=94.58%  ens=94.77%  best_ens=96.73%@23
  ep  85  R(t)=0.614  a=94.15%  b=94.52%  ens=94.65%  best_ens=96.73%@23
  ep  90  R(t)=0.614  a=93.76%  b=93.98%  ens=94.21%  best_ens=96.73%@23
  ep  95  R(t)=0.614  a=93.74%  b=94.01%  ens=94.27%  best_ens=96.73%@23
  ep  99  R(t)=0.614  a=93.84%  b=94.11%  ens=94.39%  best_ens=96.73%@23
  DONE  best_ens=96.73%  saved fog_sev5__C__coteaching__noisy__seed1.json + persample.npz

# exit=0
