# 2026-07-16T19:14:58.040460 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting fog_sev5 --variant S --image-source clean --seed 2 --gpu 2
[MNIST CoT] fog_sev5__S__coteaching__clean__seed2  gpu=2
  N=27000  tau=39.26%
  ep   0  R(t)=1.000  a=79.58%  b=81.56%  ens=81.21%  best_ens=81.21%@0
  ep   5  R(t)=0.722  a=81.13%  b=87.30%  ens=85.23%  best_ens=93.28%@4
  ep  10  R(t)=0.607  a=95.32%  b=94.59%  ens=95.32%  best_ens=96.63%@8
  ep  15  R(t)=0.607  a=95.43%  b=95.41%  ens=95.63%  best_ens=96.63%@8
  ep  20  R(t)=0.607  a=96.02%  b=95.88%  ens=96.23%  best_ens=96.71%@18
  ep  25  R(t)=0.607  a=91.06%  b=91.58%  ens=91.50%  best_ens=96.71%@18
  ep  30  R(t)=0.607  a=93.12%  b=93.71%  ens=93.67%  best_ens=96.71%@18
  ep  35  R(t)=0.607  a=92.15%  b=92.81%  ens=92.81%  best_ens=96.71%@18
  ep  40  R(t)=0.607  a=95.68%  b=95.49%  ens=95.92%  best_ens=96.71%@18
  ep  45  R(t)=0.607  a=93.67%  b=94.44%  ens=94.45%  best_ens=96.71%@18
  ep  50  R(t)=0.607  a=95.32%  b=94.95%  ens=95.40%  best_ens=96.71%@18
  ep  55  R(t)=0.607  a=95.36%  b=95.17%  ens=95.49%  best_ens=96.71%@18
  ep  60  R(t)=0.607  a=94.26%  b=94.12%  ens=94.64%  best_ens=96.71%@18
  ep  65  R(t)=0.607  a=93.20%  b=93.44%  ens=93.49%  best_ens=96.71%@18
  ep  70  R(t)=0.607  a=92.78%  b=93.24%  ens=93.44%  best_ens=96.71%@18
  ep  75  R(t)=0.607  a=94.18%  b=93.87%  ens=94.37%  best_ens=96.71%@18
  ep  80  R(t)=0.607  a=92.26%  b=92.24%  ens=92.57%  best_ens=96.71%@18
  ep  85  R(t)=0.607  a=92.24%  b=92.72%  ens=92.83%  best_ens=96.71%@18
  ep  90  R(t)=0.607  a=93.61%  b=93.50%  ens=93.91%  best_ens=96.71%@18
  ep  95  R(t)=0.607  a=93.09%  b=93.34%  ens=93.55%  best_ens=96.71%@18
  ep  99  R(t)=0.607  a=93.04%  b=93.18%  ens=93.37%  best_ens=96.71%@18
  DONE  best_ens=96.71%  saved fog_sev5__S__coteaching__clean__seed2.json + persample.npz

# exit=0
