# 2026-07-16T19:20:57.588970 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting fog_sev5 --variant S --image-source noisy --seed 2 --gpu 1
[MNIST CoT] fog_sev5__S__coteaching__noisy__seed2  gpu=1
  N=27000  tau=39.26%
  ep   0  R(t)=1.000  a=76.32%  b=76.54%  ens=77.19%  best_ens=77.19%@0
  ep   5  R(t)=0.722  a=89.38%  b=90.06%  ens=90.11%  best_ens=90.11%@5
  ep  10  R(t)=0.607  a=93.72%  b=94.77%  ens=94.64%  best_ens=95.71%@7
  ep  15  R(t)=0.607  a=95.60%  b=95.90%  ens=95.95%  best_ens=95.95%@15
  ep  20  R(t)=0.607  a=95.63%  b=96.02%  ens=95.97%  best_ens=96.18%@17
  ep  25  R(t)=0.607  a=94.10%  b=94.42%  ens=94.37%  best_ens=96.18%@17
  ep  30  R(t)=0.607  a=94.77%  b=94.71%  ens=95.03%  best_ens=96.49%@28
  ep  35  R(t)=0.607  a=91.87%  b=92.46%  ens=92.35%  best_ens=96.49%@28
  ep  40  R(t)=0.607  a=95.31%  b=95.08%  ens=95.37%  best_ens=96.49%@28
  ep  45  R(t)=0.607  a=94.25%  b=93.79%  ens=94.47%  best_ens=96.49%@28
  ep  50  R(t)=0.607  a=95.27%  b=94.65%  ens=95.30%  best_ens=96.49%@28
  ep  55  R(t)=0.607  a=95.34%  b=95.39%  ens=95.68%  best_ens=96.49%@28
  ep  60  R(t)=0.607  a=94.04%  b=94.65%  ens=94.53%  best_ens=96.49%@28
  ep  65  R(t)=0.607  a=94.61%  b=94.11%  ens=94.78%  best_ens=96.49%@28
  ep  70  R(t)=0.607  a=94.88%  b=94.13%  ens=94.75%  best_ens=96.49%@28
  ep  75  R(t)=0.607  a=94.46%  b=93.64%  ens=94.35%  best_ens=96.49%@28
  ep  80  R(t)=0.607  a=93.75%  b=92.74%  ens=93.62%  best_ens=96.49%@28
  ep  85  R(t)=0.607  a=93.86%  b=93.53%  ens=93.93%  best_ens=96.49%@28
  ep  90  R(t)=0.607  a=94.50%  b=94.15%  ens=94.48%  best_ens=96.49%@28
  ep  95  R(t)=0.607  a=94.39%  b=93.98%  ens=94.50%  best_ens=96.49%@28
  ep  99  R(t)=0.607  a=94.34%  b=93.92%  ens=94.42%  best_ens=96.49%@28
  DONE  best_ens=96.49%  saved fog_sev5__S__coteaching__noisy__seed2.json + persample.npz

# exit=0
