# 2026-07-16T17:04:57.654828 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting glass_blur_sev5 --variant C --image-source clean --seed 2 --gpu 2
[MNIST CoT] glass_blur_sev5__C__coteaching__clean__seed2  gpu=2
  N=26107  tau=71.33%
  ep   0  R(t)=1.000  a=36.85%  b=34.63%  ens=35.76%  best_ens=35.76%@0
  ep   5  R(t)=0.496  a=40.56%  b=38.51%  ens=39.46%  best_ens=40.67%@1
  ep  10  R(t)=0.287  a=43.78%  b=43.52%  ens=43.54%  best_ens=50.19%@8
  ep  15  R(t)=0.287  a=20.31%  b=24.04%  ens=22.49%  best_ens=50.19%@8
  ep  20  R(t)=0.287  a=20.55%  b=20.56%  ens=20.58%  best_ens=50.19%@8
  ep  25  R(t)=0.287  a=9.74%  b=9.74%  ens=9.74%  best_ens=50.19%@8
  ep  30  R(t)=0.287  a=20.52%  b=20.34%  ens=20.44%  best_ens=50.19%@8
  ep  35  R(t)=0.287  a=20.21%  b=20.28%  ens=20.26%  best_ens=50.19%@8
  ep  40  R(t)=0.287  a=20.57%  b=20.19%  ens=20.36%  best_ens=50.19%@8
  ep  45  R(t)=0.287  a=20.52%  b=20.38%  ens=20.42%  best_ens=50.19%@8
  ep  50  R(t)=0.287  a=18.39%  b=18.26%  ens=18.36%  best_ens=50.19%@8
  ep  55  R(t)=0.287  a=20.33%  b=20.33%  ens=20.31%  best_ens=50.19%@8
  ep  60  R(t)=0.287  a=19.49%  b=19.27%  ens=19.34%  best_ens=50.19%@8
  ep  65  R(t)=0.287  a=20.37%  b=20.36%  ens=20.36%  best_ens=50.19%@8
  ep  70  R(t)=0.287  a=20.25%  b=20.52%  ens=20.37%  best_ens=50.19%@8
  ep  75  R(t)=0.287  a=20.24%  b=19.99%  ens=20.15%  best_ens=50.19%@8
  ep  80  R(t)=0.287  a=20.31%  b=20.26%  ens=20.29%  best_ens=50.19%@8
  ep  85  R(t)=0.287  a=20.43%  b=20.48%  ens=20.46%  best_ens=50.19%@8
  ep  90  R(t)=0.287  a=20.53%  b=20.56%  ens=20.57%  best_ens=50.19%@8
  ep  95  R(t)=0.287  a=20.52%  b=20.58%  ens=20.57%  best_ens=50.19%@8
  ep  99  R(t)=0.287  a=20.52%  b=20.57%  ens=20.54%  best_ens=50.19%@8
  DONE  best_ens=50.19%  saved glass_blur_sev5__C__coteaching__clean__seed2.json + persample.npz

# exit=0
