# 2026-07-16T16:16:41.502576 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting glass_blur_sev5 --variant S --image-source clean --seed 1 --gpu 1
[MNIST CoT] glass_blur_sev5__S__coteaching__clean__seed1  gpu=1
  N=27000  tau=71.30%
  ep   0  R(t)=1.000  a=33.97%  b=35.92%  ens=34.73%  best_ens=34.73%@0
  ep   5  R(t)=0.496  a=49.08%  b=50.28%  ens=49.77%  best_ens=49.77%@5
  ep  10  R(t)=0.287  a=39.38%  b=39.45%  ens=39.42%  best_ens=49.77%@5
  ep  15  R(t)=0.287  a=26.27%  b=23.82%  ens=24.98%  best_ens=49.77%@5
  ep  20  R(t)=0.287  a=21.85%  b=21.37%  ens=21.61%  best_ens=49.77%@5
  ep  25  R(t)=0.287  a=14.60%  b=14.83%  ens=13.73%  best_ens=49.77%@5
  ep  30  R(t)=0.287  a=27.40%  b=27.31%  ens=27.42%  best_ens=49.77%@5
  ep  35  R(t)=0.287  a=22.84%  b=23.28%  ens=23.01%  best_ens=49.77%@5
  ep  40  R(t)=0.287  a=28.97%  b=27.84%  ens=28.53%  best_ens=49.77%@5
  ep  45  R(t)=0.287  a=27.07%  b=28.52%  ens=27.93%  best_ens=49.77%@5
  ep  50  R(t)=0.287  a=26.77%  b=26.18%  ens=26.49%  best_ens=49.77%@5
  ep  55  R(t)=0.287  a=26.75%  b=27.47%  ens=27.23%  best_ens=49.77%@5
  ep  60  R(t)=0.287  a=28.59%  b=28.73%  ens=28.71%  best_ens=49.77%@5
  ep  65  R(t)=0.287  a=28.10%  b=28.53%  ens=28.32%  best_ens=49.77%@5
  ep  70  R(t)=0.287  a=28.56%  b=28.70%  ens=28.62%  best_ens=49.77%@5
  ep  75  R(t)=0.287  a=29.14%  b=28.74%  ens=28.96%  best_ens=49.77%@5
  ep  80  R(t)=0.287  a=27.48%  b=27.66%  ens=27.56%  best_ens=49.77%@5
  ep  85  R(t)=0.287  a=29.10%  b=29.10%  ens=29.08%  best_ens=49.77%@5
  ep  90  R(t)=0.287  a=28.84%  b=28.80%  ens=28.83%  best_ens=49.77%@5
  ep  95  R(t)=0.287  a=28.73%  b=28.71%  ens=28.69%  best_ens=49.77%@5
  ep  99  R(t)=0.287  a=28.65%  b=28.65%  ens=28.68%  best_ens=49.77%@5
  DONE  best_ens=49.77%  saved glass_blur_sev5__S__coteaching__clean__seed1.json + persample.npz

# exit=0
