# 2026-07-16T16:27:19.778857 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting glass_blur_sev5 --variant S --image-source noisy --seed 2 --gpu 1
[MNIST CoT] glass_blur_sev5__S__coteaching__noisy__seed2  gpu=1
  N=27000  tau=71.80%
  ep   0  R(t)=1.000  a=28.96%  b=31.22%  ens=29.26%  best_ens=29.26%@0
  ep   5  R(t)=0.492  a=41.00%  b=41.38%  ens=41.82%  best_ens=41.82%@5
  ep  10  R(t)=0.282  a=23.75%  b=22.63%  ens=23.04%  best_ens=44.19%@7
  ep  15  R(t)=0.282  a=23.25%  b=20.96%  ens=21.82%  best_ens=44.19%@7
  ep  20  R(t)=0.282  a=20.24%  b=20.29%  ens=20.26%  best_ens=44.19%@7
  ep  25  R(t)=0.282  a=19.59%  b=20.28%  ens=20.14%  best_ens=44.19%@7
  ep  30  R(t)=0.282  a=20.01%  b=20.27%  ens=20.17%  best_ens=44.19%@7
  ep  35  R(t)=0.282  a=20.01%  b=19.90%  ens=19.98%  best_ens=44.19%@7
  ep  40  R(t)=0.282  a=19.81%  b=20.03%  ens=19.94%  best_ens=44.19%@7
  ep  45  R(t)=0.282  a=19.96%  b=20.27%  ens=20.15%  best_ens=44.19%@7
  ep  50  R(t)=0.282  a=20.14%  b=20.26%  ens=20.20%  best_ens=44.19%@7
  ep  55  R(t)=0.282  a=19.03%  b=19.06%  ens=19.02%  best_ens=44.19%@7
  ep  60  R(t)=0.282  a=20.08%  b=20.19%  ens=20.14%  best_ens=44.19%@7
  ep  65  R(t)=0.282  a=19.27%  b=19.49%  ens=19.39%  best_ens=44.19%@7
  ep  70  R(t)=0.282  a=19.87%  b=19.94%  ens=19.92%  best_ens=44.19%@7
  ep  75  R(t)=0.282  a=19.94%  b=20.00%  ens=19.96%  best_ens=44.19%@7
  ep  80  R(t)=0.282  a=20.03%  b=20.16%  ens=20.11%  best_ens=44.19%@7
  ep  85  R(t)=0.282  a=20.05%  b=20.09%  ens=20.08%  best_ens=44.19%@7
  ep  90  R(t)=0.282  a=19.94%  b=20.02%  ens=19.95%  best_ens=44.19%@7
  ep  95  R(t)=0.282  a=20.04%  b=20.10%  ens=20.09%  best_ens=44.19%@7
  ep  99  R(t)=0.282  a=20.03%  b=20.15%  ens=20.09%  best_ens=44.19%@7
  DONE  best_ens=44.19%  saved glass_blur_sev5__S__coteaching__noisy__seed2.json + persample.npz

# exit=0
