# 2026-07-16T15:38:01.494386 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting impulse_noise_sev5 --variant C --image-source clean --seed 2 --gpu 2
[MNIST CoT] impulse_noise_sev5__C__coteaching__clean__seed2  gpu=2
  N=26107  tau=47.71%
  ep   0  R(t)=1.000  a=55.99%  b=51.86%  ens=54.26%  best_ens=54.26%@0
  ep   5  R(t)=0.663  a=67.16%  b=61.92%  ens=64.25%  best_ens=79.97%@3
  ep  10  R(t)=0.523  a=64.96%  b=65.83%  ens=65.47%  best_ens=79.97%@3
  ep  15  R(t)=0.523  a=69.28%  b=69.55%  ens=69.52%  best_ens=79.97%@3
  ep  20  R(t)=0.523  a=67.50%  b=66.08%  ens=66.98%  best_ens=79.97%@3
  ep  25  R(t)=0.523  a=68.57%  b=68.51%  ens=68.82%  best_ens=79.97%@3
  ep  30  R(t)=0.523  a=64.74%  b=60.86%  ens=62.83%  best_ens=79.97%@3
  ep  35  R(t)=0.523  a=62.05%  b=63.23%  ens=62.78%  best_ens=79.97%@3
  ep  40  R(t)=0.523  a=63.62%  b=62.73%  ens=63.13%  best_ens=79.97%@3
  ep  45  R(t)=0.523  a=62.14%  b=61.69%  ens=61.93%  best_ens=79.97%@3
  ep  50  R(t)=0.523  a=64.38%  b=64.94%  ens=64.85%  best_ens=79.97%@3
  ep  55  R(t)=0.523  a=67.88%  b=66.76%  ens=67.41%  best_ens=79.97%@3
  ep  60  R(t)=0.523  a=69.11%  b=68.94%  ens=69.00%  best_ens=79.97%@3
  ep  65  R(t)=0.523  a=65.21%  b=63.94%  ens=64.50%  best_ens=79.97%@3
  ep  70  R(t)=0.523  a=65.64%  b=65.85%  ens=65.72%  best_ens=79.97%@3
  ep  75  R(t)=0.523  a=64.87%  b=65.05%  ens=65.08%  best_ens=79.97%@3
  ep  80  R(t)=0.523  a=64.78%  b=64.57%  ens=64.85%  best_ens=79.97%@3
  ep  85  R(t)=0.523  a=63.75%  b=64.36%  ens=64.01%  best_ens=79.97%@3
  ep  90  R(t)=0.523  a=64.46%  b=64.43%  ens=64.56%  best_ens=79.97%@3
  ep  95  R(t)=0.523  a=64.18%  b=64.20%  ens=64.29%  best_ens=79.97%@3
  ep  99  R(t)=0.523  a=64.22%  b=64.10%  ens=64.27%  best_ens=79.97%@3
  DONE  best_ens=79.97%  saved impulse_noise_sev5__C__coteaching__clean__seed2.json + persample.npz

# exit=0
