# 2026-07-16T15:42:29.076030 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting impulse_noise_sev5 --variant C --image-source noisy --seed 1 --gpu 2
[MNIST CoT] impulse_noise_sev5__C__coteaching__noisy__seed1  gpu=2
  N=26107  tau=48.44%
  ep   0  R(t)=1.000  a=64.46%  b=63.31%  ens=64.38%  best_ens=64.38%@0
  ep   5  R(t)=0.657  a=88.35%  b=88.24%  ens=88.43%  best_ens=88.43%@5
  ep  10  R(t)=0.516  a=83.68%  b=84.40%  ens=84.24%  best_ens=88.94%@8
  ep  15  R(t)=0.516  a=77.28%  b=78.33%  ens=78.01%  best_ens=88.94%@8
  ep  20  R(t)=0.516  a=71.78%  b=73.16%  ens=72.48%  best_ens=88.94%@8
  ep  25  R(t)=0.516  a=71.64%  b=73.25%  ens=72.38%  best_ens=88.94%@8
  ep  30  R(t)=0.516  a=80.66%  b=80.74%  ens=80.89%  best_ens=88.94%@8
  ep  35  R(t)=0.516  a=71.02%  b=69.06%  ens=70.05%  best_ens=88.94%@8
  ep  40  R(t)=0.516  a=81.05%  b=81.69%  ens=81.60%  best_ens=88.94%@8
  ep  45  R(t)=0.516  a=77.14%  b=77.86%  ens=77.38%  best_ens=88.94%@8
  ep  50  R(t)=0.516  a=73.84%  b=75.04%  ens=74.56%  best_ens=88.94%@8
  ep  55  R(t)=0.516  a=79.40%  b=80.00%  ens=79.79%  best_ens=88.94%@8
  ep  60  R(t)=0.516  a=78.12%  b=77.89%  ens=78.15%  best_ens=88.94%@8
  ep  65  R(t)=0.516  a=78.64%  b=78.64%  ens=78.71%  best_ens=88.94%@8
  ep  70  R(t)=0.516  a=77.08%  b=76.80%  ens=77.06%  best_ens=88.94%@8
  ep  75  R(t)=0.516  a=78.75%  b=79.26%  ens=79.13%  best_ens=88.94%@8
  ep  80  R(t)=0.516  a=78.54%  b=79.39%  ens=79.11%  best_ens=88.94%@8
  ep  85  R(t)=0.516  a=77.59%  b=78.28%  ens=77.99%  best_ens=88.94%@8
  ep  90  R(t)=0.516  a=78.79%  b=79.19%  ens=79.11%  best_ens=88.94%@8
  ep  95  R(t)=0.516  a=78.33%  b=78.91%  ens=78.77%  best_ens=88.94%@8
  ep  99  R(t)=0.516  a=78.52%  b=79.03%  ens=78.92%  best_ens=88.94%@8
  DONE  best_ens=88.94%  saved impulse_noise_sev5__C__coteaching__noisy__seed1.json + persample.npz

# exit=0
