# 2026-07-16T14:53:27.385299 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting impulse_noise_sev5 --variant S --image-source clean --seed 2 --gpu 2
[MNIST CoT] impulse_noise_sev5__S__coteaching__clean__seed2  gpu=2
  N=27000  tau=48.81%
  ep   0  R(t)=1.000  a=62.91%  b=60.37%  ens=61.78%  best_ens=61.78%@0
  ep   5  R(t)=0.655  a=74.26%  b=76.07%  ens=75.14%  best_ens=75.14%@5
  ep  10  R(t)=0.512  a=67.27%  b=66.45%  ens=66.97%  best_ens=75.14%@5
  ep  15  R(t)=0.512  a=61.97%  b=61.49%  ens=61.68%  best_ens=75.14%@5
  ep  20  R(t)=0.512  a=56.41%  b=55.33%  ens=56.00%  best_ens=75.14%@5
  ep  25  R(t)=0.512  a=62.03%  b=63.09%  ens=62.65%  best_ens=75.14%@5
  ep  30  R(t)=0.512  a=63.43%  b=63.78%  ens=63.78%  best_ens=75.14%@5
  ep  35  R(t)=0.512  a=63.49%  b=64.10%  ens=63.91%  best_ens=75.14%@5
  ep  40  R(t)=0.512  a=60.43%  b=60.91%  ens=60.72%  best_ens=75.14%@5
  ep  45  R(t)=0.512  a=64.17%  b=63.49%  ens=63.74%  best_ens=75.14%@5
  ep  50  R(t)=0.512  a=63.64%  b=61.57%  ens=62.47%  best_ens=75.14%@5
  ep  55  R(t)=0.512  a=63.23%  b=62.29%  ens=62.90%  best_ens=75.14%@5
  ep  60  R(t)=0.512  a=64.39%  b=64.20%  ens=64.49%  best_ens=75.14%@5
  ep  65  R(t)=0.512  a=59.68%  b=62.84%  ens=61.36%  best_ens=75.14%@5
  ep  70  R(t)=0.512  a=64.04%  b=64.20%  ens=63.98%  best_ens=75.14%@5
  ep  75  R(t)=0.512  a=63.14%  b=63.34%  ens=63.22%  best_ens=75.14%@5
  ep  80  R(t)=0.512  a=64.21%  b=64.19%  ens=64.32%  best_ens=75.14%@5
  ep  85  R(t)=0.512  a=63.06%  b=63.27%  ens=63.31%  best_ens=75.14%@5
  ep  90  R(t)=0.512  a=63.51%  b=63.71%  ens=63.66%  best_ens=75.14%@5
  ep  95  R(t)=0.512  a=63.22%  b=63.31%  ens=63.15%  best_ens=75.14%@5
  ep  99  R(t)=0.512  a=63.16%  b=63.13%  ens=63.11%  best_ens=75.14%@5
  DONE  best_ens=75.14%  saved impulse_noise_sev5__S__coteaching__clean__seed2.json + persample.npz

# exit=0
