# 2026-07-16T14:53:28.232729 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting impulse_noise_sev5 --variant S --image-source noisy --seed 0 --gpu 1
[MNIST CoT] impulse_noise_sev5__S__coteaching__noisy__seed0  gpu=1
  N=27000  tau=48.85%
  ep   0  R(t)=1.000  a=66.37%  b=67.39%  ens=66.82%  best_ens=66.82%@0
  ep   5  R(t)=0.655  a=83.26%  b=83.91%  ens=84.01%  best_ens=84.01%@5
  ep  10  R(t)=0.511  a=78.03%  b=78.20%  ens=78.30%  best_ens=84.01%@5
  ep  15  R(t)=0.511  a=71.77%  b=72.58%  ens=72.40%  best_ens=84.01%@5
  ep  20  R(t)=0.511  a=75.67%  b=73.70%  ens=74.78%  best_ens=84.01%@5
  ep  25  R(t)=0.511  a=75.74%  b=77.51%  ens=76.83%  best_ens=84.01%@5
  ep  30  R(t)=0.511  a=73.45%  b=73.40%  ens=73.58%  best_ens=84.01%@5
  ep  35  R(t)=0.511  a=75.25%  b=73.92%  ens=74.79%  best_ens=84.01%@5
  ep  40  R(t)=0.511  a=69.16%  b=68.42%  ens=68.84%  best_ens=84.01%@5
  ep  45  R(t)=0.511  a=66.97%  b=64.82%  ens=66.03%  best_ens=84.01%@5
  ep  50  R(t)=0.511  a=70.72%  b=71.25%  ens=71.21%  best_ens=84.01%@5
  ep  55  R(t)=0.511  a=77.81%  b=75.61%  ens=76.72%  best_ens=84.01%@5
  ep  60  R(t)=0.511  a=71.72%  b=72.80%  ens=72.45%  best_ens=84.01%@5
  ep  65  R(t)=0.511  a=74.94%  b=74.80%  ens=74.84%  best_ens=84.01%@5
  ep  70  R(t)=0.511  a=75.76%  b=74.93%  ens=75.40%  best_ens=84.01%@5
  ep  75  R(t)=0.511  a=73.51%  b=72.93%  ens=73.28%  best_ens=84.01%@5
  ep  80  R(t)=0.511  a=74.84%  b=74.23%  ens=74.58%  best_ens=84.01%@5
  ep  85  R(t)=0.511  a=75.53%  b=75.24%  ens=75.37%  best_ens=84.01%@5
  ep  90  R(t)=0.511  a=74.16%  b=74.01%  ens=74.14%  best_ens=84.01%@5
  ep  95  R(t)=0.511  a=74.83%  b=74.48%  ens=74.63%  best_ens=84.01%@5
  ep  99  R(t)=0.511  a=74.83%  b=74.59%  ens=74.73%  best_ens=84.01%@5
  DONE  best_ens=84.01%  saved impulse_noise_sev5__S__coteaching__noisy__seed0.json + persample.npz

# exit=0
