# 2026-07-16T17:52:18.469448 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting rotate_sev5 --variant S --image-source clean --seed 2 --gpu 2
[MNIST CoT] rotate_sev5__S__coteaching__clean__seed2  gpu=2
  N=27000  tau=63.92%
  ep   0  R(t)=1.000  a=44.91%  b=46.51%  ens=45.89%  best_ens=45.89%@0
  ep   5  R(t)=0.548  a=46.98%  b=47.73%  ens=47.79%  best_ens=51.90%@4
  ep  10  R(t)=0.361  a=47.47%  b=47.46%  ens=47.74%  best_ens=51.90%@4
  ep  15  R(t)=0.361  a=46.47%  b=46.63%  ens=46.74%  best_ens=51.90%@4
  ep  20  R(t)=0.361  a=49.50%  b=48.76%  ens=49.06%  best_ens=51.90%@4
  ep  25  R(t)=0.361  a=50.32%  b=50.36%  ens=50.35%  best_ens=51.90%@4
  ep  30  R(t)=0.361  a=49.15%  b=50.20%  ens=49.85%  best_ens=57.82%@27
  ep  35  R(t)=0.361  a=52.25%  b=52.59%  ens=52.64%  best_ens=57.82%@27
  ep  40  R(t)=0.361  a=51.37%  b=50.83%  ens=51.17%  best_ens=57.82%@27
  ep  45  R(t)=0.361  a=55.65%  b=57.11%  ens=56.63%  best_ens=57.82%@27
  ep  50  R(t)=0.361  a=56.31%  b=56.03%  ens=56.41%  best_ens=57.82%@27
  ep  55  R(t)=0.361  a=52.69%  b=52.04%  ens=52.39%  best_ens=57.82%@27
  ep  60  R(t)=0.361  a=52.41%  b=53.03%  ens=52.92%  best_ens=57.82%@27
  ep  65  R(t)=0.361  a=56.64%  b=56.28%  ens=56.51%  best_ens=57.82%@27
  ep  70  R(t)=0.361  a=53.66%  b=54.18%  ens=54.11%  best_ens=57.82%@27
  ep  75  R(t)=0.361  a=55.20%  b=55.20%  ens=55.22%  best_ens=57.82%@27
  ep  80  R(t)=0.361  a=57.07%  b=56.85%  ens=56.95%  best_ens=57.82%@27
  ep  85  R(t)=0.361  a=54.43%  b=54.22%  ens=54.29%  best_ens=57.82%@27
  ep  90  R(t)=0.361  a=55.24%  b=55.69%  ens=55.52%  best_ens=57.82%@27
  ep  95  R(t)=0.361  a=54.83%  b=54.58%  ens=54.72%  best_ens=57.82%@27
  ep  99  R(t)=0.361  a=54.76%  b=54.66%  ens=54.71%  best_ens=57.82%@27
  DONE  best_ens=57.82%  saved rotate_sev5__S__coteaching__clean__seed2.json + persample.npz

# exit=0
