# 2026-07-16T17:57:17.098452 | cmd = python /path/to/ciln-workspace/experiments/downstream_multimodal/train_mnist/train_mnist_coteaching.py --setting rotate_sev5 --variant S --image-source noisy --seed 1 --gpu 2
[MNIST CoT] rotate_sev5__S__coteaching__noisy__seed1  gpu=2
  N=27000  tau=63.89%
  ep   0  R(t)=1.000  a=71.68%  b=70.09%  ens=71.71%  best_ens=71.71%@0
  ep   5  R(t)=0.548  a=82.26%  b=82.49%  ens=82.87%  best_ens=88.12%@4
  ep  10  R(t)=0.361  a=82.63%  b=82.48%  ens=83.01%  best_ens=88.12%@4
  ep  15  R(t)=0.361  a=83.27%  b=84.22%  ens=84.04%  best_ens=88.12%@4
  ep  20  R(t)=0.361  a=57.69%  b=62.21%  ens=60.68%  best_ens=88.12%@4
  ep  25  R(t)=0.361  a=60.09%  b=56.73%  ens=58.90%  best_ens=88.12%@4
  ep  30  R(t)=0.361  a=53.10%  b=54.17%  ens=53.83%  best_ens=88.12%@4
  ep  35  R(t)=0.361  a=58.77%  b=55.71%  ens=58.37%  best_ens=88.12%@4
  ep  40  R(t)=0.361  a=57.84%  b=56.57%  ens=57.58%  best_ens=88.12%@4
  ep  45  R(t)=0.361  a=58.65%  b=58.69%  ens=58.83%  best_ens=88.12%@4
  ep  50  R(t)=0.361  a=55.02%  b=58.74%  ens=57.05%  best_ens=88.12%@4
  ep  55  R(t)=0.361  a=56.93%  b=52.89%  ens=56.04%  best_ens=88.12%@4
  ep  60  R(t)=0.361  a=60.13%  b=58.16%  ens=59.42%  best_ens=88.12%@4
  ep  65  R(t)=0.361  a=58.31%  b=58.51%  ens=58.47%  best_ens=88.12%@4
  ep  70  R(t)=0.361  a=58.29%  b=58.06%  ens=58.25%  best_ens=88.12%@4
  ep  75  R(t)=0.361  a=59.56%  b=59.46%  ens=59.69%  best_ens=88.12%@4
  ep  80  R(t)=0.361  a=58.36%  b=58.34%  ens=58.52%  best_ens=88.12%@4
  ep  85  R(t)=0.361  a=58.83%  b=59.00%  ens=59.11%  best_ens=88.12%@4
  ep  90  R(t)=0.361  a=58.34%  b=58.91%  ens=58.68%  best_ens=88.12%@4
  ep  95  R(t)=0.361  a=58.25%  b=58.86%  ens=58.62%  best_ens=88.12%@4
  ep  99  R(t)=0.361  a=58.24%  b=58.87%  ens=58.59%  best_ens=88.12%@4
  DONE  best_ens=88.12%  saved rotate_sev5__S__coteaching__noisy__seed1.json + persample.npz

# exit=0
