epoch,lr,train_loss,train_acc,val_loss,val_acc,wall_sec
1,1e-06,2.3849,0.1079,2.2611,0.1768,49.7
2,2.8e-06,2.2278,0.1850,1.8616,0.5256,48.6
3,4.6e-06,1.9387,0.3332,0.9476,0.8440,48.7
4,6.4e-06,1.7597,0.4494,0.5902,0.9120,48.7
5,8.2e-06,1.6744,0.4965,0.4745,0.9424,48.7
6,1e-05,1.5806,0.5204,0.3853,0.9584,48.7
7,9.89074e-06,1.5197,0.5112,0.3694,0.9592,48.7
8,9.56773e-06,1.4949,0.5704,0.3397,0.9656,48.7
9,9.04508e-06,1.4913,0.5466,0.3192,0.9692,48.7
10,8.34565e-06,1.4739,0.5427,0.2979,0.9692,48.7
11,7.5e-06,1.4136,0.5996,0.2808,0.9740,48.8
12,6.54508e-06,1.4550,0.5692,0.3098,0.9732,48.7
13,5.52264e-06,1.4349,0.5512,0.3043,0.9744,48.8
14,4.47736e-06,1.4395,0.5741,0.2722,0.9744,48.7
15,3.45492e-06,1.3922,0.6011,0.2790,0.9744,48.7
16,2.5e-06,1.4003,0.5761,0.2738,0.9760,48.7
17,1.65435e-06,1.4273,0.5775,0.2746,0.9764,48.7
18,9.54915e-07,1.4171,0.5311,0.2846,0.9760,48.7
19,4.32273e-07,1.4171,0.5169,0.2793,0.9756,48.8
20,1.09262e-07,1.4011,0.5639,0.2788,0.9756,48.7
