epoch,lr,train_loss,train_acc,val_loss,val_acc,wall_sec
1,1e-06,2.3228,0.1307,2.1776,0.2543,60.1
2,2.8e-06,2.1513,0.2329,1.1976,0.7363,59.5
3,4.6e-06,1.8321,0.3885,0.5151,0.9143,59.7
4,6.4e-06,1.6907,0.4762,0.3226,0.9550,59.8
5,8.2e-06,1.5817,0.5027,0.2582,0.9640,59.6
6,1e-05,1.5067,0.5150,0.2203,0.9713,59.5
7,9.89074e-06,1.4614,0.5510,0.2292,0.9757,59.6
8,9.56773e-06,1.4550,0.5410,0.2067,0.9747,59.6
9,9.04508e-06,1.4031,0.5693,0.2490,0.9787,59.5
10,8.34565e-06,1.3955,0.5729,0.2593,0.9787,59.5
11,7.5e-06,1.3737,0.5419,0.2001,0.9797,59.5
12,6.54508e-06,1.3817,0.6018,0.1769,0.9830,59.5
13,5.52264e-06,1.3408,0.5815,0.1802,0.9843,59.6
14,4.47736e-06,1.3884,0.5629,0.1765,0.9843,59.6
15,3.45492e-06,1.3547,0.5381,0.1494,0.9857,59.6
16,2.5e-06,1.3417,0.5184,0.1825,0.9857,59.6
17,1.65435e-06,1.3624,0.5563,0.1901,0.9867,59.5
18,9.54915e-07,1.3263,0.5558,0.1699,0.9867,59.6
19,4.32273e-07,1.3345,0.5800,0.1632,0.9870,59.6
20,1.09262e-07,1.3488,0.5669,0.1630,0.9870,59.5
