epoch,lr,train_loss,train_acc,val_loss,val_acc,wall_sec
1,0.001,0.6197,0.8254,0.1718,0.9460,2.2
2,0.001,0.1515,0.9580,0.1196,0.9613,1.6
3,0.001,0.1065,0.9713,0.0980,0.9743,1.4
4,0.001,0.0879,0.9762,0.0641,0.9820,1.4
5,0.001,0.0711,0.9813,0.0618,0.9817,1.5
6,0.001,0.0599,0.9843,0.0557,0.9850,1.5
7,0.001,0.0532,0.9864,0.0555,0.9847,1.5
8,0.001,0.0475,0.9880,0.0470,0.9870,1.5
9,0.001,0.0405,0.9896,0.0499,0.9853,1.5
10,0.001,0.0386,0.9903,0.0533,0.9850,1.5
11,0.001,0.0337,0.9923,0.0462,0.9853,1.5
12,0.001,0.0274,0.9940,0.0513,0.9870,1.5
13,0.001,0.0263,0.9945,0.0529,0.9870,1.5
14,0.001,0.0207,0.9956,0.0495,0.9867,1.5
15,0.001,0.0195,0.9963,0.0456,0.9897,1.6
16,0.001,0.0188,0.9957,0.0476,0.9890,1.5
17,0.001,0.0148,0.9972,0.0489,0.9877,1.5
18,0.001,0.0134,0.9976,0.0476,0.9890,1.4
19,0.001,0.0114,0.9983,0.0471,0.9893,1.5
20,0.001,0.0098,0.9988,0.0580,0.9873,1.5
21,0.001,0.0106,0.9985,0.0504,0.9880,1.5
22,0.001,0.0110,0.9986,0.0473,0.9893,1.5
23,0.001,0.0098,0.9988,0.0612,0.9840,1.6
24,0.001,0.0148,0.9981,0.0503,0.9913,1.6
25,0.001,0.0064,0.9992,0.0501,0.9883,1.5
26,0.001,0.0078,0.9992,0.0594,0.9877,1.5
27,0.001,0.0068,0.9994,0.0758,0.9847,1.5
28,0.001,0.0093,0.9989,0.0608,0.9873,1.6
29,0.001,0.0070,0.9993,0.0609,0.9887,1.5
30,0.001,0.0047,0.9997,0.0568,0.9890,1.5
31,0.001,0.0026,0.9997,0.0496,0.9917,1.4
32,0.001,0.0013,1.0000,0.0557,0.9907,1.4
33,0.001,0.0059,0.9994,0.0567,0.9903,1.4
34,0.001,0.0094,0.9993,0.0628,0.9877,1.4
35,0.001,0.0100,0.9991,0.0707,0.9883,1.4
36,0.001,0.0105,0.9990,0.0595,0.9873,1.5
37,0.001,0.0073,0.9994,0.0560,0.9893,1.5
38,0.001,0.0019,0.9999,0.0605,0.9903,1.4
39,0.001,0.0016,0.9998,0.0535,0.9903,1.5
40,0.001,0.0007,0.9999,0.0573,0.9900,1.4
41,0.001,0.0001,1.0000,0.0567,0.9907,1.5
42,0.001,0.0001,1.0000,0.0572,0.9907,1.5
43,0.001,0.0001,1.0000,0.0581,0.9907,1.4
44,0.001,0.0001,1.0000,0.0600,0.9907,1.6
45,0.001,0.0000,1.0000,0.0612,0.9907,1.5
46,0.001,0.0000,1.0000,0.0616,0.9907,1.5
47,0.001,0.0000,1.0000,0.0625,0.9907,1.5
48,0.001,0.0000,1.0000,0.0638,0.9907,1.5
49,0.001,0.0000,1.0000,0.0643,0.9907,1.5
50,0.001,0.0000,1.0000,0.0651,0.9907,1.5
51,0.001,0.0000,1.0000,0.0661,0.9907,1.6
52,0.001,0.0000,1.0000,0.0663,0.9907,1.5
53,0.001,0.0000,1.0000,0.0667,0.9907,1.5
54,0.001,0.0000,1.0000,0.0680,0.9910,1.5
55,0.001,0.0000,1.0000,0.0687,0.9913,1.5
56,0.001,0.0000,1.0000,0.0690,0.9910,1.6
57,0.001,0.0000,1.0000,0.0699,0.9913,1.4
58,0.001,0.0000,1.0000,0.0700,0.9913,1.5
59,0.001,0.0000,1.0000,0.0706,0.9913,1.4
60,0.001,0.0000,1.0000,0.0716,0.9913,1.5
61,0.001,0.0000,1.0000,0.0718,0.9913,1.4
62,0.001,0.0000,1.0000,0.0725,0.9913,1.4
63,0.001,0.0000,1.0000,0.0731,0.9913,1.4
64,0.001,0.0000,1.0000,0.0740,0.9913,1.4
65,0.001,0.0000,1.0000,0.0742,0.9913,1.4
66,0.001,0.0000,1.0000,0.0750,0.9910,1.5
67,0.001,0.0000,1.0000,0.0757,0.9910,1.4
68,0.001,0.0000,1.0000,0.0760,0.9913,1.4
69,0.001,0.0000,1.0000,0.0774,0.9913,1.6
70,0.001,0.0000,1.0000,0.0777,0.9917,1.6
