epoch,lr,train_loss,train_acc,val_loss,val_acc,wall_sec
1,0.001,0.4940,0.8537,0.1752,0.9453,2.0
2,0.001,0.2332,0.9331,0.1374,0.9580,1.6
3,0.001,0.1890,0.9474,0.1253,0.9623,1.5
4,0.001,0.1614,0.9525,0.1003,0.9680,1.6
5,0.001,0.1447,0.9571,0.1008,0.9713,1.5
6,0.001,0.1413,0.9602,0.0981,0.9697,1.7
7,0.001,0.1285,0.9640,0.1144,0.9700,1.6
8,0.001,0.1195,0.9663,0.0934,0.9743,1.6
9,0.001,0.1124,0.9676,0.0891,0.9760,1.6
10,0.001,0.1116,0.9667,0.0917,0.9737,1.6
11,0.001,0.1059,0.9696,0.0887,0.9730,1.5
12,0.001,0.0998,0.9716,0.0910,0.9743,1.5
13,0.001,0.0952,0.9714,0.0835,0.9740,1.5
14,0.001,0.0975,0.9730,0.0941,0.9760,1.6
15,0.001,0.0908,0.9743,0.0935,0.9757,1.6
16,0.001,0.0865,0.9756,0.0887,0.9790,1.6
17,0.001,0.0867,0.9767,0.0846,0.9763,1.5
18,0.001,0.0853,0.9754,0.0856,0.9747,1.5
19,0.001,0.0834,0.9764,0.0956,0.9743,1.6
20,0.001,0.0812,0.9773,0.0739,0.9803,1.6
21,0.001,0.0802,0.9773,0.0812,0.9793,1.6
22,0.001,0.0816,0.9777,0.0829,0.9783,1.5
23,0.001,0.0760,0.9786,0.1045,0.9737,1.5
24,0.001,0.0709,0.9797,0.0969,0.9790,1.5
25,0.001,0.0718,0.9779,0.0916,0.9810,1.6
26,0.001,0.0696,0.9794,0.0984,0.9797,1.5
27,0.001,0.0676,0.9811,0.1026,0.9757,1.5
28,0.001,0.0716,0.9796,0.0807,0.9797,1.5
29,0.001,0.0695,0.9799,0.0899,0.9773,1.6
30,0.001,0.0666,0.9809,0.0867,0.9797,1.5
31,0.001,0.0575,0.9820,0.0842,0.9797,1.5
32,0.001,0.0662,0.9808,0.1007,0.9807,1.5
33,0.001,0.0622,0.9824,0.0934,0.9770,1.5
34,0.001,0.0611,0.9831,0.0865,0.9797,1.5
35,0.001,0.0642,0.9817,0.0843,0.9800,1.5
36,0.001,0.0591,0.9824,0.0923,0.9793,1.5
37,0.001,0.0653,0.9816,0.0887,0.9777,1.5
38,0.001,0.0577,0.9840,0.0907,0.9787,1.5
39,0.001,0.0560,0.9831,0.0931,0.9790,1.5
40,0.001,0.0646,0.9822,0.1003,0.9777,1.5
41,0.001,0.0593,0.9830,0.0907,0.9773,1.5
42,0.001,0.0602,0.9832,0.0924,0.9783,1.6
43,0.001,0.0699,0.9836,0.0761,0.9803,1.6
44,0.001,0.0586,0.9837,0.0757,0.9797,1.6
45,0.001,0.0559,0.9841,0.0912,0.9777,1.5
46,0.001,0.0594,0.9840,0.0744,0.9817,1.5
47,0.001,0.0525,0.9842,0.0934,0.9793,1.5
48,0.001,0.0566,0.9837,0.0893,0.9783,1.5
49,0.001,0.0621,0.9839,0.0876,0.9777,1.5
50,0.001,0.0552,0.9835,0.0900,0.9810,1.5
51,0.001,0.0648,0.9812,0.1014,0.9787,1.5
52,0.001,0.0530,0.9842,0.0908,0.9793,1.4
53,0.001,0.0613,0.9832,0.0806,0.9797,1.4
54,0.001,0.0536,0.9844,0.0924,0.9793,1.5
55,0.001,0.0549,0.9845,0.0838,0.9800,1.5
56,0.001,0.0582,0.9841,0.1047,0.9757,1.5
57,0.001,0.0572,0.9846,0.0961,0.9780,1.5
58,0.001,0.0590,0.9841,0.0929,0.9797,1.5
59,0.001,0.0558,0.9846,0.0896,0.9810,1.5
60,0.001,0.0478,0.9834,0.0958,0.9773,1.5
61,0.001,0.0584,0.9849,0.0765,0.9820,1.5
62,0.001,0.0568,0.9848,0.0874,0.9817,1.5
63,0.001,0.0569,0.9850,0.0850,0.9803,1.5
64,0.001,0.0502,0.9860,0.0848,0.9813,1.6
65,0.001,0.0543,0.9864,0.0906,0.9793,1.5
66,0.001,0.0564,0.9864,0.0936,0.9797,1.5
67,0.001,0.0517,0.9849,0.0985,0.9790,1.5
68,0.001,0.0530,0.9863,0.0850,0.9807,1.5
69,0.001,0.0538,0.9847,0.0887,0.9813,1.5
70,0.001,0.0533,0.9851,0.0863,0.9777,1.4
71,0.001,0.0502,0.9846,0.0900,0.9790,1.4
72,0.001,0.0569,0.9844,0.0892,0.9827,1.4
73,0.001,0.0545,0.9851,0.0876,0.9793,1.5
74,0.001,0.0597,0.9843,0.0995,0.9803,1.5
75,0.001,0.0483,0.9861,0.0986,0.9810,1.5
76,0.001,0.0512,0.9864,0.0927,0.9820,1.6
77,0.001,0.0514,0.9853,0.0867,0.9810,1.4
78,0.001,0.0593,0.9842,0.0913,0.9823,1.5
79,0.001,0.0557,0.9838,0.0975,0.9757,1.5
80,0.001,0.0521,0.9837,0.1072,0.9787,1.5
81,0.001,0.0562,0.9859,0.0885,0.9807,1.5
82,0.000991667,0.0514,0.9857,0.1044,0.9787,1.5
83,0.000983333,0.0554,0.9857,0.0775,0.9817,1.5
84,0.000975,0.0514,0.9844,0.0899,0.9790,1.5
85,0.000966667,0.0505,0.9869,0.0897,0.9823,1.6
86,0.000958333,0.0487,0.9849,0.0751,0.9827,1.5
87,0.00095,0.0470,0.9854,0.0796,0.9810,1.6
88,0.000941667,0.0505,0.9865,0.0825,0.9817,1.5
89,0.000933333,0.0457,0.9872,0.0798,0.9827,1.5
90,0.000925,0.0424,0.9873,0.0859,0.9830,1.5
91,0.000916667,0.0441,0.9873,0.0799,0.9823,1.5
92,0.000908333,0.0468,0.9877,0.0841,0.9830,1.5
93,0.0009,0.0513,0.9869,0.0984,0.9797,1.6
94,0.000891667,0.0420,0.9878,0.0789,0.9810,1.5
95,0.000883333,0.0414,0.9880,0.0808,0.9820,1.5
96,0.000875,0.0475,0.9874,0.0808,0.9813,1.6
97,0.000866667,0.0453,0.9868,0.0838,0.9817,1.5
98,0.000858333,0.0409,0.9875,0.1019,0.9827,1.5
99,0.00085,0.0384,0.9885,0.0960,0.9810,1.5
100,0.000841667,0.0422,0.9871,0.0821,0.9823,1.5
101,0.000833333,0.0405,0.9875,0.0863,0.9810,1.5
102,0.000825,0.0387,0.9881,0.0867,0.9833,1.5
103,0.000816667,0.0411,0.9890,0.0923,0.9783,1.5
104,0.000808333,0.0429,0.9880,0.0829,0.9787,1.5
105,0.0008,0.0398,0.9891,0.0753,0.9827,1.5
106,0.000791667,0.0416,0.9875,0.0740,0.9813,1.4
107,0.000783333,0.0440,0.9887,0.0810,0.9837,1.5
108,0.000775,0.0367,0.9904,0.0725,0.9830,1.5
109,0.000766667,0.0355,0.9903,0.0893,0.9823,1.4
110,0.000758333,0.0392,0.9894,0.0761,0.9840,1.5
111,0.00075,0.0391,0.9899,0.0657,0.9810,1.4
112,0.000741667,0.0353,0.9903,0.0734,0.9817,1.4
113,0.000733333,0.0344,0.9901,0.0776,0.9827,1.4
114,0.000725,0.0347,0.9899,0.0837,0.9843,1.4
115,0.000716667,0.0309,0.9903,0.0842,0.9813,1.4
116,0.000708333,0.0343,0.9904,0.0761,0.9820,1.5
117,0.0007,0.0323,0.9911,0.0812,0.9830,1.6
118,0.000691667,0.0336,0.9912,0.0811,0.9817,1.6
119,0.000683333,0.0304,0.9917,0.0721,0.9820,1.4
120,0.000675,0.0344,0.9899,0.0970,0.9807,1.4
121,0.000666667,0.0282,0.9914,0.0907,0.9817,1.4
122,0.000658333,0.0304,0.9916,0.0727,0.9830,1.5
123,0.00065,0.0318,0.9902,0.0750,0.9813,1.5
124,0.000641667,0.0289,0.9919,0.0669,0.9837,1.5
125,0.000633333,0.0283,0.9921,0.0742,0.9833,1.5
126,0.000625,0.0286,0.9918,0.0773,0.9827,1.5
127,0.000616667,0.0264,0.9914,0.0605,0.9853,1.4
128,0.000608333,0.0247,0.9929,0.0761,0.9817,1.5
129,0.0006,0.0289,0.9926,0.0803,0.9823,1.4
130,0.000591667,0.0248,0.9917,0.0881,0.9813,1.5
131,0.000583333,0.0297,0.9917,0.0869,0.9820,1.5
132,0.000575,0.0255,0.9923,0.0763,0.9820,1.5
133,0.000566667,0.0272,0.9930,0.0811,0.9837,1.5
134,0.000558333,0.0210,0.9928,0.0844,0.9817,1.5
135,0.00055,0.0230,0.9937,0.0770,0.9837,1.5
136,0.000541667,0.0225,0.9927,0.0855,0.9820,1.5
137,0.000533333,0.0247,0.9931,0.0865,0.9833,1.5
138,0.000525,0.0197,0.9937,0.0800,0.9817,1.5
139,0.000516667,0.0238,0.9929,0.0749,0.9850,1.6
140,0.000508333,0.0241,0.9927,0.0769,0.9847,1.6
141,0.0005,0.0256,0.9933,0.0767,0.9840,1.6
142,0.000491667,0.0199,0.9935,0.0804,0.9833,1.5
143,0.000483333,0.0200,0.9935,0.0848,0.9833,1.5
144,0.000475,0.0176,0.9946,0.0810,0.9843,1.5
145,0.000466667,0.0241,0.9932,0.0716,0.9860,1.5
146,0.000458333,0.0195,0.9941,0.0762,0.9840,1.6
147,0.00045,0.0208,0.9949,0.0911,0.9810,1.5
148,0.000441667,0.0209,0.9946,0.0938,0.9837,1.5
149,0.000433333,0.0203,0.9950,0.0843,0.9827,1.5
150,0.000425,0.0185,0.9943,0.0782,0.9843,1.7
151,0.000416667,0.0154,0.9957,0.0820,0.9837,1.6
152,0.000408333,0.0169,0.9949,0.0773,0.9853,1.6
153,0.0004,0.0190,0.9955,0.0820,0.9833,1.6
154,0.000391667,0.0148,0.9956,0.0804,0.9840,1.5
155,0.000383333,0.0177,0.9955,0.0766,0.9840,1.5
156,0.000375,0.0173,0.9949,0.0839,0.9827,1.5
157,0.000366667,0.0143,0.9951,0.0785,0.9847,1.6
158,0.000358333,0.0127,0.9962,0.0797,0.9843,1.6
159,0.00035,0.0137,0.9959,0.0814,0.9847,1.7
160,0.000341667,0.0135,0.9964,0.0863,0.9817,1.6
161,0.000333333,0.0150,0.9955,0.0767,0.9860,1.5
162,0.000325,0.0144,0.9957,0.0780,0.9853,1.5
163,0.000316667,0.0145,0.9956,0.0785,0.9850,1.6
164,0.000308333,0.0123,0.9958,0.0795,0.9853,1.5
165,0.0003,0.0109,0.9962,0.0867,0.9830,1.5
166,0.000291667,0.0112,0.9965,0.0831,0.9840,1.5
167,0.000283333,0.0141,0.9958,0.0878,0.9840,1.5
168,0.000275,0.0133,0.9960,0.0820,0.9857,1.5
169,0.000266667,0.0120,0.9965,0.0853,0.9843,1.5
170,0.000258333,0.0107,0.9969,0.0852,0.9833,1.5
171,0.00025,0.0122,0.9964,0.0892,0.9820,1.5
172,0.000241667,0.0121,0.9969,0.0832,0.9837,1.4
173,0.000233333,0.0099,0.9970,0.0844,0.9840,1.5
174,0.000225,0.0098,0.9969,0.0826,0.9823,1.5
175,0.000216667,0.0108,0.9969,0.0887,0.9837,1.5
176,0.000208333,0.0100,0.9969,0.0911,0.9853,1.5
177,0.0002,0.0092,0.9976,0.0847,0.9843,1.5
178,0.000191667,0.0087,0.9969,0.0796,0.9847,1.5
179,0.000183333,0.0091,0.9975,0.0827,0.9843,1.5
180,0.000175,0.0092,0.9970,0.0807,0.9860,1.5
181,0.000166667,0.0073,0.9978,0.0810,0.9857,1.5
182,0.000158333,0.0081,0.9972,0.0832,0.9853,1.6
183,0.00015,0.0067,0.9980,0.0839,0.9863,1.5
184,0.000141667,0.0074,0.9977,0.0827,0.9860,1.5
185,0.000133333,0.0081,0.9976,0.0892,0.9857,1.4
186,0.000125,0.0083,0.9976,0.0896,0.9857,1.5
187,0.000116667,0.0087,0.9975,0.0903,0.9850,1.5
188,0.000108333,0.0078,0.9976,0.0892,0.9850,1.5
189,0.0001,0.0083,0.9981,0.0905,0.9840,1.4
190,9.16667e-05,0.0080,0.9981,0.0908,0.9840,1.4
191,8.33333e-05,0.0082,0.9976,0.0892,0.9850,1.5
192,7.5e-05,0.0065,0.9983,0.0897,0.9857,1.5
193,6.66667e-05,0.0070,0.9984,0.0892,0.9840,1.5
194,5.83333e-05,0.0062,0.9979,0.0873,0.9847,1.4
195,5e-05,0.0063,0.9983,0.0857,0.9853,1.5
196,4.16667e-05,0.0055,0.9986,0.0863,0.9850,1.6
197,3.33333e-05,0.0071,0.9981,0.0844,0.9857,1.5
198,2.5e-05,0.0057,0.9983,0.0846,0.9857,1.5
199,1.66667e-05,0.0056,0.9981,0.0851,0.9857,1.5
200,8.33333e-06,0.0065,0.9985,0.0853,0.9857,1.4
