epoch,lr,train_loss,train_acc,val_loss,val_acc,wall_sec
1,0.1,1.8497,0.3274,1.7316,0.3820,4.6
2,0.1,1.4282,0.4988,1.6496,0.4172,3.7
3,0.1,1.1890,0.5962,1.2197,0.5660,3.7
4,0.1,1.0480,0.6518,1.0961,0.6180,3.7
5,0.1,0.9495,0.6876,0.8854,0.6944,3.7
6,0.1,0.8572,0.7233,0.9210,0.6820,4.1
7,0.1,0.7900,0.7501,0.8236,0.7204,4.2
8,0.1,0.7262,0.7723,0.7326,0.7440,4.1
9,0.1,0.6746,0.7917,0.7229,0.7484,4.1
10,0.1,0.6471,0.8038,0.7277,0.7556,4.6
11,0.1,0.6119,0.8148,0.8203,0.7072,4.6
12,0.1,0.5851,0.8242,0.6954,0.7632,4.1
13,0.1,0.5628,0.8324,0.6081,0.7932,4.1
14,0.1,0.5410,0.8402,0.6653,0.7756,4.2
15,0.1,0.5221,0.8482,0.6999,0.7648,4.2
16,0.1,0.5006,0.8553,0.6076,0.7892,4.2
17,0.1,0.4967,0.8557,0.6583,0.7788,4.2
18,0.1,0.4823,0.8606,0.5586,0.8048,4.1
19,0.1,0.4594,0.8674,0.6402,0.7748,4.1
20,0.1,0.4555,0.8723,0.6375,0.7904,4.0
21,0.1,0.4429,0.8755,0.5841,0.8052,4.1
22,0.1,0.4331,0.8792,0.6429,0.7880,4.0
23,0.1,0.4187,0.8852,0.4993,0.8256,4.1
24,0.1,0.4108,0.8849,0.5939,0.8068,4.1
25,0.1,0.4021,0.8922,0.5359,0.8200,4.6
26,0.1,0.3918,0.8940,0.5777,0.8108,4.1
27,0.1,0.3893,0.8944,0.6299,0.8016,4.1
28,0.1,0.3717,0.9033,0.5471,0.8248,4.1
29,0.1,0.3639,0.9039,0.5553,0.8180,4.6
30,0.1,0.3578,0.9092,0.5863,0.8080,4.2
31,0.1,0.3555,0.9098,0.5695,0.8140,4.3
32,0.1,0.3450,0.9121,0.5349,0.8268,4.3
33,0.1,0.3397,0.9125,0.5884,0.8104,4.3
34,0.1,0.3306,0.9167,0.6653,0.8112,4.3
35,0.1,0.3267,0.9186,0.5888,0.8124,4.3
36,0.1,0.3233,0.9188,0.5813,0.8236,4.3
37,0.1,0.3142,0.9228,0.5328,0.8208,4.6
38,0.1,0.3142,0.9242,0.5777,0.8228,4.6
39,0.1,0.2991,0.9294,0.5353,0.8292,4.3
40,0.1,0.2974,0.9285,0.5551,0.8256,4.2
41,0.1,0.2981,0.9294,0.5358,0.8328,3.9
42,0.1,0.2931,0.9328,0.5923,0.8148,4.0
43,0.1,0.2903,0.9337,0.5431,0.8268,4.1
44,0.1,0.2826,0.9340,0.6324,0.8120,3.9
45,0.1,0.2782,0.9371,0.5700,0.8228,3.8
46,0.1,0.2689,0.9393,0.5707,0.8204,3.8
47,0.1,0.2787,0.9376,0.5445,0.8220,3.8
48,0.1,0.2558,0.9432,0.5658,0.8208,3.8
49,0.1,0.2618,0.9419,0.6043,0.8320,4.1
50,0.1,0.2672,0.9422,0.5247,0.8344,4.1
51,0.1,0.2538,0.9463,0.5939,0.8236,4.1
52,0.1,0.2464,0.9460,0.5914,0.8280,4.1
53,0.1,0.2561,0.9448,0.6768,0.8216,4.2
54,0.1,0.2447,0.9475,0.5984,0.8252,4.1
55,0.1,0.2467,0.9478,0.5900,0.8144,4.1
56,0.1,0.2437,0.9478,0.6186,0.8224,4.1
