epoch,lr,train_loss,train_acc,val_loss,val_acc,wall_sec
1,0.001,0.3693,0.9184,0.0907,0.9743,5.6
2,0.001,0.0645,0.9884,0.0713,0.9790,4.7
3,0.001,0.0467,0.9920,0.0544,0.9843,4.5
4,0.001,0.0317,0.9953,0.0515,0.9847,4.8
5,0.001,0.0289,0.9958,0.0315,0.9897,4.8
6,0.001,0.0220,0.9974,0.0618,0.9810,4.6
7,0.001,0.0235,0.9972,0.0384,0.9880,4.9
8,0.001,0.0171,0.9981,0.0284,0.9923,4.7
9,0.001,0.0129,0.9993,0.0437,0.9883,4.8
10,0.001,0.0157,0.9988,0.0317,0.9903,5.8
11,0.001,0.0099,0.9994,0.0237,0.9930,4.8
12,0.001,0.0076,0.9998,0.0412,0.9903,4.9
13,0.001,0.0142,0.9994,0.0809,0.9787,4.9
14,0.001,0.0116,0.9993,0.0309,0.9910,4.7
15,0.001,0.0071,0.9998,0.0315,0.9923,4.5
16,0.001,0.0097,0.9995,0.0267,0.9933,4.7
17,0.001,0.0066,0.9998,0.0320,0.9903,4.4
18,0.001,0.0082,0.9996,0.0368,0.9900,4.4
19,0.001,0.0076,0.9997,0.0400,0.9893,4.8
20,0.001,0.0062,0.9998,0.0329,0.9903,4.6
21,0.001,0.0052,0.9999,0.0342,0.9913,4.4
22,0.001,0.0070,0.9997,0.0488,0.9870,4.6
23,0.001,0.0103,0.9997,0.0402,0.9897,4.8
24,0.001,0.0067,0.9998,0.0357,0.9907,4.5
25,0.001,0.0016,1.0000,0.0290,0.9927,4.4
26,0.001,0.0015,1.0000,0.0261,0.9933,4.8
27,0.001,0.0083,0.9997,0.0316,0.9920,4.5
28,0.001,0.0056,0.9999,0.0340,0.9897,4.7
29,0.001,0.0077,0.9996,0.0254,0.9923,4.5
30,0.001,0.0032,1.0000,0.0359,0.9903,4.6
31,0.001,0.0054,0.9999,0.0352,0.9920,4.6
32,0.001,0.0046,0.9999,0.0351,0.9910,4.5
33,0.001,0.0024,1.0000,0.0354,0.9910,4.6
34,0.001,0.0023,1.0000,0.0619,0.9827,4.5
35,0.001,0.0090,0.9997,0.0388,0.9913,4.4
36,0.001,0.0036,0.9999,0.0367,0.9917,4.5
37,0.001,0.0045,0.9999,0.0466,0.9897,4.3
38,0.001,0.0021,1.0000,0.0287,0.9920,4.3
39,0.001,0.0031,0.9999,0.0403,0.9927,4.6
40,0.001,0.0037,0.9999,0.0305,0.9923,4.7
41,0.001,0.0040,1.0000,0.0704,0.9853,4.6
42,0.001,0.0071,0.9997,0.0412,0.9900,4.5
43,0.001,0.0024,1.0000,0.0228,0.9933,5.2
44,0.001,0.0025,1.0000,0.0294,0.9937,4.7
45,0.001,0.0029,0.9999,0.0226,0.9920,5.1
46,0.001,0.0020,1.0000,0.0366,0.9907,5.4
47,0.001,0.0043,1.0000,0.0358,0.9920,5.1
48,0.001,0.0022,1.0000,0.0327,0.9930,5.1
49,0.001,0.0068,0.9999,0.0406,0.9930,4.9
50,0.001,0.0025,0.9999,0.0347,0.9947,4.9
51,0.001,0.0009,1.0000,0.0296,0.9940,4.9
52,0.001,0.0012,1.0000,0.0295,0.9930,5.0
53,0.001,0.0009,1.0000,0.0331,0.9943,4.8
54,0.001,0.0021,1.0000,0.0393,0.9913,5.0
55,0.001,0.0048,1.0000,0.0474,0.9913,4.5
56,0.001,0.0056,0.9999,0.0411,0.9890,4.6
57,0.001,0.0040,1.0000,0.0306,0.9933,4.6
58,0.001,0.0006,1.0000,0.0279,0.9943,4.3
59,0.001,0.0004,1.0000,0.0253,0.9947,4.3
60,0.001,0.0002,1.0000,0.0300,0.9943,4.4
61,0.001,0.0069,0.9998,0.0505,0.9910,4.4
62,0.001,0.0061,0.9997,0.0327,0.9923,4.5
63,0.001,0.0023,1.0000,0.0289,0.9910,4.6
64,0.001,0.0015,0.9999,0.0301,0.9937,4.6
65,0.001,0.0005,1.0000,0.0262,0.9940,4.4
66,0.001,0.0001,1.0000,0.0256,0.9943,4.4
67,0.001,0.0002,1.0000,0.0265,0.9947,4.8
68,0.001,0.0001,1.0000,0.0263,0.9943,4.7
69,0.001,0.0000,1.0000,0.0259,0.9943,4.9
70,0.001,0.0000,1.0000,0.0272,0.9943,4.3
71,0.001,0.0000,1.0000,0.0271,0.9943,5.1
72,0.001,0.0000,1.0000,0.0262,0.9943,5.4
