epoch,lr,train_loss,train_acc,val_loss,val_acc,wall_sec
1,0.1,1.7237,0.4348,2.1192,0.3932,32.2
2,0.1,1.2330,0.6409,1.3902,0.5604,31.5
3,0.1,1.0275,0.7129,1.8473,0.5072,31.7
4,0.1,0.9099,0.7537,1.9877,0.4964,31.8
5,0.1,0.8323,0.7816,1.1519,0.6436,31.9
6,0.1,0.7693,0.8084,1.2183,0.6484,31.9
7,0.1,0.7069,0.8316,1.0820,0.6844,32.1
8,0.1,0.6596,0.8506,1.1534,0.6808,32.2
9,0.1,0.6112,0.8699,1.0495,0.6824,32.2
10,0.1,0.5859,0.8785,1.1066,0.6832,32.2
11,0.1,0.5601,0.8869,0.9013,0.7240,32.0
12,0.1,0.5277,0.9004,0.7825,0.7612,31.9
13,0.1,0.5187,0.9035,1.1479,0.6920,31.9
14,0.1,0.4965,0.9118,0.9798,0.7384,31.8
15,0.1,0.4735,0.9219,0.7331,0.7832,31.9
16,0.1,0.4608,0.9269,1.1095,0.7256,32.0
17,0.1,0.4512,0.9296,0.8462,0.7524,31.9
18,0.1,0.4374,0.9354,0.7525,0.7652,32.0
19,0.1,0.4296,0.9390,0.9184,0.7524,31.9
20,0.1,0.4253,0.9406,0.9174,0.7492,31.9
21,0.1,0.4169,0.9436,0.8163,0.7640,31.8
22,0.1,0.3979,0.9503,0.6959,0.7960,31.8
23,0.1,0.3969,0.9515,0.7374,0.7776,31.7
24,0.1,0.3941,0.9526,0.9495,0.7472,31.7
25,0.1,0.3850,0.9560,1.0444,0.7328,31.7
26,0.1,0.3796,0.9549,0.5766,0.8172,31.7
27,0.1,0.3697,0.9600,0.8134,0.7716,31.6
28,0.1,0.3606,0.9636,0.6388,0.8076,31.6
29,0.1,0.3658,0.9620,0.6712,0.7980,31.7
30,0.1,0.3549,0.9655,0.6598,0.8052,31.7
31,0.1,0.3528,0.9648,0.6480,0.8000,31.7
32,0.1,0.3409,0.9695,0.5526,0.8336,31.6
33,0.1,0.3433,0.9692,0.5747,0.8316,31.7
34,0.1,0.3318,0.9697,0.6040,0.8284,31.6
35,0.1,0.3316,0.9723,0.5805,0.8284,31.7
36,0.1,0.3233,0.9716,0.6612,0.8060,31.6
37,0.1,0.3169,0.9737,0.6752,0.8060,31.6
38,0.1,0.3333,0.9726,0.6387,0.8216,31.7
39,0.1,0.3077,0.9767,0.5810,0.8432,31.6
40,0.1,0.3107,0.9752,0.6732,0.8104,31.6
41,0.1,0.3128,0.9757,0.6357,0.8220,31.6
42,0.1,0.3080,0.9769,0.5702,0.8316,31.7
43,0.1,0.3024,0.9779,0.6077,0.8140,31.6
44,0.1,0.3025,0.9786,0.6608,0.8092,31.7
45,0.1,0.2980,0.9790,0.6553,0.8264,31.6
46,0.1,0.3015,0.9779,0.6355,0.8132,31.7
47,0.1,0.2949,0.9791,0.5916,0.8236,31.6
48,0.1,0.2839,0.9824,0.5684,0.8252,31.6
49,0.1,0.2924,0.9801,0.5353,0.8268,31.7
50,0.1,0.2777,0.9825,0.5811,0.8252,31.7
51,0.1,0.2830,0.9830,0.6558,0.8140,31.6
52,0.1,0.2892,0.9813,0.5014,0.8552,31.7
53,0.1,0.2801,0.9838,0.6566,0.8192,31.7
54,0.1,0.2797,0.9834,0.7162,0.8012,31.7
55,0.1,0.2722,0.9823,0.6015,0.8324,31.5
56,0.1,0.2773,0.9835,0.5924,0.8412,31.5
57,0.1,0.2745,0.9854,0.5554,0.8396,31.4
58,0.1,0.2711,0.9852,0.5608,0.8396,31.5
59,0.1,0.2673,0.9857,0.7762,0.7920,31.4
60,0.1,0.2723,0.9847,0.6465,0.8104,31.4
61,0.02,0.1275,0.9722,0.2757,0.9168,31.4
62,0.02,0.0736,0.9862,0.2692,0.9184,31.5
63,0.02,0.0580,0.9918,0.2728,0.9236,31.5
64,0.02,0.0488,0.9935,0.2947,0.9144,31.4
65,0.02,0.0416,0.9958,0.3083,0.9152,31.4
66,0.02,0.0362,0.9968,0.2976,0.9196,31.4
67,0.02,0.0323,0.9978,0.3077,0.9144,31.4
68,0.02,0.0308,0.9984,0.3281,0.9160,31.5
69,0.02,0.0286,0.9988,0.2988,0.9176,31.4
70,0.02,0.0263,0.9988,0.3232,0.9228,31.4
71,0.02,0.0256,0.9990,0.3744,0.9040,31.4
72,0.02,0.0250,0.9991,0.3367,0.9168,31.5
73,0.02,0.0277,0.9992,0.3431,0.9184,31.5
