epoch,train_loss,train_acc,val_loss,val_acc
1,0.3877,0.8170,0.3146,0.8560
2,0.3507,0.8329,0.3150,0.8454
3,0.3404,0.8411,0.3146,0.8487
4,0.3381,0.8423,0.3073,0.8560
5,0.3300,0.8430,0.3117,0.8540
6,0.3281,0.8458,0.3042,0.8500
7,0.3265,0.8466,0.3061,0.8447
8,0.3245,0.8484,0.3015,0.8580
9,0.3156,0.8511,0.3005,0.8640
10,0.3132,0.8526,0.3025,0.8646
11,0.3125,0.8524,0.3036,0.8600
12,0.3105,0.8532,0.3031,0.8573
13,0.3030,0.8576,0.3033,0.8666
14,0.3042,0.8579,0.3073,0.8633
15,0.3014,0.8572,0.3114,0.8626
16,0.3007,0.8585,0.3159,0.8500
17,0.2991,0.8605,0.3152,0.8534
18,0.2948,0.8616,0.3124,0.8580
19,0.2929,0.8628,0.3116,0.8600
20,0.2941,0.8632,0.3118,0.8560
21,0.2917,0.8646,0.3169,0.8573
22,0.2883,0.8617,0.3182,0.8560
23,0.2891,0.8656,0.3246,0.8580
24,0.2870,0.8634,0.3259,0.8507
25,0.2832,0.8697,0.3241,0.8573
26,0.2845,0.8641,0.3183,0.8587
27,0.2805,0.8688,0.3279,0.8487
28,0.2815,0.8655,0.3217,0.8421
29,0.2781,0.8671,0.3312,0.8527
