epoch,train_loss,train_acc,val_loss,val_acc
1,0.4586,0.7671,0.3870,0.8109
2,0.3750,0.8265,0.3440,0.8427
3,0.3642,0.8277,0.3392,0.8461
4,0.3614,0.8290,0.3370,0.8474
5,0.3560,0.8327,0.3348,0.8474
6,0.3494,0.8361,0.3394,0.8427
7,0.3568,0.8316,0.3338,0.8474
8,0.3437,0.8391,0.3278,0.8487
9,0.3390,0.8395,0.3305,0.8421
10,0.3351,0.8425,0.3292,0.8494
11,0.3353,0.8415,0.3242,0.8534
12,0.3323,0.8421,0.3284,0.8474
13,0.3306,0.8451,0.3316,0.8520
14,0.3252,0.8425,0.3283,0.8480
15,0.3235,0.8462,0.3467,0.8447
16,0.3232,0.8445,0.3241,0.8487
17,0.3191,0.8472,0.3242,0.8467
18,0.3162,0.8462,0.3318,0.8500
19,0.3182,0.8456,0.3453,0.8560
20,0.3129,0.8489,0.3409,0.8434
21,0.3103,0.8504,0.3418,0.8427
22,0.3104,0.8527,0.3728,0.8474
23,0.3112,0.8514,0.3506,0.8461
24,0.3099,0.8517,0.3513,0.8441
25,0.3042,0.8507,0.3552,0.8534
26,0.3064,0.8515,0.3655,0.8514
27,0.3027,0.8546,0.3741,0.8474
28,0.2970,0.8560,0.3964,0.8480
29,0.2992,0.8538,0.3569,0.8467
30,0.2961,0.8585,0.3705,0.8474
31,0.2931,0.8571,0.3834,0.8520
32,0.2936,0.8552,0.3977,0.8434
33,0.2944,0.8571,0.3785,0.8480
34,0.2888,0.8586,0.3918,0.8348
35,0.2879,0.8600,0.4246,0.8500
