benchmark,corruption,severity,setting,noise_rate,tv_published,tv_full_upsampled,tv_full_raw
CILN-S,brightness,1,brightness_sev1,0.08495,0.111718,0.10627099486696955,0.094238232604904
CILN-S,brightness,3,brightness_sev3,0.097325,0.12601099999999998,0.11993355604591757,0.10502516080646096
CILN-S,brightness,5,brightness_sev5,0.132575,0.1657145,0.15796842792418953,0.1368281023396181
CILN-S,contrast,1,contrast_sev1,0.089175,0.1176395,0.11212722566106192,0.09889328913740321
CILN-S,contrast,3,contrast_sev3,0.164225,0.19975450000000003,0.19059715486611375,0.16591678840667945
CILN-S,contrast,5,contrast_sev5,0.47375,0.48640249999999996,0.46283547651890156,0.4601000231685066
CILN-S,defocus_blur,1,defocus_blur_sev1,0.08615,0.1130955,0.10759665846816552,0.09530909076368464
CILN-S,defocus_blur,3,defocus_blur_sev3,0.151675,0.18148499999999998,0.17241014487429096,0.15167543000410816
CILN-S,defocus_blur,5,defocus_blur_sev5,0.353975,0.378121,0.3606916171510364,0.34316847161382247
CILN-S,elastic_transform,1,elastic_transform_sev1,0.145175,0.17544749999999998,0.16677005566414688,0.14626990987838648
CILN-S,elastic_transform,3,elastic_transform_sev3,0.177125,0.20909499999999998,0.19884644827106976,0.17600761152538566
CILN-S,elastic_transform,5,elastic_transform_sev5,0.3109,0.3437305,0.32791350519683493,0.30273824046531833
CILN-S,fog,1,fog_sev1,0.086225,0.11330300000000001,0.10789097800104039,0.09543741315253981
CILN-S,fog,3,fog_sev3,0.124075,0.1541685,0.14657205078369742,0.12783334132143528
CILN-S,fog,5,fog_sev5,0.2744,0.304286,0.2891093607841406,0.2668027438726481
CILN-S,frost,1,frost_sev1,0.1033,0.1331535,0.12701341456912785,0.11098403817931321
CILN-S,frost,3,frost_sev3,0.16275,0.1976155,0.18814803803510083,0.16429844757849243
CILN-S,frost,5,frost_sev5,0.195925,0.2333455,0.22248557351495407,0.1955768950864947
CILN-S,gaussian_noise,1,gaussian_noise_sev1,0.21645,0.24735749999999995,0.23577286306299255,0.2115593704681755
CILN-S,gaussian_noise,3,gaussian_noise_sev3,0.4951,0.507013,0.48570100059083815,0.4816183097549528
CILN-S,gaussian_noise,5,gaussian_noise_sev5,0.590425,0.5912314999999999,0.5708195270160895,0.5762302151213273
CILN-S,glass_blur,1,glass_blur_sev1,0.6506,0.6536700000000001,0.6356994486158727,0.6372338119212896
CILN-S,glass_blur,3,glass_blur_sev3,0.644225,0.653356,0.6363306959901751,0.6319416286397667
CILN-S,glass_blur,5,glass_blur_sev5,0.75345,0.7506375,0.736374021529225,0.7410767912177533
CILN-S,impulse_noise,1,impulse_noise_sev1,0.1673,0.19965049999999998,0.18981791471021,0.16696590884620777
CILN-S,impulse_noise,3,impulse_noise_sev3,0.3422,0.36195900000000003,0.3432366520958695,0.3296033612464209
CILN-S,impulse_noise,5,impulse_noise_sev5,0.575975,0.5627620000000001,0.5374809644952661,0.5578006854805807
CILN-S,jpeg_compression,1,jpeg_compression_sev1,0.17065,0.20030549999999997,0.190409419821651,0.16856915789318946
CILN-S,jpeg_compression,3,jpeg_compression_sev3,0.24385,0.271385,0.2581574354678345,0.2370865574105006
CILN-S,jpeg_compression,5,jpeg_compression_sev5,0.306375,0.3292805,0.31348798803200145,0.2965312115612701
CILN-S,motion_blur,1,motion_blur_sev1,0.144975,0.17948300000000003,0.17130878576534977,0.1484483762013936
CILN-S,motion_blur,3,motion_blur_sev3,0.281275,0.313334,0.298969219876029,0.274881856590644
CILN-S,motion_blur,5,motion_blur_sev5,0.3493,0.378422,0.3621092521572593,0.34030243301757634
CILN-S,pixelate,1,pixelate_sev1,0.11685,0.1459175,0.13855722940580303,0.12073044392440542
CILN-S,pixelate,3,pixelate_sev3,0.2291,0.263749,0.2527160320593298,0.2258914223663899
CILN-S,pixelate,5,pixelate_sev5,0.58255,0.598499,0.5848836141471901,0.572253906317117
CILN-S,shot_noise,1,shot_noise_sev1,0.15735,0.189825,0.18090617095071124,0.15858591170857148
CILN-S,shot_noise,3,shot_noise_sev3,0.398325,0.4201329999999999,0.40117801809208775,0.38691434518860296
CILN-S,shot_noise,5,shot_noise_sev5,0.5485,0.5549145,0.5340920966748304,0.5347537294650863
CILN-S,snow,1,snow_sev1,0.1283,0.160597,0.15296374269413854,0.13260668787138688
CILN-S,snow,3,snow_sev3,0.19275,0.226603,0.21623408993828908,0.19137358347117725
CILN-S,snow,5,snow_sev5,0.251,0.28486100000000003,0.2711535234658242,0.2461623714004458
CILN-S,zoom_blur,1,zoom_blur_sev1,0.163675,0.19537900000000005,0.18606633537102288,0.16364159289523014
CILN-S,zoom_blur,3,zoom_blur_sev3,0.2188,0.252491,0.24075068299822705,0.2157119346797228
CILN-S,zoom_blur,5,zoom_blur_sev5,0.315575,0.3505365,0.3353510793287732,0.30915688566292
PL-IDN,plidn-low,-1,plidn_low,0.10755991394406365,0.18,0.025000199827416775,0.01859489721427611
PL-IDN,plidn-medium,-1,plidn_medium,0.19474158202831843,0.301,0.07241025295574428,0.06057724472871645
PL-IDN,plidn-high,-1,plidn_high,0.47772051833691903,0.742,0.18124975047672193,0.17146053411263282
