dataset,setting,variant,method,image_source,n_seeds,mean_best_test_acc,std_best_test_acc,sampled_noise_rate,n_train,recall_class0,recall_class1
adult,gaussian_noise_sev1,C,coteaching,clean,3,0.7524,0.0001,0.0020,10629,0.9994,0.0029
adult,gaussian_noise_sev1,C,coteaching,noisy,3,0.8446,0.0005,0.0020,10629,0.9241,0.6034
adult,gaussian_noise_sev1,C,erm,clean,3,0.7527,0.0006,0.0020,10629,0.9998,0.0026
adult,gaussian_noise_sev1,C,erm,noisy,3,0.8445,0.0003,0.0020,10629,0.9225,0.6077
adult,gaussian_noise_sev1,S,coteaching,clean,3,0.7532,0.0008,0.1464,13566,0.9992,0.0065
adult,gaussian_noise_sev1,S,coteaching,noisy,3,0.8403,0.0012,0.1464,13566,0.9207,0.5963
adult,gaussian_noise_sev1,S,erm,clean,3,0.7524,0.0003,0.1464,13566,0.9997,0.0018
adult,gaussian_noise_sev1,S,erm,noisy,3,0.8478,0.0019,0.1464,13566,0.9247,0.6145
adult,gaussian_noise_sev3,C,coteaching,clean,3,0.7527,0.0003,0.0125,10629,0.9976,0.0095
adult,gaussian_noise_sev3,C,coteaching,noisy,3,0.8448,0.0008,0.0125,10629,0.9249,0.6017
adult,gaussian_noise_sev3,C,erm,clean,3,0.7525,0.0004,0.0125,10629,0.9992,0.0036
adult,gaussian_noise_sev3,C,erm,noisy,3,0.8452,0.0005,0.0125,10629,0.9263,0.5990
adult,gaussian_noise_sev3,S,coteaching,clean,3,0.7527,0.0003,0.1515,13566,0.9976,0.0095
adult,gaussian_noise_sev3,S,coteaching,noisy,3,0.8367,0.0006,0.1515,13566,0.9242,0.5710
adult,gaussian_noise_sev3,S,erm,clean,3,0.7525,0.0004,0.1515,13566,0.9996,0.0029
adult,gaussian_noise_sev3,S,erm,noisy,3,0.8483,0.0008,0.1515,13566,0.9273,0.6086
adult,gaussian_noise_sev5,C,coteaching,clean,3,0.7526,0.0003,0.0303,10629,0.9998,0.0024
adult,gaussian_noise_sev5,C,coteaching,noisy,3,0.8452,0.0015,0.0303,10629,0.9269,0.5971
adult,gaussian_noise_sev5,C,erm,clean,3,0.7530,0.0008,0.0303,10629,0.9981,0.0093
adult,gaussian_noise_sev5,C,erm,noisy,3,0.8464,0.0015,0.0303,10629,0.9269,0.6022
adult,gaussian_noise_sev5,S,coteaching,clean,3,0.7545,0.0009,0.1618,13566,0.9969,0.0190
adult,gaussian_noise_sev5,S,coteaching,noisy,3,0.8360,0.0008,0.1618,13566,0.9293,0.5527
adult,gaussian_noise_sev5,S,erm,clean,3,0.7526,0.0004,0.1618,13566,0.9996,0.0029
adult,gaussian_noise_sev5,S,erm,noisy,3,0.8483,0.0008,0.1618,13566,0.9211,0.6276
adult,missing_mar_sev1,C,coteaching,clean,3,0.7530,0.0002,0.0159,10629,0.9984,0.0082
adult,missing_mar_sev1,C,coteaching,noisy,3,0.8444,0.0007,0.0159,10629,0.9268,0.5940
adult,missing_mar_sev1,C,erm,clean,3,0.7530,0.0008,0.0159,10629,0.9979,0.0098
adult,missing_mar_sev1,C,erm,noisy,3,0.8437,0.0004,0.0159,10629,0.9230,0.6030
adult,missing_mar_sev1,S,coteaching,clean,3,0.7536,0.0007,0.1573,13566,0.9950,0.0207
adult,missing_mar_sev1,S,coteaching,noisy,3,0.8398,0.0004,0.1573,13566,0.9226,0.5883
adult,missing_mar_sev1,S,erm,clean,3,0.7525,0.0003,0.1573,13566,0.9998,0.0019
adult,missing_mar_sev1,S,erm,noisy,3,0.8459,0.0025,0.1573,13566,0.9210,0.6181
adult,missing_mar_sev3,C,coteaching,clean,3,0.7530,0.0009,0.0724,10629,0.9973,0.0116
adult,missing_mar_sev3,C,coteaching,noisy,3,0.8433,0.0005,0.0724,10629,0.9255,0.5937
adult,missing_mar_sev3,C,erm,clean,3,0.7524,0.0002,0.0724,10629,0.9999,0.0012
adult,missing_mar_sev3,C,erm,noisy,3,0.8440,0.0011,0.0724,10629,0.9236,0.6024
adult,missing_mar_sev3,S,coteaching,clean,3,0.7552,0.0008,0.1964,13566,0.9977,0.0190
adult,missing_mar_sev3,S,coteaching,noisy,3,0.8407,0.0015,0.1964,13566,0.9201,0.5995
adult,missing_mar_sev3,S,erm,clean,3,0.7524,0.0002,0.1964,13566,0.9996,0.0021
adult,missing_mar_sev3,S,erm,noisy,3,0.8462,0.0019,0.1964,13566,0.9274,0.5995
adult,missing_mar_sev5,C,coteaching,clean,3,0.7537,0.0022,0.1379,10629,0.9979,0.0122
adult,missing_mar_sev5,C,coteaching,noisy,3,0.8437,0.0002,0.1379,10629,0.9209,0.6094
adult,missing_mar_sev5,C,erm,clean,3,0.7522,0.0000,0.1379,10629,1.0000,0.0001
adult,missing_mar_sev5,C,erm,noisy,3,0.8434,0.0012,0.1379,10629,0.9234,0.6007
adult,missing_mar_sev5,S,coteaching,clean,3,0.7534,0.0005,0.2412,13566,0.9988,0.0086
adult,missing_mar_sev5,S,coteaching,noisy,3,0.8406,0.0012,0.2412,13566,0.9175,0.6073
adult,missing_mar_sev5,S,erm,clean,3,0.7526,0.0006,0.2412,13566,0.9997,0.0024
adult,missing_mar_sev5,S,erm,noisy,3,0.8444,0.0011,0.2412,13566,0.9207,0.6130
adult,missing_mcar_sev1,C,coteaching,clean,3,0.7525,0.0002,0.0163,10629,0.9989,0.0049
